                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1573839854 |   7804365858 |   1254801508 |  12330954496 |   1238151721 |    249999989 |   2115932165 |    870853952 |   5128714826 |   3186615477 |   3468114810 |   6254975987 |  15788639927 |   6812030326 |  12783792561 |    451434870
  Cycles                             |  10297570744 |  10297571295 |  10297570329 |  10297571708 |  10297570200 |  10297565234 |  10297570860 |  10297571254 |  10297569962 |  10297571647 |  10297571952 |  10297570322 |  10297569914 |  10297569962 |  10297571308 |  10297574623
  IPC                                |         0.15 |         0.76 |         0.12 |         1.20 |         0.12 |         0.02 |         0.21 |         0.08 |         0.50 |         0.31 |         0.34 |         0.61 |         1.53 |         0.66 |         1.24 |         0.04
  Time (ns)                          |   3432523581 |   3432523765 |   3432523443 |   3432523903 |   3432523400 |   3432521745 |   3432523620 |   3432523751 |   3432523321 |   3432523882 |   3432523984 |   3432523441 |   3432523305 |   3432523321 |   3432523769 |   3432524874
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     14286904 |   1193029919 |     99453273 |   1093242026 |     23916120 |     43244780 |    113055412 |    119698495 |    556128218 |     73199515 |    527867274 |    943384755 |   1051632360 |    370876677 |    564339424 |    105768682
  num incorrect                      |        95700 |    305829300 |      8132967 |    182420462 |     32870471 |     11689069 |      2645167 |     16448775 |     84764543 |      1304769 |    113513190 |    106040623 |    180582134 |    257213389 |     32037824 |     11745568
  misprediction rate                 |        0.67% |       20.40% |        7.56% |       14.30% |       57.88% |       21.28% |        2.29% |       12.08% |       13.23% |        1.75% |       17.70% |       10.10% |       14.66% |       40.95% |        5.37% |       10.00%
  mpki                               |         0.06 |        39.19 |         6.48 |        14.79 |        26.55 |        46.76 |         1.25 |        18.89 |        16.53 |         0.41 |        32.73 |        16.95 |        11.44 |        37.76 |         2.51 |        26.02
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    139097925 |   1015345778 |    105108203 |   1400358393 |    135970647 |     23761816 |    211062960 |    152579626 |    603853175 |    285089376 |    478998293 |   1001474488 |   1915826834 |    557414830 |   1217516568 |     38152757
    num misses                       |            3 |           19 |           42 |         4138 |           14 |            3 |           47 |          105 |           10 |            4 |          622 |        36367 |           18 |           52 |            8 |        31161
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.08%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.01 |         0.00 |         0.00 |         0.00 |         0.07
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    428676596 |   2627055157 |    345469123 |   5155932614 |    462963978 |     88558906 |    734993135 |    405782904 |   2304563027 |   1253080657 |   1345360381 |   2519194861 |   6657750299 |   2012385374 |   3887066344 |    156394271
    num misses                       |       766185 |     11631434 |      1686328 |      2713227 |      3285571 |     21159623 |      1136824 |     15795929 |     23214872 |       665204 |      7148939 |     14052749 |     47341873 |       121883 |      1247347 |      2402727
    miss rate                        |        0.18% |        0.44% |        0.49% |        0.05% |        0.71% |       23.89% |        0.15% |        3.89% |        1.01% |        0.05% |        0.53% |        0.56% |        0.71% |        0.01% |        0.03% |        1.54%
    mpki                             |         0.49 |         1.49 |         1.34 |         0.22 |         2.65 |        84.64 |         0.54 |        18.14 |         4.53 |         0.21 |         2.06 |         2.25 |         3.00 |         0.02 |         0.10 |         5.32
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       766188 |     11631453 |      1686370 |      2717365 |      3285585 |     21159626 |      1136871 |     15796034 |     23214882 |       665208 |      7149561 |     14089116 |     47341891 |       121935 |      1247355 |      2433888
    num misses                       |       765611 |      2435270 |       523969 |        85647 |      3285547 |     10898215 |       348863 |      4733032 |      2058951 |       348775 |       691734 |      2003036 |       362070 |       108869 |        30786 |      2059191
    miss rate                        |       99.92% |       20.94% |       31.07% |        3.15% |      100.00% |       51.50% |       30.69% |       29.96% |        8.87% |       52.43% |        9.68% |       14.22% |        0.76% |       89.28% |        2.47% |       84.61%
    mpki                             |         0.49 |         0.31 |         0.42 |         0.01 |         2.65 |        43.59 |         0.16 |         5.43 |         0.40 |         0.11 |         0.20 |         0.32 |         0.02 |         0.02 |         0.00 |         4.56
Cache Summary                        |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    139097925 |   1015345778 |    105108203 |   1400358393 |    135970647 |     23761816 |    211062960 |    152579626 |    603853175 |    285089376 |    478998293 |   1001474488 |   1915826834 |    557414830 |   1217516568 |     38152757
    num cache misses                 |       446869 |      3903812 |       140805 |     17337162 |        48631 |       105998 |       125549 |      2314571 |       222669 |       182314 |     27381030 |     17366081 |     15889576 |       118606 |        97680 |       651187
