                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1564978274 |   8053293167 |   1253594738 |  13253709019 |   1232509479 |    249999989 |   2112480727 |    868594738 |   5097707712 |   3183153056 |   3583478017 |   6473835619 |  16355067542 |   6755526092 |  13153874532 |    450096416
  Cycles                             |  10176413429 |  10176413400 |  10176413811 |  10176413400 |  10176413429 |  10176407896 |  10176413725 |  10176413871 |  10176414052 |  10176413401 |  10176413409 |  10176413400 |  10176413346 |  10176413407 |  10176413393 |  10176414116
  IPC                                |         0.15 |         0.79 |         0.12 |         1.30 |         0.12 |         0.02 |         0.21 |         0.09 |         0.50 |         0.31 |         0.35 |         0.64 |         1.61 |         0.66 |         1.29 |         0.04
  Time (ns)                          |   3392137810 |   3392137800 |   3392137937 |   3392137800 |   3392137810 |   3392135966 |   3392137909 |   3392137957 |   3392138018 |   3392137801 |   3392137803 |   3392137800 |   3392137782 |   3392137803 |   3392137798 |   3392138039
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     14207533 |   1231089469 |     99383328 |   1174341459 |     23768931 |     43244780 |    112650919 |    119410261 |    552447789 |     73101768 |    546340665 |    976426558 |   1089726072 |    369450842 |    580285829 |    105462166
  num incorrect                      |        95172 |    315579021 |      8125216 |    195860699 |     32625156 |     11689069 |      2635935 |     16401155 |     84208673 |      1302961 |    116779749 |    109713734 |    187074153 |    254457749 |     32946379 |     11708709
  misprediction rate                 |        0.67% |       20.40% |        7.56% |       14.29% |       57.85% |       21.28% |        2.29% |       12.08% |       13.23% |        1.75% |       17.61% |       10.10% |       14.65% |       40.78% |        5.37% |        9.99%
  mpki                               |         0.06 |        39.19 |         6.48 |        14.78 |        26.47 |        46.76 |         1.25 |        18.88 |        16.52 |         0.41 |        32.59 |        16.95 |        11.44 |        37.67 |         2.50 |        26.01
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    138314726 |   1047731079 |    105017993 |   1505042266 |    135185642 |     23761816 |    210951201 |    152190524 |    600204203 |    284798251 |    493874049 |   1036495130 |   1984583627 |    553867640 |   1253123743 |     38033666
    num misses                       |            3 |           19 |           42 |         4447 |           14 |            3 |           47 |          105 |           10 |            4 |          634 |        37749 |           18 |           52 |            8 |        31058
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.08%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.01 |         0.00 |         0.00 |         0.00 |         0.07
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    426277431 |   2710855576 |    345151777 |   5541811003 |    460584422 |     88558906 |    733772265 |    404738790 |   2290922339 |   1251790671 |   1390060511 |   2607172296 |   6896736019 |   1997338444 |   4001120828 |    155928560
    num misses                       |       761959 |     12001561 |      1685457 |      2918801 |      3273306 |     21159567 |      1135680 |     15753403 |     23130188 |       664247 |      7381626 |     14546621 |     49047978 |       121774 |      1280110 |      2396010
    miss rate                        |        0.18% |        0.44% |        0.49% |        0.05% |        0.71% |       23.89% |        0.15% |        3.89% |        1.01% |        0.05% |        0.53% |        0.56% |        0.71% |        0.01% |        0.03% |        1.54%
    mpki                             |         0.49 |         1.49 |         1.34 |         0.22 |         2.66 |        84.64 |         0.54 |        18.14 |         4.54 |         0.21 |         2.06 |         2.25 |         3.00 |         0.02 |         0.10 |         5.32
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       761962 |     12001580 |      1685499 |      2923248 |      3273320 |     21159570 |      1135727 |     15753508 |     23130198 |       664251 |      7382260 |     14584370 |     49047996 |       121826 |      1280118 |      2427068
    num misses                       |       761390 |      2512836 |       523556 |        92174 |      3273282 |     10898431 |       348107 |      4722016 |      2051330 |       348420 |       716143 |      2072513 |       374558 |       108813 |        31676 |      2053378
    miss rate                        |       99.92% |       20.94% |       31.06% |        3.15% |      100.00% |       51.51% |       30.65% |       29.97% |        8.87% |       52.45% |        9.70% |       14.21% |        0.76% |       89.32% |        2.47% |       84.60%
    mpki                             |         0.49 |         0.31 |         0.42 |         0.01 |         2.66 |        43.59 |         0.16 |         5.44 |         0.40 |         0.11 |         0.20 |         0.32 |         0.02 |         0.02 |         0.00 |         4.56
Cache Summary                        |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    138314726 |   1047731079 |    105017993 |   1505042266 |    135185642 |     23761816 |    210951201 |    152190524 |    600204203 |    284798251 |    493874049 |   1036495130 |   1984583627 |    553867640 |   1253123743 |     38033666
    num cache misses                 |      1074838 |      5367387 |       200502 |     20657124 |        94738 |       190071 |       208703 |      3314261 |       441157 |       405270 |     28652880 |     19701658 |     17146584 |       135331 |       206656 |       722555
    miss rate                        |        0.78% |        0.51% |        0.19% |        1.37% |        0.07% |        0.80% |        0.10% |        2.18% |        0.07% |        0.14% |        5.80% |        1.90% |        0.86% |        0.02% |        0.02% |        1.90%
    mpki                             |         0.69 |         0.67 |         0.16 |         1.56 |         0.08 |         0.76 |         0.10 |         3.82 |         0.09 |         0.13 |         8.00 |         3.04 |         1.05 |         0.02 |         0.02 |         1.61
  Cache L1-D                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    426277431 |   2710855576 |    345151777 |   5541811003 |    460584422 |     88558906 |    733772265 |    404738790 |   2290922339 |   1251790671 |   1390060511 |   2607172296 |   6896736019 |   1997338444 |   4001120828 |    155928560
    num cache misses                 |     80496334 |     11140279 |     18462625 |     51569762 |     36022773 |     28758080 |     25950800 |     23093199 |     73425216 |     32325531 |     32862178 |     24377543 |     32490559 |      7473289 |    106028958 |     13425308
    miss rate                        |       18.88% |        0.41% |        5.35% |        0.93% |        7.82% |       32.47% |        3.54% |        5.71% |        3.21% |        2.58% |        2.36% |        0.94% |        0.47% |        0.37% |        2.65% |        8.61%
    mpki                             |        51.44 |         1.38 |        14.73 |         3.89 |        29.23 |       115.03 |        12.28 |        26.59 |        14.40 |        10.16 |         9.17 |         3.77 |         1.99 |         1.11 |         8.06 |        29.83
  Cache L2                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     81571192 |     18685351 |     18823978 |     72313417 |     40625536 |     32657577 |     29928846 |     30944317 |     74606831 |     32735025 |     62944075 |     44907525 |     49836094 |      7796489 |    106608148 |     14184006
    num cache misses                 |     53053883 |      7411378 |     17298566 |     28710239 |     36117511 |     24336264 |     21092176 |     22679057 |     51752358 |     22818470 |     32007200 |     23588667 |      4909947 |      7282301 |      3392101 |     13565206
    miss rate                        |       65.04% |       39.66% |       91.90% |       39.70% |       88.90% |       74.52% |       70.47% |       73.29% |       69.37% |       69.71% |       50.85% |       52.53% |        9.85% |       93.40% |        3.18% |       95.64%
    mpki                             |        33.90 |         0.92 |        13.80 |         2.17 |        29.30 |        97.35 |         9.98 |        26.11 |        10.15 |         7.17 |         8.93 |         3.64 |         0.30 |         1.08 |         0.26 |        30.14
  Cache L3                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
