                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   277680175 |  3388108796 |  2053147377 |   875934664 |  3392226903 |  2196146842 |  2101349899 |  2110418578 |  1202563144 |   249999886 |   973383788 |   469247347 |  4180781686 |   601733849 |   359285696 |  4641153856
  Cycles                             |  2559193345 |  2559192977 |  2559193010 |  2559192902 |  2559192900 |  2559192901 |  2559192881 |  2559192905 |  2559192905 |  2559188717 |  2559193683 |  2559193193 |  2559192900 |  2559193310 |  2559193791 |  2559192921
  IPC                                |        0.11 |        1.32 |        0.80 |        0.34 |        1.33 |        0.86 |        0.82 |        0.82 |        0.47 |        0.10 |        0.38 |        0.18 |        1.63 |        0.24 |        0.14 |        1.81
  Time (ns)                          |   853064449 |   853064326 |   853064337 |   853064301 |   853064300 |   853064301 |   853064294 |   853064302 |   853064302 |   853062906 |   853064561 |   853064398 |   853064300 |   853064437 |   853064597 |   853064307
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    47121367 |   272510575 |   116663751 |    19574819 |   149114189 |   282314452 |    96757581 |   322590540 |    73087392 |    34399075 |   146958508 |     4232583 |   278901339 |    32284416 |    28471851 |   856527864
  num incorrect                      |     4281030 |    45756262 |    19697945 |      347015 |     8465018 |    66104570 |      803444 |    82784626 |    43981299 |     4720676 |    32422388 |       28290 |    47745157 |      755510 |     2331259 |    58431710
  misprediction rate                 |       8.33% |      14.38% |      14.45% |       1.74% |       5.37% |      18.97% |       0.82% |      20.42% |      37.57% |      12.07% |      18.07% |       0.66% |      14.62% |       2.29% |       7.57% |       6.39%
  mpki                               |       15.42 |       13.50 |        9.59 |        0.40 |        2.50 |       30.10 |        0.38 |       39.23 |       36.57 |       18.88 |       33.31 |        0.06 |       11.42 |        1.26 |        6.49 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    32232155 |   496358404 |   230223001 |    78929423 |   323675288 |   308010417 |   160755011 |   274615920 |   143478190 |    43801034 |   135566281 |    41471112 |   507197087 |    60880184 |    30458951 |   761033553
    num misses                       |          42 |          65 |          56 |           4 |           8 |         194 |          43 |          19 |          10 |          84 |         243 |           3 |          18 |          47 |          42 |          39
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    96337803 |  1624445442 |   965808824 |   346605762 |  1033927587 |   859510329 |  1209188529 |   710264794 |   552919882 |   116504258 |   378547377 |   127439485 |  1762321600 |   210520833 |    98946424 |  1512547723
    num misses                       |     1626714 |     9069419 |      626521 |      174949 |      326017 |     1510830 |      162310 |     3144225 |     3792027 |     4542710 |     2018431 |      226173 |    12448751 |      327340 |      482313 |          23
    miss rate                        |       1.69% |       0.56% |       0.06% |       0.05% |       0.03% |       0.18% |       0.01% |       0.44% |       0.69% |       3.90% |       0.53% |       0.18% |       0.71% |       0.16% |       0.49% |       0.00%
    mpki                             |        5.86 |        2.68 |        0.31 |        0.20 |        0.10 |        0.69 |        0.08 |        1.49 |        3.15 |       18.17 |        2.07 |        0.48 |        2.98 |        0.54 |        1.34 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     1626756 |     9069484 |      626577 |      174953 |      326025 |     1511024 |      162353 |     3144244 |     3792037 |     4542794 |     2018674 |      226176 |    12448769 |      327387 |      482355 |          62
    num misses                       |      461759 |       57482 |       98675 |       97379 |        8251 |      243179 |       47507 |      658165 |     3012375 |     1361710 |      195484 |      226001 |       94805 |      101649 |      152585 |          62
    miss rate                        |      28.39% |       0.63% |      15.75% |      55.66% |       2.53% |      16.09% |      29.26% |      20.93% |      79.44% |      29.98% |       9.68% |      99.92% |       0.76% |      31.05% |      31.63% |     100.00%
    mpki                             |        1.66 |        0.02 |        0.05 |        0.11 |        0.00 |        0.11 |        0.02 |        0.31 |        2.50 |        5.45 |        0.20 |        0.48 |        0.02 |        0.17 |        0.42 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    32232155 |   496358404 |   230223001 |    78929423 |   323675288 |   308010417 |   160755011 |   274615920 |   143478190 |    43801034 |   135566281 |    41471112 |   507197087 |    60880184 |    30458951 |   761033553
    num cache misses                 |       36131 |    16430714 |      673075 |      102473 |       54635 |     9540390 |      143773 |     1386851 |       78645 |      948103 |     7916591 |      321934 |     4355100 |       59401 |       57603 |     7189196
    miss rate                        |       0.11% |       3.31% |       0.29% |       0.13% |       0.02% |       3.10% |       0.09% |       0.51% |       0.05% |       2.16% |       5.84% |       0.78% |       0.86% |       0.10% |       0.19% |       0.94%
    mpki                             |        0.13 |        4.85 |        0.33 |        0.12 |        0.02 |        4.34 |        0.07 |        0.66 |        0.07 |        3.79 |        8.13 |        0.69 |        1.04 |        0.10 |        0.16 |        1.55
