                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4      | Core 5      | Core 6     | Core 7     
  Instructions                       |  468191379 |  1308868128 |  249999898 |  529791486 |  1026483714 |  1042638255 |  417134259 |  1220143754
  Cycles                             |  913390775 |   913389676 |  913386532 |  913390069 |   913389779 |   913389769 |  913389900 |   913389788
  IPC                                |       0.51 |        1.43 |       0.27 |       0.58 |        1.12 |        1.14 |       0.46 |        1.34
  Time (ns)                          |  304463592 |   304463226 |  304462178 |  304463357 |   304463260 |   304463257 |  304463300 |   304463263
Branch predictor stats               |            |             |            |            |             |             |            |            
  num correct                        |   69890656 |    87014583 |    4856955 |   11228243 |    91456523 |    48011714 |   22315423 |    96760059
  num incorrect                      |   16037166 |    14969401 |    6669357 |    1686653 |    15282259 |      399037 |     521997 |     7919889
  misprediction rate                 |     18.66% |      14.68% |     57.86% |     13.06% |      14.32% |       0.82% |      2.29% |       7.57%
  mpki                               |      34.25 |       11.44 |      26.68 |       3.18 |       14.89 |        0.38 |       1.25 |        6.49
TLB Summary                          |            |             |            |            |             |             |            |            
  I-TLB                              |            |             |            |            |             |             |            |            
    num accesses                     |   66008921 |   158728002 |   27532058 |   50970743 |   116530529 |    79765501 |   41866694 |   102200373
    num misses                       |        166 |          18 |         14 |         66 |         429 |          43 |         47 |          42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |        0.00
  D-TLB                              |            |             |            |            |             |             |            |            
    num accesses                     |  182213601 |   551630397 |   93614435 |  268749946 |   428971298 |   599960135 |  147814713 |   335942214
    num misses                       |     975430 |     3905141 |     661938 |     610569 |      221946 |       80224 |     227353 |     1643586
    miss rate                        |      0.54% |       0.71% |      0.71% |      0.23% |       0.05% |       0.01% |      0.15% |       0.49%
    mpki                             |       2.08 |        2.98 |       2.65 |       1.15 |        0.22 |        0.08 |       0.55 |        1.35
  L2 TLB                             |            |             |            |            |             |             |            |            
    num accesses                     |     975596 |     3905159 |     661952 |     610635 |      222375 |       80267 |     227400 |     1643628
    num misses                       |      84209 |       29949 |     661946 |       8621 |        7247 |       23692 |      71277 |      511594
    miss rate                        |      8.63% |       0.77% |    100.00% |      1.41% |       3.26% |      29.52% |     31.34% |      31.13%
    mpki                             |       0.18 |        0.02 |       2.65 |       0.02 |        0.01 |        0.02 |       0.17 |        0.42
Cache Summary                        |            |             |            |            |             |             |            |            
  Cache L1-I                         |            |             |            |            |             |             |            |            
    num cache accesses               |   66008921 |   158728002 |   27532058 |   50970743 |   116530529 |    79765501 |   41866694 |   102200373
    num cache misses                 |    3984883 |     1440687 |      10680 |      51096 |     1474707 |       53716 |      29961 |      136908
    miss rate                        |      6.04% |       0.91% |      0.04% |      0.10% |       1.27% |       0.07% |      0.07% |       0.13%
    mpki                             |       8.51 |        1.10 |       0.04 |       0.10 |        1.44 |        0.05 |       0.07 |        0.11
  Cache L1-D                         |            |             |            |            |             |             |            |            
    num cache accesses               |  182213601 |   551630397 |   93614435 |  268749946 |   428971298 |   599960135 |  147814713 |   335942214
    num cache misses                 |    2971258 |     2718740 |    7294332 |    4380479 |     3925749 |     5484158 |    5213059 |    17927696
    miss rate                        |      1.63% |       0.49% |      7.79% |      1.63% |       0.92% |       0.91% |      3.53% |       5.34%
    mpki                             |       6.35 |        2.08 |      29.18 |       8.27 |        3.82 |        5.26 |      12.50 |       14.69
  Cache L2                           |            |             |            |            |             |             |            |            
    num cache accesses               |    7154637 |     4219104 |    8250054 |    4890042 |     5453190 |     5553240 |    5971472 |    18090452
    num cache misses                 |    2800058 |      519721 |    7304956 |    1711340 |     1230930 |     3442586 |    3994920 |    15600937
    miss rate                        |     39.14% |      12.32% |     88.54% |     35.00% |      22.57% |      61.99% |     66.90% |      86.24%
    mpki                             |       5.98 |        0.40 |      29.22 |       3.23 |        1.20 |        3.30 |       9.58 |       12.79
  Cache L3                           |            |             |            |            |             |             |            |            
    num cache accesses               |    2999808 |      581468 |    8249998 |    2170089 |     1293400 |     3459682 |    4765758 |    15626930
    num cache misses                 |    1273382 |      503261 |    7296018 |    1393707 |      821695 |     2436499 |    3863868 |     1097802
    miss rate                        |     42.45% |      86.55% |     88.44% |     64.22% |      63.53% |      70.43% |     81.08% |       7.03%
    mpki                             |       2.72 |        0.38 |      29.18 |       2.63 |        0.80 |        2.34 |       9.26 |        0.90
DRAM summary                         |            |             |            |            |             |             |            |            
  num dram accesses                  |   27080160 |           0 |          0 |          0 |           0 |           0 |          0 |           0
  average dram access latency (ns)   |     182.79 |         inf |        inf |        inf |         inf |         inf |        inf |         inf
  average dram queueing delay        |      72.78 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     89.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |             |            |            |             |             |            |            
  num loads from dram                |          0 |           0 |          0 |          0 |           0 |           0 |          0 |           0
  num loads from dram cache          |          0 |           0 |          0 |          0 |           0 |           0 |          0 |           0
  num loads from remote cache        |          0 |           0 |          0 |          0 |           0 |           0 |          0 |           0
