                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  698695164 |  337652918 |  521183979 |  695631055 |  249999884 |  728515925 |  383566695 |  436123610
  Cycles                             |  452305891 |  452305848 |  452305886 |  452305871 |  452303080 |  452305851 |  452305866 |  452305877
  IPC                                |       1.54 |       0.75 |       1.15 |       1.54 |       0.55 |       1.61 |       0.85 |       0.96
  Time (ns)                          |  150768631 |  150768616 |  150768629 |  150768624 |  150767694 |  150768617 |  150768622 |  150768626
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   89806496 |    7575810 |   41905259 |   46582376 |   13325983 |   57772462 |     505405 |   65967107
  num incorrect                      |    9637141 |     133042 |    7045330 |    7899674 |     311809 |    4729289 |       8566 |    7348840
  misprediction rate                 |      9.69% |      1.73% |     14.39% |     14.50% |      2.29% |      7.57% |      1.67% |     10.02%
  mpki                               |      13.79 |       0.39 |      13.52 |      11.36 |       1.25 |       6.49 |       0.02 |      16.85
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  106758087 |   30963457 |   76351174 |   84320331 |   24892730 |   61066305 |   43919474 |   69657383
    num misses                       |        517 |          4 |         65 |         18 |         47 |         42 |          6 |       2538
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  278985537 |  132290648 |  249834550 |  292812259 |   86640605 |  200598644 |  286983771 |  174244982
    num misses                       |      84659 |      62744 |    1397215 |    2014286 |     133080 |     981945 |   10535565 |     877471
    miss rate                        |      0.03% |      0.05% |      0.56% |      0.69% |      0.15% |      0.49% |      3.67% |      0.50%
    mpki                             |       0.12 |       0.19 |       2.68 |       2.90 |       0.53 |       1.35 |      27.47 |       2.01
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      85176 |      62748 |    1397280 |    2014304 |     133127 |     981987 |   10535571 |     880009
    num misses                       |       2675 |      37484 |       8985 |      15308 |      40813 |     305248 |    7585158 |     129218
    miss rate                        |      3.14% |     59.74% |      0.64% |      0.76% |     30.66% |     31.08% |     72.00% |     14.68%
    mpki                             |       0.00 |       0.11 |       0.02 |       0.02 |       0.16 |       0.42 |      19.78 |       0.30
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |  106758087 |   30963457 |   76351174 |   84320331 |   24892730 |   61066305 |   43919474 |   69657383
    num cache misses                 |    2257754 |      10280 |    2300499 |     738148 |       9843 |      60715 |      53107 |    1083938
    miss rate                        |      2.11% |      0.03% |      3.01% |      0.88% |      0.04% |      0.10% |      0.12% |      1.56%
    mpki                             |       3.23 |       0.03 |       4.41 |       1.06 |       0.04 |       0.08 |       0.14 |       2.49
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  278985537 |  132290648 |  249834550 |  292812259 |   86640605 |  200598644 |  286983771 |  174244982
    num cache misses                 |    2817410 |    3179625 |    8315760 |    1468256 |    3045957 |   10685370 |    3154418 |    1413038
    miss rate                        |      1.01% |      2.40% |      3.33% |      0.50% |      3.52% |      5.33% |      1.10% |      0.81%
    mpki                             |       4.03 |       9.42 |      15.96 |       2.11 |      12.18 |      14.67 |       8.22 |       3.24
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5106940 |    3195214 |   10631357 |    2235701 |    3518942 |   10759243 |    3211100 |    2570150
    num cache misses                 |     314364 |    2376452 |     322499 |     239250 |    2246768 |    9058316 |    2158961 |     712406
    miss rate                        |      6.16% |     74.38% |      3.03% |     10.70% |     63.85% |     84.19% |     67.23% |     27.72%
    mpki                             |       0.45 |       7.04 |       0.62 |       0.34 |       8.99 |      12.43 |       5.63 |       1.63
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     347409 |    2383600 |     340030 |     269516 |    2729350 |    9071699 |    2162582 |     786577
    num cache misses                 |     306837 |    2368050 |     319266 |     238438 |    2205813 |     495368 |    2105088 |     657479
    miss rate                        |     88.32% |     99.35% |     93.89% |     88.47% |     80.82% |      5.46% |     97.34% |     83.59%
    mpki                             |       0.44 |       7.01 |       0.61 |       0.34 |       8.82 |       0.68 |       5.49 |       1.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   11305930 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      38.48 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     75.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
