                                   | Core 0     
  Instructions                     |   499999985
  Cycles                           |  4090800586
  IPC                              |        0.12
  Time (ns)                        |  1363600195
Branch predictor stats             |            
  num correct                      |    85483294
  num incorrect                    |    23905408
  misprediction rate               |      21.85%
  mpki                             |       47.81
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    49168056
    num misses                     |           3
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   179145716
    num misses                     |    42007094
    miss rate                      |      23.45%
    mpki                           |       84.01
  L2 TLB                           |            
    num accesses                   |    42007097
    num misses                     |    21918718
    miss rate                      |      52.18%
    mpki                           |       43.84
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    49168056
    num cache misses               |      383503
    miss rate                      |       0.78%
    mpki                           |        0.77
  Cache L1-D                       |            
    num cache accesses             |   179145716
    num cache misses               |    57249855
    miss rate                      |      31.96%
    mpki                           |      114.50
  Cache L2                         |            
    num cache accesses             |    64555177
    num cache misses               |    48087489
    miss rate                      |      74.49%
    mpki                           |       96.17
  Cache L3                         |            
    num cache accesses             |    55068527
    num cache misses               |    32033806
    miss rate                      |      58.17%
    mpki                           |       64.07
DRAM summary                       |            
  num dram accesses                |    39680518
  average dram access latency (ns) |       70.74
  average dram queueing delay      |        5.72
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
