                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1977150477 |   938598648 |  1080628173 |   375831467 |  1690445169 |   249999973 |  1525343438 |   500442940
  Cycles                             |  1119367201 |  1119367213 |  1119367200 |  1119367330 |  1119367201 |  1119365485 |  1119367243 |  1119367218
  IPC                                |        1.77 |        0.84 |        0.97 |        0.34 |        1.51 |        0.22 |        1.36 |        0.45
  Time (ns)                          |   373122401 |   373122405 |   373122400 |   373122444 |   373122401 |   373121829 |   373122415 |   373122406
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   112919408 |   143668164 |    21896852 |     7121859 |   148897530 |    40600608 |   122652494 |    30423964
  num incorrect                      |    19130916 |    36731972 |     3262627 |     9900389 |    24843896 |     2521753 |    20611572 |    18307803
  misprediction rate                 |      14.49% |      20.36% |      12.97% |      58.16% |      14.30% |       5.85% |      14.39% |      37.57%
  mpki                               |        9.68 |       39.13 |        3.02 |       26.34 |       14.70 |       10.09 |       13.51 |       36.58
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   222237028 |   122103747 |   103380274 |    41376658 |   191642031 |    41868591 |   223445738 |    59738602
    num misses                       |          56 |          19 |          74 |          14 |         646 |           4 |          65 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   928377567 |   315806435 |   544264638 |   138457511 |   707690559 |    75636447 |   731285633 |   230054882
    num misses                       |      599689 |     1393908 |     1278374 |      991365 |      378009 |       88470 |     4081817 |     1583435
    miss rate                        |       0.06% |       0.44% |       0.23% |       0.72% |       0.05% |       0.12% |       0.56% |       0.69%
    mpki                             |        0.30 |        1.49 |        1.18 |        2.64 |        0.22 |        0.35 |        2.68 |        3.16
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      599745 |     1393927 |     1278448 |      991379 |      378655 |       88474 |     4081882 |     1583445
    num misses                       |       94322 |      291847 |       17798 |      991368 |       12086 |       88474 |       26088 |     1259202
    miss rate                        |      15.73% |      20.94% |       1.39% |     100.00% |       3.19% |     100.00% |       0.64% |      79.52%
    mpki                             |        0.05 |        0.31 |        0.02 |        2.64 |        0.01 |        0.35 |        0.02 |        2.52
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   222237028 |   122103747 |   103380274 |    41376658 |   191642031 |    41868591 |   223445738 |    59738602
    num cache misses                 |      648431 |      803083 |      197152 |       36319 |     2648766 |       11116 |     7424370 |       39796
    miss rate                        |       0.29% |       0.66% |       0.19% |       0.09% |       1.38% |       0.03% |       3.32% |       0.07%
    mpki                             |        0.33 |        0.86 |        0.18 |        0.10 |        1.57 |        0.04 |        4.87 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   928377567 |   315806435 |   544264638 |   138457511 |   707690559 |    75636447 |   731285633 |   230054882
    num cache misses                 |     5688986 |     1468850 |     8696691 |    10646062 |     6481116 |     5664010 |    24694655 |     3584903
    miss rate                        |       0.61% |       0.47% |       1.60% |       7.69% |       0.92% |       7.49% |       3.38% |       1.56%
    mpki                             |        2.88 |        1.56 |        8.05 |       28.33 |        3.83 |       22.66 |       16.19 |        7.16
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6338510 |     2549107 |     9083793 |    12092905 |     9132702 |     7694842 |    32129965 |     4165516
    num cache misses                 |     4452969 |     1279455 |     4617068 |    10682381 |     3616528 |     5675126 |     5137444 |     3393063
    miss rate                        |      70.25% |      50.19% |      50.83% |      88.34% |      39.60% |      73.75% |      15.99% |      81.46%
    mpki                             |        2.25 |        1.36 |        4.27 |       28.42 |        2.14 |       22.70 |        3.37 |        6.78
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4454152 |     1561991 |     4807179 |    12092905 |     3619378 |     7694842 |     5150384 |     3977525
    num cache misses                 |      188090 |      810458 |      832165 |    10650199 |       71478 |     5667745 |      306669 |     2211589
    miss rate                        |       4.22% |      51.89% |      17.31% |      88.07% |       1.97% |      73.66% |       5.95% |      55.60%
    mpki                             |        0.10 |        0.86 |        0.77 |       28.34 |        0.04 |       22.67 |        0.20 |        4.42
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29052645 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      147.65 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       37.64 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      77.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
