                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  269645781 |  354344689 |  528115648 |  539165732 |  382776848 |  272347534 |  658978302 |  249999909
  Cycles                             |  373604487 |  373604400 |  373604400 |  373604400 |  373604400 |  373604412 |  373604363 |  373601663
  IPC                                |       0.72 |       0.95 |       1.41 |       1.44 |       1.02 |       0.73 |       1.76 |       0.67
  Time (ns)                          |  124534829 |  124534800 |  124534800 |  124534800 |  124534800 |  124534804 |  124534788 |  124533888
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   16382750 |   54073932 |   42468166 |   30195736 |   17024307 |   41357313 |   44195858 |   13325983
  num incorrect                      |    9859007 |   14009766 |    7139955 |    5138087 |   15894064 |    8946894 |    7478642 |     311809
  misprediction rate                 |     37.57% |     20.58% |     14.39% |     14.54% |     48.28% |     17.79% |     14.47% |      2.29%
  mpki                               |      36.56 |      39.54 |      13.52 |       9.53 |      41.52 |      32.85 |      11.35 |       1.25
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   32160529 |   46153528 |   77373749 |   60103253 |   28830709 |   37682455 |   79834367 |   24892730
    num misses                       |         10 |         19 |         65 |         56 |         52 |        140 |         18 |         47
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  124032482 |  119061435 |  253165440 |  254717998 |  109276746 |  105836525 |  277309954 |   86640595
    num misses                       |     851266 |     529616 |    1416293 |     164206 |       4854 |     568065 |    1913889 |     132041
    miss rate                        |      0.69% |      0.44% |      0.56% |      0.06% |      0.00% |      0.54% |      0.69% |      0.15%
    mpki                             |       3.16 |       1.49 |       2.68 |       0.30 |       0.01 |       2.09 |       2.90 |       0.53
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     851276 |     529635 |    1416358 |     164262 |       4906 |     568205 |    1913907 |     132088
    num misses                       |     675792 |     110382 |       9092 |      25903 |       4288 |      52768 |      14283 |      40806
    miss rate                        |     79.39% |     20.84% |      0.64% |     15.77% |     87.40% |      9.29% |      0.75% |     30.89%
    mpki                             |       2.51 |       0.31 |       0.02 |       0.05 |       0.01 |       0.19 |       0.02 |       0.16
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   32160529 |   46153528 |   77373749 |   60103253 |   28830709 |   37682455 |   79834367 |   24892730
    num cache misses                 |       4033 |     151669 |    2277542 |      85103 |       5809 |    2137673 |     650114 |       5169
    miss rate                        |      0.01% |      0.33% |      2.94% |      0.14% |      0.02% |      5.67% |      0.81% |      0.02%
    mpki                             |       0.01 |       0.43 |       4.31 |       0.16 |       0.02 |       7.85 |       0.99 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  124032482 |  119061435 |  253165440 |  254717998 |  109276746 |  105836525 |  277309954 |   86640595
    num cache misses                 |    1920734 |     447964 |    8389704 |    1518621 |     290666 |    2310648 |    1313089 |    3029937
    miss rate                        |      1.55% |      0.38% |      3.31% |      0.60% |      0.27% |      2.18% |      0.47% |      3.50%
    mpki                             |       7.12 |       1.26 |      15.89 |       2.82 |       0.76 |       8.48 |       1.99 |      12.12
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2087487 |     699177 |   10670550 |    1606367 |     306971 |    4545162 |    1973123 |    3382221
    num cache misses                 |     834390 |     167408 |      84762 |     664944 |     275511 |     628657 |      62117 |    2202135
    miss rate                        |     39.97% |     23.94% |      0.79% |     41.39% |     89.75% |     13.83% |      3.15% |     65.11%
    mpki                             |       3.09 |       0.47 |       0.16 |       1.23 |       0.72 |       2.31 |       0.09 |       8.81
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1063135 |     269015 |      88880 |     718842 |     286349 |     728256 |      72223 |    2563363
    num cache misses                 |     514364 |     165731 |      84651 |     487879 |     275340 |     550321 |      62083 |    1965431
    miss rate                        |     48.38% |     61.61% |     95.24% |     67.87% |     96.16% |     75.57% |     85.96% |     76.67%
    mpki                             |       1.91 |       0.47 |       0.16 |       0.90 |       0.72 |       2.02 |       0.09 |       7.86
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    6021296 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     120.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       9.99 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     48.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
