                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   688601217 |   423940842 |   675516556 |  1046873173 |  1771222198 |  6228410721 |   423791885 |  1311844182 |  1944157863 |  1327148230 |   676013847 |  1035072623 |   249999886 |  1437042086 |   708715760 |  2422989266
  Cycles                             |  3381805721 |  3381806145 |  3381805575 |  3381805504 |  3381806175 |  3381805503 |  3381805616 |  3381805500 |  3381805813 |  3381805522 |  3381805864 |  3381806306 |  3381801886 |  3381806059 |  3381805500 |  3381806250
  IPC                                |        0.20 |        0.13 |        0.20 |        0.31 |        0.52 |        1.84 |        0.13 |        0.39 |        0.57 |        0.39 |        0.20 |        0.31 |        0.07 |        0.42 |        0.21 |        0.72
  Time (ns)                          |  1127268574 |  1127268715 |  1127268525 |  1127268501 |  1127268725 |  1127268501 |  1127268539 |  1127268500 |  1127268604 |  1127268507 |  1127268621 |  1127268769 |  1127267295 |  1127268686 |  1127268500 |  1127268750
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    36869110 |    53838010 |    41307509 |    23923904 |   267035036 |   286825716 |     7658328 |     1705775 |   100946321 |   118179888 |    20315243 |    83240022 |    34399075 |    82201773 |    12950938 |   263555722
  num incorrect                      |      862280 |    12900953 |     1524129 |      425811 |    30060294 |     2387240 |    10758741 |       28908 |    75308072 |    19795643 |     9795578 |    13989515 |     4720676 |    13940621 |     1875487 |    40168195
  misprediction rate                 |       2.29% |      19.33% |       3.56% |       1.75% |      10.12% |       0.83% |      58.42% |       1.67% |      42.73% |      14.35% |      32.53% |      14.39% |      12.07% |      14.50% |      12.65% |      13.23%
  mpki                               |        1.25 |       30.43 |        2.26 |        0.41 |       16.97 |        0.38 |       25.39 |        0.02 |       38.74 |       14.92 |       14.49 |       13.52 |       18.88 |        9.70 |        2.65 |       16.58
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    68728380 |    59530770 |    64340370 |    93614958 |   283636587 |   476503608 |    45561121 |   150275691 |   155595492 |   150798143 |    52982543 |   151641838 |    43801034 |   161604683 |    67511029 |   285321482
    num misses                       |          47 |         116 |          22 |           4 |       10347 |          43 |          14 |           6 |          52 |         530 |           3 |          65 |          84 |          56 |          66 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   242600579 |   168051002 |   226894445 |   409886751 |   713723040 |  3584033969 |   152298427 |   981292460 |   569125311 |   554959953 |   306393656 |   496246485 |   116504258 |   674388858 |   362587540 |  1086255116
