                                   | Core 0    
  Instructions                     |  249999951
  Cycles                           |  126220138
  IPC                              |       1.98
  Time (ns)                        |   42073380
Branch predictor stats             |           
  num correct                      |   11512706
  num incorrect                    |      95915
  misprediction rate               |      0.83%
  mpki                             |       0.38
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   19126240
    num misses                     |         43
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  143858210
    num misses                     |      19446
    miss rate                      |      0.01%
    mpki                           |       0.08
  L2 TLB                           |           
    num accesses                   |      19489
    num misses                     |       5915
    miss rate                      |     30.35%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   19126240
    num cache misses               |      17285
    miss rate                      |      0.09%
    mpki                           |       0.07
  Cache L1-D                       |           
    num cache accesses             |  143858210
    num cache misses               |    1346205
    miss rate                      |      0.94%
    mpki                           |       5.38
  Cache L2                         |           
    num cache accesses             |    1364738
    num cache misses               |     947503
    miss rate                      |     69.43%
    mpki                           |       3.79
  Cache L3                         |           
    num cache accesses             |     948804
    num cache misses               |     385346
    miss rate                      |     40.61%
    mpki                           |       1.54
DRAM summary                       |           
  num dram accesses                |     731546
  average dram access latency (ns) |      73.10
  average dram queueing delay      |       8.08
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
