                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4      | Core 5      | Core 6     | Core 7    
  Instructions                       |  528984337 |  1490438992 |  249999898 |  847553941 |  1270025942 |  1250785615 |  423927297 |  258928419
  Cycles                             |  877955708 |   877955588 |  877952232 |  877955700 |   877955704 |   877955680 |  877955842 |  877955871
  IPC                                |       0.60 |        1.70 |       0.28 |       0.97 |        1.45 |        1.42 |       0.48 |       0.29
  Time (ns)                          |  292651903 |   292651863 |  292650744 |  292651900 |   292651901 |   292651893 |  292651947 |  292651957
Branch predictor stats               |            |             |            |            |             |             |            |           
  num correct                        |   80471009 |    99290327 |    4856955 |   17322318 |   113058755 |    57605424 |   22606566 |   20501677
  num incorrect                      |   17312165 |    17032110 |    6669357 |    2561103 |    18883861 |      480127 |     528711 |    1675744
  misprediction rate                 |     17.70% |      14.64% |     57.86% |     12.88% |      14.31% |       0.83% |      2.29% |      7.56%
  mpki                               |      32.73 |       11.43 |      26.68 |       3.02 |       14.87 |        0.38 |       1.25 |       6.47
TLB Summary                          |            |             |            |            |             |             |            |           
  I-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |   73076371 |   180841252 |   27532058 |   81141554 |   144177679 |    95694401 |   42708613 |   21747082
    num misses                       |        178 |          18 |         14 |         70 |         511 |          43 |         47 |         42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |  205411369 |   628375395 |   93614435 |  426788237 |   530831564 |   719732828 |  149783567 |   71364920
    num misses                       |    1097669 |     4447065 |     661938 |    1015454 |      276487 |       97249 |     228705 |     345452
    miss rate                        |      0.53% |       0.71% |      0.71% |      0.24% |       0.05% |       0.01% |      0.15% |      0.48%
    mpki                             |       2.08 |        2.98 |       2.65 |       1.20 |        0.22 |        0.08 |       0.54 |       1.33
  L2 TLB                             |            |             |            |            |             |             |            |           
    num accesses                     |    1097847 |     4447083 |     661952 |    1015524 |      276998 |       97292 |     228752 |     345494
    num misses                       |     103930 |       34095 |     661946 |      13987 |        8965 |       28080 |      72538 |     107484
    miss rate                        |      9.47% |       0.77% |    100.00% |      1.38% |       3.24% |      28.86% |     31.71% |     31.11%
    mpki                             |       0.20 |        0.02 |       2.65 |       0.02 |        0.01 |        0.02 |       0.17 |       0.42
Cache Summary                        |            |             |            |            |             |             |            |           
  Cache L1-I                         |            |             |            |            |             |             |            |           
    num cache accesses               |   73076371 |   180841252 |   27532058 |   81141554 |   144177679 |    95694401 |   42708613 |   21747082
    num cache misses                 |    4269580 |     1575451 |      18857 |     152281 |     1953885 |       86811 |      43414 |      41415
    miss rate                        |      5.84% |       0.87% |      0.07% |      0.19% |       1.36% |       0.09% |      0.10% |      0.19%
    mpki                             |       8.07 |        1.06 |       0.08 |       0.18 |        1.54 |        0.07 |       0.10 |       0.16
  Cache L1-D                         |            |             |            |            |             |             |            |           
    num cache accesses               |  205411369 |   628375395 |   93614435 |  426788237 |   530831564 |   719732828 |  149783567 |   71364920
    num cache misses                 |    4729143 |     2999920 |    7294797 |    6838925 |     4868353 |     6766927 |    5297306 |    3797390
    miss rate                        |      2.30% |       0.48% |      7.79% |      1.60% |       0.92% |       0.94% |      3.54% |      5.32%
    mpki                             |       8.94 |        2.01 |      29.18 |       8.07 |        3.83 |        5.41 |      12.50 |      14.67
  Cache L2                           |            |             |            |            |             |             |            |           
    num cache accesses               |    9194907 |     4599447 |    8258525 |    7081045 |     6828547 |     6858520 |    6055974 |    3864261
    num cache misses                 |    4619394 |      525765 |    7313654 |    3537194 |     2712769 |     4737559 |    4351563 |    3557079
    miss rate                        |     50.24% |      11.43% |     88.56% |     49.95% |      39.73% |      69.08% |     71.86% |     92.05%
    mpki                             |       8.73 |        0.35 |      29.25 |       4.17 |        2.14 |        3.79 |      10.26 |      13.74
  Cache L3                           |            |             |            |            |             |             |            |           
    num cache accesses               |    4815838 |      550514 |    8258525 |    3627123 |     2719177 |     4742564 |    5078257 |    3582618
    num cache misses                 |    1156259 |      169814 |    7293057 |     575233 |      165004 |     2034821 |    3789984 |    2980527
    miss rate                        |     24.01% |      30.85% |     88.31% |     15.86% |       6.07% |      42.91% |     74.63% |     83.19%
    mpki                             |       2.19 |        0.11 |      29.17 |       0.68 |        0.13 |        1.63 |       8.94 |      11.51
DRAM summary                         |            |             |            |            |             |             |            |           
  num dram accesses                  |   25597375 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  average dram access latency (ns)   |     175.81 |         inf |        inf |        inf |         inf |         inf |        inf |        inf
  average dram queueing delay        |      65.80 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     87.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |            |             |             |            |           
  num loads from dram                |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
