                                   | Core 0    
  Instructions                     |   99999880
  Cycles                           |  141994575
  IPC                              |       0.70
  Time (ns)                        |   47331525
Branch predictor stats             |           
  num correct                      |    7976092
  num incorrect                    |     656868
  misprediction rate               |      7.61%
  mpki                             |       6.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8296535
    num misses                     |         42
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   27674770
    num misses                     |     135483
    miss rate                      |      0.49%
    mpki                           |       1.35
  L2 TLB                           |           
    num accesses                   |     135525
    num misses                     |      42576
    miss rate                      |     31.42%
    mpki                           |       0.43
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8296535
    num cache misses               |      46155
    miss rate                      |      0.56%
    mpki                           |       0.46
  Cache L1-D                       |           
    num cache accesses             |   27674770
    num cache misses               |    1670905
    miss rate                      |      6.04%
    mpki                           |      16.71
  Cache L2                         |           
    num cache accesses             |    1737630
    num cache misses               |    1567829
    miss rate                      |     90.23%
    mpki                           |      15.68
  Cache L3                         |           
    num cache accesses             |    1588968
    num cache misses               |    1439757
    miss rate                      |     90.61%
    mpki                           |      14.40
DRAM summary                       |           
  num dram accesses                |    2863130
  average dram access latency (ns) |      51.47
  average dram queueing delay      |       1.46
Coherency Traffic                  |           
  num loads from dram              |    1314676
  num loads from dram cache        |          0
  num loads from remote cache      |          0
