                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1155287501 |  9559403457 |   452259873 |  6356410667 |   423172520 |  6883823407 |  3262731640 |   831228444 |   863974663 |  1756779411 |  1083499140 |  3799962352 |   249999981 |   686729405 |  8345166494 |  6160258309
  Cycles                             |  6175803504 |  6175803381 |  6175803436 |  6175802634 |  6175802400 |  6175803883 |  6175802400 |  6175803423 |  6175803268 |  6175803277 |  6175802414 |  6175803547 |  6175798632 |  6175802725 |  6175802411 |  6175803322
  IPC                                |        0.19 |        1.55 |        0.07 |        1.03 |        0.07 |        1.11 |        0.53 |        0.13 |        0.14 |        0.28 |        0.18 |        0.62 |        0.04 |        0.11 |        1.35 |        1.00
  Time (ns)                          |  2058601168 |  2058601127 |  2058601145 |  2058600878 |  2058600800 |  2058601294 |  2058600800 |  2058601141 |  2058601089 |  2058601092 |  2058600805 |  2058601182 |  2058599544 |  2058600908 |  2058600804 |  2058601107
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    61849305 |  1764193140 |    75074989 |   563767734 |    58199113 |   916655338 |   492032322 |   140462481 |     7832830 |    40500533 |    35376225 |   206436380 |    58565837 |    12660036 |   556000503 |   271374886
  num incorrect                      |     1446925 |   120351347 |     4560153 |    94158329 |     8010235 |    92568192 |    55329399 |    12944981 |       52446 |      722390 |    16684971 |   143649811 |     6500447 |    17659605 |    95456463 |    15417395
  misprediction rate                 |       2.29% |       6.39% |       5.73% |      14.31% |      12.10% |       9.17% |      10.11% |       8.44% |       0.67% |       1.75% |      32.05% |      41.03% |       9.99% |      58.24% |      14.65% |       5.38%
  mpki                               |        1.25 |       12.59 |       10.08 |       14.81 |       18.93 |       13.45 |       16.96 |       15.57 |        0.06 |        0.41 |       15.40 |       37.80 |       26.00 |       25.72 |       11.44 |        2.50
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   115492067 |  1567502927 |    76284277 |   721960000 |    74118298 |  1032168108 |   522427373 |    96530237 |    76358574 |   156994493 |    84575259 |   310650475 |    21135842 |    74221959 |  1012587722 |   587164965
    num misses                       |          47 |          39 |           4 |        2174 |          92 |        4479 |       19034 |          42 |           3 |           4 |           3 |          52 |       17441 |          14 |          18 |           8
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   403437272 |  3115396103 |   136892655 |  2657957770 |   197202546 |  2686330111 |  1314327509 |   289277853 |   235187459 |   689919233 |   475920686 |  1122120586 |    86633855 |   249646536 |  3518929282 |  1875300842
    num misses                       |      611636 |          23 |      163908 |     1401337 |     7683162 |      834834 |     7354622 |     4956989 |      419765 |      368245 |      489538 |       67774 |     1331693 |     1726209 |    25017818 |      596021
    miss rate                        |       0.15% |       0.00% |       0.12% |       0.05% |       3.90% |       0.03% |       0.56% |       1.71% |       0.18% |       0.05% |       0.10% |       0.01% |       1.54% |       0.69% |       0.71% |       0.03%
    mpki                             |        0.53 |        0.00 |        0.36 |        0.22 |       18.16 |        0.12 |        2.25 |        5.96 |        0.49 |        0.21 |        0.45 |        0.02 |        5.33 |        2.51 |        3.00 |        0.10
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      611683 |          62 |      163912 |     1403511 |     7683254 |      839313 |     7373656 |     4957031 |      419768 |      368249 |      489541 |       67826 |     1349134 |     1726223 |    25017836 |      596029
    num misses                       |      190808 |          62 |      163912 |       44236 |     2293643 |       24515 |     1049294 |     1347699 |      419451 |      191545 |      331772 |       60580 |     1140462 |     1726204 |      191050 |       14869
    miss rate                        |      31.19% |     100.00% |     100.00% |       3.15% |      29.85% |       2.92% |      14.23% |      27.19% |      99.92% |      52.02% |      67.77% |      89.32% |      84.53% |     100.00% |       0.76% |       2.49%
    mpki                             |        0.17 |        0.00 |        0.36 |        0.01 |        5.42 |        0.00 |        0.32 |        1.62 |        0.49 |        0.11 |        0.31 |        0.02 |        4.56 |        2.51 |        0.02 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   115492067 |  1567502927 |    76284277 |   721960000 |    74118298 |  1032168108 |   522427373 |    96530237 |    76358574 |   156994493 |    84575259 |   310650475 |    21135842 |    74221959 |  1012587722 |   587164965
    num cache misses                 |      120183 |    15297407 |       13880 |     9987331 |     1703420 |    21420465 |    10000277 |      109254 |      603969 |      241630 |      126843 |      134564 |      409539 |       57298 |     9128093 |      159909
