                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1778027289 |   7500490487 |  17468124211 |   4046422247 |   1397596091 |    249999989 |   2255891900 |    817238215 |  14065296163 |   3558962872 |    780062434 |   4992985001 |   4069949822 |   6124823486 |   2581737032 |    500575516
  Cycles                             |  12249587208 |  12249587100 |  12249587007 |  12249587633 |  12249587524 |  12249573658 |  12249587270 |  12249587548 |  12249587100 |  12249587910 |  12249587573 |  12249587573 |  12249587710 |  12249587111 |  12249587261 |  12249592488
  IPC                                |         0.15 |         0.61 |         1.43 |         0.33 |         0.11 |         0.02 |         0.18 |         0.07 |         1.15 |         0.29 |         0.06 |         0.41 |         0.33 |         0.50 |         0.21 |         0.04
  Time (ns)                          |   4083195736 |   4083195700 |   4083195669 |   4083195878 |   4083195841 |   4083191219 |   4083195757 |   4083195849 |   4083195700 |   4083195970 |   4083195858 |   4083195858 |   4083195903 |   4083195704 |   4083195754 |   4083197496
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     16148052 |   1146739169 |   1384789834 |    359108025 |     26793280 |     43244780 |    120685888 |    112466345 |   1524951856 |     81896174 |    118790586 |    753089269 |    271017354 |    331425481 |    113322386 |    117270517
  num incorrect                      |       108184 |    293816148 |    113249396 |     59906631 |     36967193 |     11689069 |      2823365 |     15410350 |    232439578 |      1459710 |     25475244 |     84619075 |     46552876 |    232033734 |      6441746 |     13016200
  misprediction rate                 |        0.67% |       20.40% |        7.56% |       14.30% |       57.98% |       21.28% |        2.29% |       12.05% |       13.23% |        1.75% |       17.66% |       10.10% |       14.66% |       41.18% |        5.38% |        9.99%
  mpki                               |         0.06 |        39.17 |         6.48 |        14.80 |        26.45 |        46.76 |         1.25 |        18.86 |        16.53 |         0.41 |        32.66 |        16.95 |        11.44 |        37.88 |         2.50 |        26.00
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    157144678 |    975763013 |   1462193972 |    459526468 |    153403818 |     23761816 |    224679811 |    143203347 |   1656752390 |    318279286 |    107648160 |    799390583 |    493778996 |    499852230 |    246420734 |     42317939
    num misses                       |            3 |           19 |           42 |         1413 |           14 |            3 |           47 |          100 |           10 |            4 |          216 |        29066 |           18 |           52 |            8 |        34787
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.08%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.01 |         0.00 |         0.00 |         0.00 |         0.07
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    484396525 |   2524950563 |   4807481451 |   1691841491 |    519196381 |     88558906 |    781532617 |    380888433 |   6321926304 |   1396657924 |    302775444 |   2010730233 |   1715987548 |   1807342433 |    787518289 |    173462989
    num misses                       |       866226 |     11176689 |     23497045 |       885478 |      3665169 |     21159939 |      1216380 |     14827951 |     63442476 |       740385 |      1614001 |     11208054 |     12192114 |       108564 |       245248 |      2664714
    miss rate                        |        0.18% |        0.44% |        0.49% |        0.05% |        0.71% |       23.89% |        0.16% |        3.89% |        1.00% |        0.05% |        0.53% |        0.56% |        0.71% |        0.01% |        0.03% |        1.54%
