                                     | Core 0      | Core 1       | Core 2      | Core 3      | Core 4      | Core 5       | Core 6      | Core 7       | Core 8      | Core 9      | Core 10      | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1683081304 |  13979258054 |   936375974 |  4716677298 |  4101356034 |  10339849047 |  2172016974 |  14699859083 |  6198736897 |  5051852991 |  10471802195 |  3223235077 |  1351469910 |   249999989 |  6376361247 |  9254675025
  Cycles                             |  8629715844 |   8629714522 |  8629714905 |  8629714937 |  8629715567 |   8629714539 |  8629715408 |   8629714517 |  8629715227 |  8629714535 |   8629714528 |  8629715277 |  8629715351 |  8629704304 |  8629714614 |  8629714536
  IPC                                |        0.20 |         1.62 |        0.11 |        0.55 |        0.48 |         1.20 |        0.25 |         1.70 |        0.72 |        0.59 |         1.21 |        0.37 |        0.16 |        0.03 |        0.74 |        1.07
  Time (ns)                          |  2876571948 |   2876571507 |  2876571635 |  2876571646 |  2876571856 |   2876571513 |  2876571803 |   2876571506 |  2876571742 |  2876571512 |   2876571509 |  2876571759 |  2876571784 |  2876568101 |  2876571538 |  2876571512
Branch predictor stats               |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
  num correct                        |    15264149 |    797042887 |   158007161 |   607418052 |     5342490 |    916873599 |   134094987 |   2712865917 |   334621383 |    95441949 |   1136249188 |   490419475 |   107098519 |    43244780 |   974851435 |   408723645
  num incorrect                      |      102214 |    134804229 |    14607364 |   141748848 |       90538 |    153003022 |     4702861 |    185067954 |   235351617 |    14512992 |    173377012 |   105523623 |     8762145 |    11689069 |   249869589 |    23203254
  misprediction rate                 |       0.67% |       14.47% |       8.46% |      18.92% |       1.67% |       14.30% |       3.39% |        6.39% |      41.29% |      13.20% |       13.24% |      17.71% |       7.56% |      21.28% |      20.40% |       5.37%
  mpki                               |        0.06 |         9.64 |       15.60 |       30.05 |        0.02 |        14.80 |        2.17 |        12.59 |       37.97 |        2.87 |        16.56 |       32.74 |        6.48 |       46.76 |       39.19 |        2.51
TLB Summary                          |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
  I-TLB                              |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
    num accesses                     |   148751918 |   1570007185 |   108540701 |   661475158 |   469795039 |   1174276516 |   206398412 |   2410406333 |   504109473 |   481478486 |   1233130846 |   445281681 |   113572388 |    23761816 |   829563126 |   881266331
    num misses                       |           3 |           56 |          42 |         304 |           6 |         3482 |          22 |           39 |          52 |         138 |           10 |         585 |          42 |           3 |          19 |           8
    miss rate                        |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |        0.00% |       0.00% |        0.00% |       0.00% |       0.00% |        0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |         0.00 |        0.00 |        0.00 |        0.00 |         0.00 |        0.00 |         0.00 |        0.00 |        0.00 |         0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
    num accesses                     |   458233147 |   6568104667 |   326094812 |  1842824724 |  3068012355 |   4323397651 |   722586407 |   4790655008 |  1826927262 |  2565701593 |   4700619349 |  1250874001 |   371850933 |    88558906 |  2146367019 |  2813310753
    num misses                       |      818149 |      4242430 |     5614344 |     3298618 |   110662963 |      2274568 |     5784587 |           23 |      110157 |     5717172 |     47149026 |     6647423 |     1818586 |    21159853 |     9498074 |      901102
    miss rate                        |       0.18% |        0.06% |       1.72% |       0.18% |       3.61% |        0.05% |       0.80% |        0.00% |       0.01% |       0.22% |        1.00% |       0.53% |       0.49% |      23.89% |       0.44% |       0.03%
    mpki                             |        0.49 |         0.30 |        6.00 |        0.70 |       26.98 |         0.22 |        2.66 |         0.00 |        0.02 |        1.13 |         4.50 |        2.06 |        1.35 |       84.64 |        1.49 |        0.10
  L2 TLB                             |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
    num accesses                     |      818152 |      4242486 |     5614386 |     3298922 |   110662969 |      2278050 |     5784609 |           62 |      110209 |     5717310 |     47149036 |     6648008 |     1818628 |    21159856 |     9498093 |      901110
    num misses                       |      817531 |       668694 |     1517246 |      525520 |    78992570 |        71775 |      558128 |           62 |       98236 |       78881 |      4159093 |      650060 |      567662 |    10898706 |     1989129 |       22386
    miss rate                        |      99.92% |       15.76% |      27.02% |      15.93% |      71.38% |        3.15% |       9.65% |      100.00% |      89.14% |       1.38% |        8.82% |       9.78% |      31.21% |      51.51% |      20.94% |       2.48%
    mpki                             |        0.49 |         0.05 |        1.62 |        0.11 |       19.26 |         0.01 |        0.26 |         0.00 |        0.02 |        0.02 |         0.40 |        0.20 |        0.42 |       43.59 |        0.31 |        0.00
Cache Summary                        |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
  Cache L1-I                         |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
    num cache accesses               |   148751918 |   1570007185 |   108540701 |   661475158 |   469795039 |   1174276516 |   206398412 |   2410406333 |   504109473 |   481478486 |   1233130846 |   445281681 |   113572388 |    23761816 |   829563126 |   881266331
    num cache misses                 |     1163000 |      4579586 |      129844 |    20659590 |     2090319 |     16162285 |     1393221 |     23219191 |      199530 |      913218 |       897484 |    26108805 |      218399 |      198389 |     4788988 |      280604
    miss rate                        |       0.78% |        0.29% |       0.12% |       3.12% |       0.44% |        1.38% |       0.68% |        0.96% |       0.04% |       0.19% |        0.07% |       5.86% |       0.19% |       0.83% |       0.58% |       0.03%
    mpki                             |        0.69 |         0.33 |        0.14 |        4.38 |        0.51 |         1.56 |        0.64 |         1.58 |        0.03 |        0.18 |         0.09 |        8.10 |        0.16 |        0.79 |        0.75 |        0.03
  Cache L1-D                         |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
    num cache accesses               |   458233147 |   6568104667 |   326094812 |  1842824724 |  3068012355 |   4323397651 |   722586407 |   4790655008 |  1826927262 |  2565701593 |   4700619349 |  1250874001 |   371850933 |    88558906 |  2146367019 |  2813310753
    num cache misses                 |    86436774 |     40305372 |    38279923 |    23100589 |    33780085 |     40027436 |    41395809 |       379453 |     6943697 |    39871761 |    151085472 |    29080072 |    19939250 |    28799076 |     9320754 |    75339966
    miss rate                        |      18.86% |        0.61% |      11.74% |       1.25% |       1.10% |        0.93% |       5.73% |        0.01% |       0.38% |       1.55% |        3.21% |       2.32% |       5.36% |      32.52% |       0.43% |       2.68%
    mpki                             |       51.36 |         2.88 |       40.88 |        4.90 |        8.24 |         3.87 |       19.06 |         0.03 |        1.12 |        7.89 |        14.43 |        9.02 |       14.75 |      115.20 |        1.46 |        8.14
  Cache L2                           |             |              |             |             |             |              |             |              |             |             |              |             |             |             |             |            
    num cache accesses               |    87601785 |     44891855 |    43158907 |    45311463 |    35897561 |     56299793 |    45864732 |     23657637 |     7486283 |    42401618 |    152437791 |    56698911 |    20340537 |    32815969 |    15976680 |    76187073
    num cache misses                 |    56968274 |     31537434 |    33946833 |    20368712 |    25157585 |     22425463 |    20308175 |      1226395 |     6889871 |    21993809 |    106603619 |    28842901 |    18733268 |    24537334 |     6940848 |     4268160
    miss rate                        |      65.03% |       70.25% |      78.66% |      44.95% |      70.08% |       39.83% |      44.28% |        5.18% |      92.03% |      51.87% |       69.93% |      50.87% |      92.10% |      74.77% |      43.44% |       5.60%
