                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    mpki                             |       14.70 |        0.37 |       41.06 |       28.35 |       22.65 |        7.09 |       19.32 |       26.14 |        8.06 |       22.21 |       14.69 |       50.87 |       15.79 |        8.18 |        2.84 |        5.33
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5551712 |     4597109 |    12332236 |    12048447 |     7685104 |     9773585 |    13166883 |     8680777 |    34197622 |    14265943 |    21830350 |    24215240 |    79087431 |    10855133 |     6978804 |    38643853
    num cache misses                 |     4757014 |     2229207 |     9069566 |    10638592 |     5665422 |     7566505 |     3702440 |     5899319 |      882655 |    11872826 |    11772427 |    14751272 |      919225 |     7329745 |     3968187 |     1819302
    miss rate                        |      85.69% |      48.49% |      73.54% |      88.30% |      73.72% |      77.42% |      28.12% |      67.96% |       2.58% |      83.22% |      53.93% |      60.92% |       1.16% |      67.52% |      56.86% |       4.71%
    mpki                             |       12.81 |        1.47 |       33.66 |       28.39 |       22.66 |        5.98 |        5.90 |       23.27 |        0.21 |       19.63 |        8.03 |       31.16 |        0.23 |        5.67 |        1.75 |        0.40
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     4804566 |     2343341 |    10313969 |    12048363 |     7685104 |     8498993 |     4584386 |     7280903 |     1021085 |    12668119 |    12034391 |    14751277 |      957860 |     7331905 |     3984187 |     1993026
    num cache misses                 |     4531018 |     2151181 |     6756201 |    10621281 |     5660141 |     2485863 |     3369783 |     4635208 |      824761 |    11827825 |     3753240 |    14600282 |      724454 |     6807578 |     3196740 |     1134747
    miss rate                        |      94.31% |      91.80% |      65.51% |      88.16% |      73.65% |      29.25% |      73.51% |      63.66% |      80.77% |      93.37% |      31.19% |      98.98% |      75.63% |      92.85% |      80.24% |      56.94%
    mpki                             |       12.20 |        1.42 |       25.07 |       28.35 |       22.64 |        1.96 |        5.37 |       18.28 |        0.20 |       19.55 |        2.56 |       30.84 |        0.18 |        5.27 |        1.41 |        0.25
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   116052168 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      503.41 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      393.40 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      97.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
