                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   268600722 |  3070617469 |  2011887776 |   871930033 |  3324467670 |  1594107432 |  1959708785 |  1977588405 |  1108500640 |   249999886 |   968194930 |   447500227 |  4059132362 |   601986291 |   356509916 |  4785657274
  Cycles                             |  2598523082 |  2598523215 |  2598522641 |  2598523172 |  2598522625 |  2598522626 |  2598522621 |  2598522653 |  2598522634 |  2598517549 |  2598524476 |  2598523175 |  2598522633 |  2598522639 |  2598523272 |  2598522619
  IPC                                |        0.10 |        1.18 |        0.77 |        0.34 |        1.28 |        0.61 |        0.75 |        0.76 |        0.43 |        0.10 |        0.37 |        0.17 |        1.56 |        0.23 |        0.14 |        1.84
  Time (ns)                          |   866174361 |   866174405 |   866174214 |   866174391 |   866174208 |   866174209 |   866174207 |   866174218 |   866174211 |   866172516 |   866174825 |   866174392 |   866174211 |   866174213 |   866174424 |   866174206
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    45966637 |   246977876 |   114260293 |    19461573 |   146193261 |   205341970 |    90243173 |   302443762 |    67356616 |    34399075 |   146223059 |     4037909 |   270260738 |    32292569 |    28264683 |   883196353
  num incorrect                      |     4105814 |    41504253 |    19340128 |      344923 |     8308228 |    47993711 |      750243 |    77464449 |    40532362 |     4720676 |    32283644 |       26994 |    46426903 |      755702 |     2312595 |    60251225
  misprediction rate                 |       8.20% |      14.39% |      14.48% |       1.74% |       5.38% |      18.94% |       0.82% |      20.39% |      37.57% |      12.07% |      18.09% |       0.66% |      14.66% |       2.29% |       7.56% |       6.39%
  mpki                               |       15.29 |       13.52 |        9.61 |        0.40 |        2.50 |       30.11 |        0.38 |       39.17 |       36.57 |       18.88 |       33.34 |        0.06 |       11.44 |        1.26 |        6.49 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
