                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5319065628 |  3334030672 |  3504153401 |  4659963517 |   940525791 |  2638124192 |  5161046689 |   249999989
  Cycles                             |  4089557112 |  4089557100 |  4089557106 |  4089557103 |  4089557118 |  4089557109 |  4089557084 |  4089553799
  IPC                                |        1.30 |        0.82 |        0.86 |        1.14 |        0.23 |        0.65 |        1.26 |        0.06
  Time (ns)                          |  1363185704 |  1363185700 |  1363185702 |  1363185701 |  1363185706 |  1363185703 |  1363185695 |  1363184600
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   471795365 |   361017243 |   451613206 |   266273219 |   158887200 |   160355149 |   237659184 |    43244780
  num incorrect                      |    78766777 |    55009569 |   105238855 |    45044125 |    14659011 |    96494438 |     1975671 |    11689069
  misprediction rate                 |      14.31% |      13.22% |      18.90% |      14.47% |       8.45% |      37.57% |       0.82% |      21.28%
  mpki                               |       14.81 |       16.50 |       30.03 |        9.67 |       15.59 |       36.58 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   604083760 |   392378405 |   491392439 |   523816978 |   109170791 |   314847612 |   394835438 |    23761816
    num misses                       |        1838 |          10 |         249 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2224056783 |  1498412348 |  1368125142 |  2187956581 |   327370835 |  1213033655 |  2969845946 |    88558906
    num misses                       |     1168424 |    15235478 |     2467505 |     1413438 |     5621036 |     8330366 |      400112 |    21160258
    miss rate                        |       0.05% |       1.02% |       0.18% |       0.06% |       1.72% |       0.69% |       0.01% |      23.89%
    mpki                             |        0.22 |        4.57 |        0.70 |        0.30 |        5.98 |        3.16 |        0.08 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1170262 |    15235488 |     2467754 |     1413494 |     5621078 |     8330376 |      400155 |    21160261
    num misses                       |       37005 |     1354650 |      391844 |      222746 |     1521562 |     6621499 |      115504 |    10898387
    miss rate                        |       3.16% |       8.89% |      15.88% |      15.76% |      27.07% |      79.49% |      28.86% |      51.50%
    mpki                             |        0.01 |        0.41 |        0.11 |        0.05 |        1.62 |        2.51 |        0.02 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   604083760 |   392378405 |   491392439 |   523816978 |   109170791 |   314847612 |   394835438 |    23761816
    num cache misses                 |     7539997 |      144606 |    14433489 |     1062890 |       79106 |      113689 |      267274 |      105841
    miss rate                        |       1.25% |       0.04% |       2.94% |       0.20% |       0.07% |       0.04% |       0.07% |       0.45%
    mpki                             |        1.42 |        0.04 |        4.12 |        0.23 |        0.08 |        0.04 |        0.05 |        0.42
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2224056783 |  1498412348 |  1368125142 |  2187956581 |   327370835 |  1213033655 |  2969845946 |    88558906
    num cache misses                 |    20385333 |    47945797 |    16998874 |    13183115 |    38242412 |    18704424 |    27091464 |    28754722
    miss rate                        |       0.92% |       3.20% |       1.24% |       0.60% |      11.68% |       1.54% |       0.91% |      32.47%
    mpki                             |        3.83 |       14.38 |        4.85 |        2.83 |       40.66 |        7.09 |        5.25 |      115.02
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28060240 |    48624099 |    32521793 |    14273576 |    41845514 |    20350408 |    27414381 |    32549915
    num cache misses                 |     5106869 |    26122297 |     9116955 |     8090771 |    31214739 |    15773061 |    16780916 |    22315772
    miss rate                        |      18.20% |      53.72% |      28.03% |      56.68% |      74.60% |      77.51% |      61.21% |      68.56%
    mpki                             |        0.96 |        7.84 |        2.60 |        1.74 |       33.19 |        5.98 |        3.25 |       89.26
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5255569 |    26723822 |    10227646 |     8125835 |    34741814 |    17683623 |    16842204 |    26052298
    num cache misses                 |     2205059 |     9194160 |     3439538 |     6697290 |    21079387 |     5075291 |    11625036 |    16955107
    miss rate                        |      41.96% |      34.40% |      33.63% |      82.42% |      60.67% |      28.70% |      69.02% |      65.08%
    mpki                             |        0.41 |        2.76 |        0.98 |        1.44 |       22.41 |        1.92 |        2.25 |       67.82
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   113631355 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      174.81 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       64.80 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      83.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
