                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    miss rate                        |       1.55% |       5.06% |       1.10% |       5.69% |       0.61% |       5.70% |       2.65% |       1.54% |       0.00% |       7.67% |       5.38% |       0.94% |       8.61% |       2.59% |       2.29% |       0.47%
    mpki                             |        7.11 |       22.18 |        8.23 |       18.95 |        2.89 |       26.58 |        8.07 |        7.82 |        0.01 |       23.20 |       14.82 |        5.41 |       29.82 |       10.16 |        8.90 |        1.99
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    16423839 |    25417686 |    18924454 |    24011761 |    12196149 |    17249409 |    49145175 |    27692683 |    12905201 |    13981731 |    10416874 |    21341506 |     7879114 |    17723141 |    32242849 |    22400556
    num cache misses                 |    14183250 |    21209324 |    13235348 |    10510220 |     8589056 |    12687149 |     1606773 |    14259051 |      290702 |    10563634 |     9553060 |    14734398 |     7531772 |    12334114 |    16109082 |     2250971
    miss rate                        |      86.36% |      83.44% |      69.94% |      43.77% |      70.42% |      73.55% |       3.27% |      51.49% |       2.25% |      75.55% |      91.71% |      69.04% |      95.59% |      69.59% |      49.96% |      10.05%
    mpki                             |        6.68 |       19.84 |        6.09 |        9.17 |        2.27 |       26.10 |        0.27 |        4.16 |        0.04 |       23.22 |       13.86 |        3.79 |       30.13 |        7.16 |        8.66 |        0.31
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    15552432 |    22799027 |    13236490 |    12084908 |     8603274 |    15170608 |     1789752 |    14600372 |      304250 |    13981731 |     9642478 |    14761476 |     7552442 |    12338295 |    16819198 |     2345993
    num cache misses                 |     3859901 |    20952811 |    11318931 |     6032394 |     4954060 |     8426799 |     1031593 |     2466015 |      286497 |    10544617 |     8332234 |     7519766 |     7240338 |    11841794 |     4083307 |      565738
    miss rate                        |      24.82% |      91.90% |      85.51% |      49.92% |      57.58% |      55.55% |      57.64% |      16.89% |      94.16% |      75.42% |      86.41% |      50.94% |      95.87% |      95.98% |      24.28% |      24.12%
    mpki                             |        1.82 |       19.60 |        5.21 |        5.26 |        1.31 |       17.33 |        0.17 |        0.72 |        0.03 |       23.18 |       12.09 |        1.93 |       28.96 |        6.88 |        2.19 |        0.08
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   143062098 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      347.61 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      237.60 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      95.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
