                                     | Core 0    
  Instructions                       |  249999883
  Cycles                             |  237716978
  IPC                                |       1.05
  Time (ns)                          |   79238993
Branch predictor stats               |           
  num correct                        |   13678195
  num incorrect                      |    9414386
  misprediction rate                 |     40.77%
  mpki                               |      37.66
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   20500819
    num misses                       |         52
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   73920987
    num misses                       |       4511
    miss rate                        |      0.01%
    mpki                             |       0.02
  L2 TLB                             |           
    num accesses                     |       4563
    num misses                       |       4160
    miss rate                        |     91.17%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   20500819
    num cache misses                 |       2221
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   73920987
    num cache misses                 |     265995
    miss rate                        |      0.36%
    mpki                             |       1.06
  Cache L2                           |           
    num cache accesses               |     269601
    num cache misses                 |     259536
    miss rate                        |     96.27%
    mpki                             |       1.04
  Cache L3                           |           
    num cache accesses               |     260932
    num cache misses                 |     246739
    miss rate                        |     94.56%
    mpki                             |       0.99
DRAM summary                         |           
  num dram accesses                  |     360814
  average dram access latency (ns)   |     111.32
  average dram queueing delay        |       1.31
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
