                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  5930265437 |  3515756256 |   989365794 |   437183974 |  1162484386 |  6680875330 |  3723384165 |  5925962585 |  1735746757 |   249999981 |  5651854755 |   693291598 |  6874543504 |  8314874015 |   873365749 |  1723656230
  Cycles                             |  5235475762 |  5235475805 |  5235476309 |  5235476080 |  5235475711 |  5235475977 |  5235475627 |  5235475811 |  5235475691 |  5235470898 |  5235475693 |  5235475836 |  5235475613 |  5235475828 |  5235475800 |  5235476087
  IPC                                |        1.13 |        0.67 |        0.19 |        0.08 |        0.22 |        1.28 |        0.71 |        1.13 |        0.33 |        0.05 |        1.08 |        0.13 |        1.31 |        1.59 |        0.17 |        0.33
  Time (ns)                          |  1745158588 |  1745158602 |  1745158770 |  1745158694 |  1745158571 |  1745158659 |  1745158543 |  1745158604 |  1745158564 |  1745156966 |  1745158565 |  1745158612 |  1745158538 |  1745158610 |  1745158600 |  1745158696
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   644549921 |   191888718 |    60141037 |    60128725 |    62133366 |   445473271 |   479532370 |   476593923 |    39975689 |    58565837 |   248933497 |    12774065 |   316572816 |  1534514834 |     7916889 |   261506383
  num incorrect                      |    98191932 |   132573199 |    36191549 |     8277472 |     1453625 |    76340546 |   111895164 |    80045390 |      712919 |     6500447 |    14135961 |    17767931 |     2633115 |   104683063 |       53006 |    56805266
  misprediction rate                 |      13.22% |      40.86% |      37.57% |      12.10% |       2.29% |      14.63% |      18.92% |      14.38% |       1.75% |       9.99% |       5.37% |      58.18% |       0.82% |       6.39% |       0.67% |      17.85%
  mpki                               |       16.56 |       37.71 |       36.58 |       18.93 |        1.25 |       11.43 |       30.05 |       13.51 |        0.41 |       26.00 |        2.50 |       25.63 |        0.38 |       12.59 |        0.06 |       32.96
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   698232713 |   287996574 |   118077733 |    76575218 |   116108415 |   810581999 |   522181186 |   868129351 |   155180519 |    21135842 |   538789369 |    74842688 |   525930525 |  1363431694 |    77188530 |   238846470
    num misses                       |          10 |          52 |          10 |          92 |          47 |          18 |         260 |          65 |           4 |       17441 |           8 |          14 |          43 |          39 |           3 |         357
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  2661372623 |  1039088533 |   454831138 |   203704194 |   406251148 |  2816617960 |  1454706192 |  2841237017 |   682140653 |    86633855 |  1720722168 |   251671198 |  3955843466 |  2709806970 |   237729117 |   669473839
    num misses                       |    26836548 |       63158 |     3126231 |     7927890 |      612524 |    19948717 |     2603457 |    15855651 |      363719 |     1331693 |      545719 |     1733595 |      533134 |          23 |      424236 |     3564171
    miss rate                        |       1.01% |       0.01% |       0.69% |       3.89% |       0.15% |       0.71% |       0.18% |       0.56% |       0.05% |       1.54% |       0.03% |       0.69% |       0.01% |       0.00% |       0.18% |       0.53%
    mpki                             |        4.53 |        0.02 |        3.16 |       18.13 |        0.53 |        2.99 |        0.70 |        2.68 |        0.21 |        5.33 |        0.10 |        2.50 |        0.08 |        0.00 |        0.49 |        2.07
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    26836558 |       63210 |     3126241 |     7927982 |      612571 |    19948735 |     2603717 |    15855716 |      363723 |     1349134 |      545727 |     1733609 |      533177 |          62 |      424239 |     3564528
    num misses                       |     2375094 |       56502 |     2485986 |     2366667 |      191521 |      152147 |      414698 |      100516 |      189697 |     1140468 |       13657 |     1733590 |      153446 |          62 |      423918 |      349149
    miss rate                        |       8.85% |      89.39% |      79.52% |      29.85% |      31.27% |       0.76% |      15.93% |       0.63% |      52.15% |      84.53% |       2.50% |     100.00% |      28.78% |     100.00% |      99.92% |       9.80%
    mpki                             |        0.40 |        0.02 |        2.51 |        5.41 |        0.16 |        0.02 |        0.11 |        0.02 |        0.11 |        4.56 |        0.00 |        2.50 |        0.02 |        0.00 |        0.49 |        0.20
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   698232713 |   287996574 |   118077733 |    76575218 |   116108415 |   810581999 |   522181186 |   868129351 |   155180519 |    21135842 |   538789369 |    74842688 |   525930525 |  1363431694 |    77188530 |   238846470
    num cache misses                 |      510703 |      124028 |       67032 |     1725601 |      120700 |     7525531 |    16243186 |    28901205 |      234957 |      405024 |      135277 |       57404 |      474555 |    13292438 |      608684 |    14061090
    miss rate                        |       0.07% |       0.04% |       0.06% |       2.25% |       0.10% |       0.93% |       3.11% |       3.33% |       0.15% |       1.92% |       0.03% |       0.08% |       0.09% |       0.97% |       0.79% |       5.89%
    mpki                             |        0.09 |        0.04 |        0.07 |        3.95 |        0.10 |        1.13 |        4.36 |        4.88 |        0.14 |        1.62 |        0.02 |        0.08 |        0.07 |        1.60 |        0.70 |        8.16
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  2661372623 |  1039088533 |   454831138 |   203704194 |   406251148 |  2816617960 |  1454706192 |  2841237017 |   682140653 |    86633855 |  1720722168 |   251671198 |  3955843466 |  2709806970 |   237729117 |   669473839
    num cache misses                 |    85775063 |     3992498 |     7106143 |    11663896 |    14314870 |    13957013 |    18171642 |    95735610 |    17720508 |     7455441 |    45938217 |    19184646 |    37188748 |      238831 |    44819789 |    14999300
    miss rate                        |       3.22% |       0.38% |       1.56% |       5.73% |       3.52% |       0.50% |       1.25% |       3.37% |       2.60% |       8.61% |       2.67% |       7.62% |       0.94% |       0.01% |      18.85% |       2.24%
    mpki                             |       14.46 |        1.14 |        7.18 |       26.68 |       12.31 |        2.09 |        4.88 |       16.16 |       10.21 |       29.82 |        8.13 |       27.67 |        5.41 |        0.03 |       51.32 |        8.70
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    86644742 |     4325493 |     8443105 |    15998080 |    16525783 |    21674868 |    35354921 |   124689909 |    17985966 |     7880187 |    46351367 |    21597186 |    37678911 |    13568786 |    45429430 |    29869186
    num cache misses                 |    60454507 |     3984847 |     6714849 |    11526367 |    11718968 |     3359219 |    15773134 |    19876369 |    12535351 |     7532448 |     2233528 |    19242050 |    26038518 |      853266 |    29538459 |    14894469
    miss rate                        |      69.77% |      92.12% |      79.53% |      72.05% |      70.91% |      15.50% |      44.61% |      15.94% |      69.70% |      95.59% |       4.82% |      89.10% |      69.11% |       6.29% |      65.02% |      49.87%
    mpki                             |       10.19 |        1.13 |        6.79 |       26.37 |       10.08 |        0.50 |        4.24 |        3.35 |        7.22 |       30.13 |        0.40 |       27.75 |        3.79 |        0.10 |       33.82 |        8.64
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60816489 |     4197483 |     8073171 |    14139652 |    13862505 |     3557237 |    16716555 |    19939587 |    12577088 |     7552728 |     2523297 |    21597186 |    26054848 |      890783 |    29539416 |    15705112
    num cache misses                 |     2035766 |     3953367 |     5318407 |     8700562 |    10412147 |     1612091 |     2555366 |     1167143 |    12015715 |     7288053 |     1795670 |    19183254 |     4317091 |      828946 |    27063090 |     4607694
    miss rate                        |       3.35% |      94.18% |      65.88% |      61.53% |      75.11% |      45.32% |      15.29% |       5.85% |      95.54% |      96.50% |      71.16% |      88.82% |      16.57% |      93.06% |      91.62% |      29.34%
    mpki                             |        0.34 |        1.12 |        5.38 |       19.90 |        8.96 |        0.24 |        0.69 |        0.20 |        6.92 |       29.15 |        0.32 |       27.67 |        0.63 |        0.10 |       30.99 |        2.67
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   166987198 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      401.92 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
