                                   | Core 0    
  Instructions                     |   99999892
  Cycles                           |  143939880
  IPC                              |       0.69
  Time (ns)                        |   47979960
Branch predictor stats             |           
  num correct                      |    5563643
  num incorrect                    |     913021
  misprediction rate               |     14.10%
  mpki                             |       9.13
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9896916
    num misses                     |          5
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   29723322
    num misses                     |     202638
    miss rate                      |      0.68%
    mpki                           |       2.03
  L2 TLB                           |           
    num accesses                   |     202643
    num misses                     |       5394
    miss rate                      |      2.66%
    mpki                           |       0.05
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9896916
    num cache misses               |     280031
    miss rate                      |      2.83%
    mpki                           |       2.80
  Cache L1-D                       |           
    num cache accesses             |   29723322
    num cache misses               |    1594747
    miss rate                      |      5.37%
    mpki                           |      15.95
  Cache L2                         |           
    num cache accesses             |    2022861
    num cache misses               |    1413213
    miss rate                      |     69.86%
    mpki                           |      14.13
  Cache L3                         |           
    num cache accesses             |    1562947
    num cache misses               |    1371668
    miss rate                      |     87.76%
    mpki                           |      13.72
DRAM summary                       |           
  num dram accesses                |    2726952
  average dram access latency (ns) |      51.76
  average dram queueing delay      |       1.76
Coherency Traffic                  |           
  num loads from dram              |     883565
  num loads from dram cache        |          0
  num loads from remote cache      |          0
