                                     | Core 0     | Core 1      | Core 2     | Core 3     | Core 4      | Core 5      | Core 6     | Core 7    
  Instructions                       |  518023039 |  1511182430 |  249999898 |  702818246 |  1129572733 |  1134734254 |  424368472 |  263681796
  Cycles                             |  918549000 |   918549000 |  918545503 |  918549000 |   918549004 |   918548965 |  918549189 |  918549225
  IPC                                |       0.56 |        1.65 |       0.27 |       0.77 |        1.23 |        1.24 |       0.46 |       0.29
  Time (ns)                          |  306183000 |   306183000 |  306181834 |  306183000 |   306183001 |   306182988 |  306183063 |  306183075
Branch predictor stats               |            |             |            |            |             |             |            |           
  num correct                        |   78890676 |   100574866 |    4856955 |   12938218 |   100822795 |    52246254 |   22643620 |   20907317
  num incorrect                      |   16913611 |    17273265 |    6669357 |    1874445 |    16975709 |      433059 |     529686 |    1708603
  misprediction rate                 |     17.65% |      14.66% |     57.86% |     12.65% |      14.41% |       0.82% |      2.29% |      7.55%
  mpki                               |      32.65 |       11.43 |      26.68 |       2.67 |       15.03 |        0.38 |       1.25 |       6.48
TLB Summary                          |            |             |            |            |             |             |            |           
  I-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |   71490568 |   183331145 |   27532058 |   66972362 |   128508105 |    86805910 |   42778108 |   22135272
    num misses                       |        178 |          18 |         14 |         66 |         467 |          43 |         47 |         42
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |            |             |             |            |           
    num accesses                     |  201085310 |   637058390 |   93614435 |  359253015 |   472523275 |   652966670 |  149927547 |   72675367
    num misses                       |    1073392 |     4517504 |     661938 |     820237 |      252935 |       87443 |     228842 |     353408
    miss rate                        |      0.53% |       0.71% |      0.71% |      0.23% |       0.05% |       0.01% |      0.15% |      0.49%
    mpki                             |       2.07 |        2.99 |       2.65 |       1.17 |        0.22 |        0.08 |       0.54 |       1.34
  L2 TLB                             |            |             |            |            |             |             |            |           
    num accesses                     |    1073570 |     4517522 |     661952 |     820303 |      253402 |       87486 |     228889 |     353450
    num misses                       |     103108 |       34724 |     661946 |      10446 |        7976 |       26135 |      72746 |     110430
    miss rate                        |      9.60% |       0.77% |    100.00% |      1.27% |       3.15% |      29.87% |     31.78% |     31.24%
    mpki                             |       0.20 |        0.02 |       2.65 |       0.01 |        0.01 |        0.02 |       0.17 |       0.42
Cache Summary                        |            |             |            |            |             |             |            |           
  Cache L1-I                         |            |             |            |            |             |             |            |           
    num cache accesses               |   71490568 |   183331145 |   27532058 |   66972362 |   128508105 |    86805910 |   42778108 |   22135272
    num cache misses                 |    4090241 |     1538919 |       4999 |      16764 |     1604832 |       41809 |      14641 |      22619
    miss rate                        |      5.72% |       0.84% |      0.02% |      0.03% |       1.25% |       0.05% |      0.03% |      0.10%
    mpki                             |       7.90 |        1.02 |       0.02 |       0.02 |        1.42 |        0.04 |       0.03 |       0.09
  Cache L1-D                         |            |             |            |            |             |             |            |           
    num cache accesses               |  201085310 |   637058390 |   93614435 |  359253015 |   472523275 |   652966670 |  149927547 |   72675367
    num cache misses                 |    4599938 |     2966051 |    7293409 |    5529558 |     4078588 |     5903889 |    5291963 |    3856964
    miss rate                        |      2.29% |       0.47% |      7.79% |      1.54% |       0.86% |       0.90% |      3.53% |      5.31%
    mpki                             |       8.88 |        1.96 |      29.17 |       7.87 |        3.61 |        5.20 |      12.47 |      14.63
  Cache L2                           |            |             |            |            |             |             |            |           
    num cache accesses               |    8895455 |     4536158 |    8243254 |    5796000 |     5718646 |     5958644 |    6007196 |    3911554
    num cache misses                 |    3368668 |      224838 |    7298349 |    1066597 |      660661 |     3302414 |    3919823 |    3278628
    miss rate                        |     37.87% |       4.96% |     88.54% |     18.40% |      11.55% |      55.42% |     65.25% |     83.82%
    mpki                             |       6.50 |        0.15 |      29.19 |       1.52 |        0.58 |        2.91 |       9.24 |      12.43
  Cache L3                           |            |             |            |            |             |             |            |           
    num cache accesses               |    3575356 |      256791 |    8243195 |    1319418 |      702100 |     3317688 |    4652609 |    3313705
    num cache misses                 |    1223795 |      224695 |    7292724 |     884518 |      576294 |     2310886 |    3790028 |    3035239
    miss rate                        |     34.23% |      87.50% |     88.47% |     67.04% |      82.08% |      69.65% |     81.46% |     91.60%
    mpki                             |       2.36 |        0.15 |      29.17 |       1.26 |        0.51 |        2.04 |       8.93 |      11.51
DRAM summary                         |            |             |            |            |             |             |            |           
  num dram accesses                  |   27348995 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  average dram access latency (ns)   |     184.41 |         inf |        inf |        inf |         inf |         inf |        inf |        inf
  average dram queueing delay        |      74.40 |        0.00 |       0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     89.00% |       0.00% |      0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |            |             |             |            |           
  num loads from dram                |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0 |           0 |           0 |          0 |          0
