                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   619285893 |  1887393160 |   616032724 |   943211584 |  1784269373 |  2603579527 |   363853395 |  1233224030 |  1970526754 |  3492464558 |   573329837 |  3456641527 |   249999886 |  2337860399 |  1940506780 |  1400575938
  Cycles                             |  2844444412 |  2844444150 |  2844444150 |  2844444150 |  2844444150 |  2844445519 |  2844444498 |  2844445037 |  2844444829 |  2844444150 |  2844445337 |  2844444159 |  2844443166 |  2844445536 |  2844445990 |  2844445396
  IPC                                |        0.22 |        0.66 |        0.22 |        0.33 |        0.63 |        0.92 |        0.13 |        0.43 |        0.69 |        1.23 |        0.20 |        1.22 |        0.09 |        0.82 |        0.68 |        0.49
  Time (ns)                          |   948148138 |   948148050 |   948148050 |   948148050 |   948148050 |   948148507 |   948148166 |   948148346 |   948148277 |   948148050 |   948148446 |   948148053 |   948147722 |   948148512 |   948148664 |   948148466
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    33485331 |   242883651 |    37808754 |    21472025 |   268869819 |   119884502 |     6988427 |     1603774 |   105365404 |   309231569 |    18185175 |   277943533 |    34399075 |   133251245 |    35967011 |   151895292
  num incorrect                      |      783273 |    56822567 |     1290789 |      382055 |    30316061 |      995767 |     9686898 |       27180 |    75310734 |    51570434 |     8641493 |    46683370 |     4720676 |    22561896 |     5392793 |    23217340
  misprediction rate                 |       2.29% |      18.96% |       3.30% |       1.75% |      10.13% |       0.82% |      58.09% |       1.67% |      41.68% |      14.29% |      32.21% |      14.38% |      12.07% |      14.48% |      13.04% |      13.26%
  mpki                               |        1.26 |       30.11 |        2.10 |        0.41 |       16.99 |        0.38 |       26.62 |        0.02 |       38.22 |       14.77 |       15.07 |       13.51 |       18.88 |        9.65 |        2.78 |       16.58
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    62410881 |   264656091 |    58681145 |    84585139 |   285817849 |   199176569 |    40335898 |   141268862 |   158930337 |   396495950 |    44650217 |   506360051 |    43801034 |   263044299 |   184773294 |   164724035
    num misses                       |          47 |         179 |          22 |           4 |       10769 |          43 |          14 |           6 |          52 |        1243 |           3 |          65 |          84 |          56 |          86 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   216386016 |   737998599 |   204610312 |   371671155 |   719532051 |  1498190679 |   134965611 |   922484931 |   579001308 |  1460437907 |   254849073 |  1657170813 |   116504258 |  1098537393 |   987509896 |   628311574
    num misses                       |      339221 |     1302876 |     1716809 |      194105 |     4072294 |      201378 |      968819 |    33212278 |       34918 |      770450 |      261124 |     9250652 |     4542336 |      710177 |     2219071 |     6468398
    miss rate                        |       0.16% |       0.18% |       0.84% |       0.05% |       0.57% |       0.01% |       0.72% |       3.60% |       0.01% |       0.05% |       0.10% |       0.56% |       3.90% |       0.06% |       0.22% |       1.03%
    mpki                             |        0.55 |        0.69 |        2.79 |        0.21 |        2.28 |        0.08 |        2.66 |       26.93 |        0.02 |        0.22 |        0.46 |        2.68 |       18.17 |        0.30 |        1.14 |        4.62
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      339268 |     1303055 |     1716831 |      194109 |     4083063 |      201421 |      968833 |    33212284 |       34970 |      771693 |      261127 |     9250717 |     4542420 |      710233 |     2219157 |     6468408
    num misses                       |      105083 |      209076 |      154211 |      103784 |      582855 |       58703 |      968822 |    23702109 |       31172 |       24519 |      175357 |       58672 |     1361700 |      111708 |       29710 |      581686
    miss rate                        |      30.97% |      16.05% |       8.98% |      53.47% |      14.27% |      29.14% |     100.00% |      71.37% |      89.14% |       3.18% |      67.15% |       0.63% |      29.98% |      15.73% |       1.34% |       8.99%
    mpki                             |        0.17 |        0.11 |        0.25 |        0.11 |        0.33 |        0.02 |        2.66 |       19.22 |        0.02 |        0.01 |        0.31 |        0.02 |        5.45 |        0.05 |        0.02 |        0.42
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    62410881 |   264656091 |    58681145 |    84585139 |   285817849 |   199176569 |    40335898 |   141268862 |   158930337 |   396495950 |    44650217 |   506360051 |    43801034 |   263044299 |   184773294 |   164724035
    num cache misses                 |       60811 |     8254700 |      393692 |      117051 |     5524797 |      178375 |       32258 |      594192 |       45974 |     5465529 |       65993 |    16838321 |      955351 |      765370 |      338047 |      123407
    miss rate                        |       0.10% |       3.12% |       0.67% |       0.14% |       1.93% |       0.09% |       0.08% |       0.42% |       0.03% |       1.38% |       0.15% |       3.33% |       2.18% |       0.29% |       0.18% |       0.07%
