,0_5M,01M,02M,04M
stp-l3-00,1.04219252652,1.04325049492,1.02601121527,1.02190715779
hms-l3-00,1.08785391607,1.04931747635,1.02036605431,1.03712293807
mpki-l3-00,1.17119154823,1.10110450631,1.04549180599,1.0356315152
