,lru,tadip,drrip-3,ucp,pipp,pipp-min8,prism
walltime-csmb-4-00,1.64762871079,1.8276913811,1.59585598008,2.73532138261,1.74201148237,1.65441051381,2.09102728011
walltime-csmb-4-01,1.16915736553,1.15880394736,1.22400855796,1.24511331146,1.22915341822,1.19055451803,1.31761560328
walltime-csmb-4-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
walltime-csmb-4-03,0.887632382525,0.900618172744,0.894920307152,0.939175016927,0.943343234573,0.883704428182,0.920725762543
