,0128k,0256k,0512k,1024k
stp-l2-00,1.02190715779,1.02147185748,1.02632684639,1.02638979246
stp-l2-01,1.05842139969,1.06954724083,1.0835852328,1.08914281333
stp-l2-02,1.06940740937,1.08195758137,1.11228613476,1.12079717679
hms-l2-00,1.03712293807,1.0403921775,1.04891941137,1.05590228689
hms-l2-01,1.09101532856,1.09963443611,1.10551238657,1.11176453393
hms-l2-02,1.07071243211,1.0875790782,1.13527810136,1.14715909335
mpki-l2-00,1.0356315152,1.05059745581,1.05349634226,1.06603812187
mpki-l2-01,1.00735064524,1.01150415133,1.02685658993,1.02529018929
mpki-l2-02,1.00184373635,1.01818148607,1.03299660772,1.0345578539
