,lru,,tadip,,drrip-3,,ucp,,pipp,,pipp-min8,,prism,
stp-ca4-00,3.51643590601,0.0,3.50573912865,-0.00304193724631,3.55462678382,0.0108606779209,3.47473822286,-0.0118579391931,3.17017524832,-0.0984692077267,3.36242970913,-0.0437961052038,3.51072849042,-0.00162306828521
stp-ca4-01,3.70701112212,0.0,3.69496133629,-0.00325053943209,3.67146310932,-0.0095894000944,3.61173871673,-0.0257005987441,3.29212160525,-0.111920224461,3.5731714825,-0.0361044613061,3.75529078561,0.0130238787808
stp-ca4-02,3.47605926317,0.0,3.45989829912,-0.00464921994391,3.47462552668,-0.000412460312724,3.35769927295,-0.0340500495702,3.02494916884,-0.129776295564,3.2306751524,-0.0705926142771,3.45582461231,-0.0058211466856
stp-ca4-03,3.66179956666,0.0,3.6502102758,-0.00316491677069,3.65814567902,-0.000997839335707,3.54893403442,-0.0308224221967,3.05664614074,-0.165261209661,3.35918001735,-0.0826423029993,3.5912469034,-0.0192672105566
stp-ca4-04,3.4587601593,0.0,3.44370692627,-0.00435220493472,3.45694762186,-0.000524042533245,3.34331689666,-0.033377064996,2.89831857986,-0.162035398126,3.18779224997,-0.0783424975578,3.4470674797,-0.00338059855656
stp-ca4-avg,3.56258928007,0.0,3.54943623862,-0.00369198928524,3.56204167173,-0.000153710770257,3.46570135889,-0.0271959278958,3.08555790705,-0.133900187623,3.33998664836,-0.0624833833522,3.55023835577,-0.00346683923896
hms-ca4-00,0.875114220515,0.0,0.872421969549,-0.0030764566534,0.883099882199,0.00912527930257,0.866641007003,-0.00968240866557,0.788446447385,-0.0990359556486,0.83864255121,-0.0416764674253,0.874118563936,-0.00113774471419
hms-ca4-01,0.923458550345,0.0,0.920607260141,-0.00308762120717,0.911472541766,-0.012979476528,0.902777924586,-0.0223947525866,0.818732558145,-0.113406272713,0.891826017815,-0.0342544151203,0.938473783847,0.0162597806864
hms-ca4-02,0.861907340713,0.0,0.858114249178,-0.00440081126572,0.860126344378,-0.00206634315586,0.836029828479,-0.0300235431484,0.748671565962,-0.131378130109,0.805813500146,-0.0650810567645,0.858352440974,-0.0041244569701
hms-ca4-03,0.913748366281,0.0,0.910872727513,-0.00314707951795,0.911090334232,-0.00290893220435,0.885739989646,-0.0306521769765,0.762490674198,-0.165535389901,0.83926948818,-0.0815091778546,0.897435086913,-0.0178531420366
hms-ca4-04,0.85915223743,0.0,0.855604564935,-0.00412927108908,0.856858714579,-0.00266951856889,0.832431638641,-0.0311011222746,0.71729613477,-0.165111718832,0.792011930759,-0.0781471591945,0.85730287094,-0.00215254806958
hms-ca4-avg,0.886273764053,0.0,0.883111172003,-0.00356841438585,0.884213751253,-0.00232435268116,0.864289732798,-0.0248050118894,0.766350994954,-0.135311202884,0.832808110286,-0.0603263415158,0.884624761838,-0.00186060140992
