,lru,,tadip,,drrip-3,,ucp,,pipp,,pipp-min8,,pipp-s,,prism,
stp-ca4-00,3.41082361857,0.0,3.3940903833,-0.00490592218849,3.44672043974,0.0105243850692,3.38515583225,-0.00752539245291,2.86085652564,-0.161241727641,3.218418299,-0.0564102225989,2.81148486992,-0.175716722901,3.16262000053,-0.0727694087408
stp-ca4-01,3.64158212727,0.0,3.62371328721,-0.00490688921382,3.60342774659,-0.0104774186992,3.55868019226,-0.0227653618988,2.94975000753,-0.189981193767,3.38822071092,-0.0695745441124,2.88920607774,-0.206606915137,3.50999750113,-0.0361339169467
stp-ca4-02,3.40186354156,0.0,3.38251167085,-0.00568860875045,3.40808471891,0.00182875570065,3.2983197893,-0.0304373620508,2.77054027293,-0.185581596945,3.01351624813,-0.114157222559,2.68737262248,-0.210029270827,3.09909550626,-0.0890006408567
stp-ca4-03,3.54614919519,0.0,3.52910318649,-0.00480690680496,3.53726887377,-0.00250421539937,3.4546251735,-0.0258094108986,2.72935045321,-0.230334003738,3.15590067489,-0.110048534006,2.90575897513,-0.180587500641,3.21987878518,-0.0920069608042
stp-ca4-04,3.36026102766,0.0,3.34310766483,-0.00510477093692,3.34124611138,-0.00565876166382,3.25369449086,-0.0317137674507,2.73639266426,-0.18566068477,2.99420247163,-0.108937535809,2.71227294771,-0.192838614207,3.03167132932,-0.0977869563235
stp-ca4-avg,3.47055759118,0.0,3.45291789072,-0.0050826704336,3.46610535865,-0.00128285798628,3.38834496032,-0.0236885943238,2.80812667822,-0.190871609405,3.15078262564,-0.0921393629502,2.79980012012,-0.193270808344,3.20053133832,-0.0778048615432
hms-ca4-00,0.849878694766,0.0,0.845813167572,-0.00478365585559,0.85818814729,0.00977722182581,0.844003876585,-0.00691253730444,0.704680469113,-0.170845823701,0.804119656035,-0.0538418470929,0.687908419424,-0.190580463235,0.788343875782,-0.072404237644
hms-ca4-01,0.907632120753,0.0,0.903344928305,-0.00472349132382,0.89676157047,-0.0119768241276,0.888699828313,-0.0208589934265,0.727489143539,-0.198475762476,0.84112975033,-0.0732701817209,0.693408229399,-0.236025022094,0.876562254303,-0.034231783715
hms-ca4-02,0.844765808918,0.0,0.840209659157,-0.00539338798151,0.845481333785,0.000847009739001,0.819583068853,-0.029810321156,0.684729275792,-0.189444851386,0.745960954944,-0.116961236985,0.653369974849,-0.226566738437,0.77262833432,-0.0853934591537
hms-ca4-03,0.884671058802,0.0,0.880410889794,-0.00481554015537,0.882321430634,-0.00265593425374,0.862685064526,-0.0248521685635,0.6726948278,-0.239610224493,0.781291057249,-0.116856995066,0.708601236999,-0.19902292502,0.802930385913,-0.0923966847064
hms-ca4-04,0.835839978872,0.0,0.831808884232,-0.00482280668719,0.829926293828,-0.00707514021,0.809433908745,-0.0315922554494,0.675448060757,-0.191893092182,0.740267036813,-0.114343587857,0.654827735382,-0.216563275346,0.755646755257,-0.0959432734036
