,0_5M,01M,02M,04M
mpki-l3-00,0.993186827617,0.990517603667,1.00369619719,0.993004446072
mpki-l3-01,1.80271319757,1.40980907678,1.23874435259,1.21559388769
mpki-l3-02,1.10017096849,1.06206789482,1.06313502498,1.07989968492
mpki-l3-03,1.00002481514,1.00041338581,0.99934656709,1.00177311396
mpki-l3-04,1.08462717678,1.01692911526,1.00492973911,1.00048811161
mpki-l3-05,1.17119154823,1.10110450631,1.04549180599,1.0356315152
