,0_5M,01M,02M,04M
stp-l3-00,1.03964989026,1.03347546826,1.0091713756,1.00755432817
hms-l3-00,1.08500867881,1.03800104376,1.00821274683,1.02790018618
mpki-l3-00,1.10017096849,1.06206789482,1.06313502498,1.07989968492
