                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   615510223 |  2037054682 |   612662475 |   907756668 |  1819669569 |  2057554024 |   363502292 |  1187538159 |  1947732114 |  3663599167 |   566380469 |  3596797677 |   249999886 |  2137344832 |  1990916532 |  1452041516
  Cycles                             |  2842088700 |  2842088738 |  2842089057 |  2842090000 |  2842088707 |  2842089519 |  2842089739 |  2842089467 |  2842089005 |  2842088706 |  2842088706 |  2842088743 |  2842085916 |  2842088700 |  2842089624 |  2842090214
  IPC                                |        0.22 |        0.72 |        0.22 |        0.32 |        0.64 |        0.72 |        0.13 |        0.42 |        0.69 |        1.29 |        0.20 |        1.27 |        0.09 |        0.75 |        0.70 |        0.51
  Time (ns)                          |   947362900 |   947362913 |   947363019 |   947363334 |   947362903 |   947363173 |   947363247 |   947363156 |   947363002 |   947362902 |   947362902 |   947362915 |   947361972 |   947362900 |   947363208 |   947363405
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    33047682 |   262464481 |    37629489 |    20471692 |   274099752 |    94746870 |     6984525 |     1545946 |   101839848 |   324368518 |    18075795 |   289267742 |    34399075 |   122620499 |    36530153 |   159410397
  num incorrect                      |      773198 |    61314694 |     1261390 |      363579 |    30875292 |      787393 |     9680655 |       26200 |    75308075 |    54147422 |     8575695 |    48591033 |     4720676 |    20740259 |     5499677 |    24272798
  misprediction rate                 |       2.29% |      18.94% |       3.24% |       1.75% |      10.12% |       0.82% |      58.09% |       1.67% |      42.51% |      14.31% |      32.18% |      14.38% |      12.07% |      14.47% |      13.09% |      13.21%
  mpki                               |        1.26 |       30.10 |        2.06 |        0.40 |       16.97 |        0.38 |       26.63 |        0.02 |       38.66 |       14.78 |       15.14 |       13.51 |       18.88 |        9.70 |        2.76 |       16.72
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    61603049 |   285486261 |    58357226 |    81604609 |   291490630 |   157408573 |    40305464 |   136030845 |   155595550 |   415745530 |    44130321 |   526904868 |    43801034 |   240728350 |   189274327 |   170715171
    num misses                       |          47 |         186 |          22 |           4 |       11193 |          43 |          14 |           6 |          52 |        1292 |           3 |          65 |          84 |          56 |          87 |          10
