                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4388528643 |   856522743 |  4552560907 |   249999989 |  4853356129 |  3298197622 |   574924928 |  1065855575
  Cycles                             |  4805828674 |  4805828984 |  4805828674 |  4805826620 |  4805828681 |  4805828674 |  4805829610 |  4805828749
  IPC                                |        0.91 |        0.18 |        0.95 |        0.05 |        1.01 |        0.69 |        0.12 |        0.22
  Time (ns)                          |  1601942891 |  1601942995 |  1601942891 |  1601942207 |  1601942894 |  1601942891 |  1601943203 |  1601942916
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   236019575 |   117803535 |    86228813 |    43244780 |   625399041 |    75861798 |   134668748 |   180221500
  num incorrect                      |   166805550 |    16181010 |    13105238 |    11689069 |   145883693 |     1352367 |    14950880 |    16593986
  misprediction rate                 |      41.41% |      12.08% |      13.19% |      21.28% |      18.91% |       1.75% |       9.99% |       8.43%
  mpki                               |       38.01 |       18.89 |        2.88 |       46.76 |       30.06 |        0.41 |       26.00 |       15.57
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   357203310 |   150098920 |   433963921 |    23761816 |   680565795 |   294793907 |    48618304 |   123807558
    num misses                       |          52 |         104 |         130 |           3 |         311 |           4 |       39704 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1293543507 |   399092958 |  2311800314 |    88558906 |  1895078814 |  1294235826 |   199211872 |   371022356
    num misses                       |       76998 |    15550104 |     5161125 |    21160502 |     3401656 |      686615 |     3041102 |     6359735
    miss rate                        |       0.01% |       3.90% |       0.22% |      23.89% |       0.18% |       0.05% |       1.53% |       1.71%
    mpki                             |        0.02 |       18.15 |        1.13 |       84.64 |        0.70 |        0.21 |        5.29 |        5.97
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       77050 |    15550208 |     5161255 |    21160505 |     3401967 |      686619 |     3080806 |     6359777
    num misses                       |       68672 |     4663799 |       71213 |    10898591 |      541290 |      358430 |     2603376 |     1724957
    miss rate                        |      89.13% |      29.99% |       1.38% |      51.50% |      15.91% |      52.20% |      84.50% |      27.12%
    mpki                             |        0.02 |        5.45 |        0.02 |       43.59 |        0.11 |        0.11 |        4.53 |        1.62
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   357203310 |   150098920 |   433963921 |    23761816 |   680565795 |   294793907 |    48618304 |   123807558
    num cache misses                 |      145531 |     3456661 |      795469 |      204393 |    21138807 |      453533 |      931277 |      146247
    miss rate                        |       0.04% |       2.30% |       0.18% |       0.86% |       3.11% |       0.15% |       1.92% |       0.12%
    mpki                             |        0.03 |        4.04 |        0.17 |        0.82 |        4.36 |        0.14 |        1.62 |        0.14
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1293543507 |   399092958 |  2311800314 |    88558906 |  1895078814 |  1294235826 |   199211872 |   371022356
    num cache misses                 |     4796035 |    22943711 |    35787186 |    28820085 |    23667516 |    33498029 |    17139658 |    43541130
    miss rate                        |       0.37% |       5.75% |       1.55% |      32.54% |       1.25% |       2.59% |       8.60% |      11.74%
    mpki                             |        1.09 |       26.79 |        7.86 |      115.28 |        4.88 |       10.16 |       29.81 |       40.85
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5160327 |    31636829 |    37116775 |    32915754 |    45699440 |    34034018 |    18112855 |    48104058
    num cache misses                 |     4790717 |    22733875 |    19122233 |    24640399 |    20336675 |    23778924 |    17318398 |    38629376
    miss rate                        |      92.84% |      71.86% |      51.52% |      74.86% |      44.50% |      69.87% |      95.61% |      80.30%
    mpki                             |        1.09 |       26.54 |        4.20 |       98.56 |        4.19 |        7.21 |       30.12 |       36.24
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     5013029 |    27979927 |    19656654 |    28558477 |    21233318 |    23891593 |    17361488 |    43047799
    num cache misses                 |     4756370 |    17573121 |     3283647 |    20011656 |     2141883 |    22815702 |    15989082 |    22751842
    miss rate                        |      94.88% |      62.81% |      16.71% |      70.07% |      10.09% |      95.50% |      92.10% |      52.85%
    mpki                             |        1.08 |       20.52 |        0.72 |       80.05 |        0.44 |        6.92 |       27.81 |       21.35
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   142204255 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      171.81 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       61.80 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
