                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5619581080 |  3476766862 |  3765135858 |  4622355152 |   939503191 |  2553466062 |  5115491561 |   249999989
  Cycles                             |  3940300131 |  3940300358 |  3940300315 |  3940300136 |  3940300142 |  3940300140 |  3940300425 |  3940297845
  IPC                                |        1.43 |        0.88 |        0.96 |        1.17 |        0.24 |        0.65 |        1.30 |        0.06
  Time (ns)                          |  1313433377 |  1313433453 |  1313433439 |  1313433379 |  1313433381 |  1313433380 |  1313433475 |  1313432615
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   498620029 |   377135266 |   485107864 |   264016913 |   158761999 |   155224284 |   235566220 |    43244780
  num incorrect                      |    83316879 |    57710087 |   113145197 |    44678335 |    14647834 |    93406922 |     1958711 |    11689069
  misprediction rate                 |      14.32% |      13.27% |      18.91% |      14.47% |       8.45% |      37.57% |       0.82% |      21.28%
  mpki                               |       14.83 |       16.60 |       30.05 |        9.67 |       15.59 |       36.58 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   638322685 |   409084881 |   528009634 |   519720320 |   109044062 |   304792525 |   391354396 |    23761816
    num misses                       |        1943 |          10 |         260 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2349821286 |  1557060820 |  1470196261 |  2170685469 |   327087455 |  1174069567 |  2943623834 |    88558906
    num misses                       |     1239717 |    15722429 |     2647987 |     1400198 |     5618551 |     8073313 |      396281 |    21160083
    miss rate                        |       0.05% |       1.01% |       0.18% |       0.06% |       1.72% |       0.69% |       0.01% |      23.89%
    mpki                             |        0.22 |        4.52 |        0.70 |        0.30 |        5.98 |        3.16 |        0.08 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1241660 |    15722439 |     2648247 |     1400254 |     5618593 |     8073323 |      396324 |    21160086
    num misses                       |       39128 |     1386809 |      421109 |      220634 |     1520383 |     6419336 |      114589 |    10898191
    miss rate                        |       3.15% |       8.82% |      15.90% |      15.76% |      27.06% |      79.51% |      28.91% |      51.50%
    mpki                             |        0.01 |        0.40 |        0.11 |        0.05 |        1.62 |        2.51 |        0.02 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   638322685 |   409084881 |   528009634 |   519720320 |   109044062 |   304792525 |   391354396 |    23761816
    num cache misses                 |     8788920 |      300911 |    16424744 |     1511375 |      124322 |      167903 |      352753 |      189635
    miss rate                        |       1.38% |       0.07% |       3.11% |       0.29% |       0.11% |       0.06% |       0.09% |       0.80%
    mpki                             |        1.56 |        0.09 |        4.36 |        0.33 |        0.13 |        0.07 |        0.07 |        0.76
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2349821286 |  1557060820 |  1470196261 |  2170685469 |   327087455 |  1174069567 |  2943623834 |    88558906
    num cache misses                 |    21615806 |    50374941 |    18402454 |    13306234 |    38295474 |    18136268 |    27674388 |    28750404
    miss rate                        |       0.92% |       3.24% |       1.25% |       0.61% |      11.71% |       1.54% |       0.94% |      32.46%
    mpki                             |        3.85 |       14.49 |        4.89 |        2.88 |       40.76 |        7.10 |        5.41 |      115.00
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    30441905 |    51133966 |    35714550 |    14831377 |    42355196 |    19752782 |    28063313 |    32509580
    num cache misses                 |    12084808 |    35572318 |    15919135 |    10418446 |    33869411 |    17046822 |    19371339 |    24327607
    miss rate                        |      39.70% |      69.57% |      44.57% |      70.25% |      79.97% |      86.30% |      69.03% |      74.83%
    mpki                             |        2.15 |       10.23 |        4.23 |        2.25 |       36.05 |        6.68 |        3.79 |       97.31
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    12122374 |    36060565 |    16809595 |    10433866 |    37806495 |    18728547 |    19409993 |    27922328
    num cache misses                 |      953995 |     7741228 |     2397841 |     6474507 |    21214564 |     5000425 |    11949401 |    16679878
    miss rate                        |       7.87% |      21.47% |      14.26% |      62.05% |      56.11% |      26.70% |      61.56% |      59.74%
    mpki                             |        0.17 |        2.23 |        0.64 |        1.40 |       22.58 |        1.96 |        2.34 |       66.72
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   108681905 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      167.17 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       57.16 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      82.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
