                                   | Core 0    
  Instructions                     |  499999905
  Cycles                           |  408374715
  IPC                              |       1.22
  Time (ns)                        |  136124905
Branch predictor stats             |           
  num correct                      |   13748171
  num incorrect                    |     237589
  misprediction rate               |      1.70%
  mpki                             |       0.48
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   49006107
    num misses                     |         15
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  211163136
    num misses                     |     261278
    miss rate                      |      0.12%
    mpki                           |       0.52
  L2 TLB                           |           
    num accesses                   |     261293
    num misses                     |      62498
    miss rate                      |     23.92%
    mpki                           |       0.12
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   49006107
    num cache misses               |      77702
    miss rate                      |      0.16%
    mpki                           |       0.16
  Cache L1-D                       |           
    num cache accesses             |  211163136
    num cache misses               |    6659215
    miss rate                      |      3.15%
    mpki                           |      13.32
  Cache L2                         |           
    num cache accesses             |    7074857
    num cache misses               |    4804859
    miss rate                      |     67.91%
    mpki                           |       9.61
  Cache L3                         |           
    num cache accesses             |    5142799
    num cache misses               |    3429813
    miss rate                      |     66.69%
    mpki                           |       6.86
DRAM summary                       |           
  num dram accesses                |    4440645
  average dram access latency (ns) |      51.02
  average dram queueing delay      |       1.02
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
