                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   330263842 |  3477274207 |  2157844189 |   889893530 |  3243981515 |  2201318950 |  2904543275 |  1973214517 |  1214052325 |   249999886 |   972377327 |   455617167 |  3948089194 |   616218559 |   365269233 |  4494629206
  Cycles                             |  2569899519 |  2569899300 |  2569900427 |  2569900921 |  2569900185 |  2569899313 |  2569899545 |  2569899310 |  2569899312 |  2569895109 |  2569900972 |  2569899401 |  2569899300 |  2569899533 |  2569899673 |  2569899300
  IPC                                |        0.13 |        1.35 |        0.84 |        0.35 |        1.26 |        0.86 |        1.13 |        0.77 |        0.47 |        0.10 |        0.38 |        0.18 |        1.54 |        0.24 |        0.14 |        1.75
  Time (ns)                          |   856633173 |   856633100 |   856633476 |   856633640 |   856633395 |   856633104 |   856633182 |   856633103 |   856633104 |   856631703 |   856633657 |   856633134 |   856633100 |   856633178 |   856633224 |   856633100
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    55663037 |   279586376 |   123578034 |    19968396 |   143292317 |   283052004 |   133742872 |   301777226 |    73789645 |    34399075 |   146807253 |     4110687 |   263250950 |    33134564 |    28939903 |   829485707
  num incorrect                      |     5116386 |    46967185 |    20916476 |      354285 |     8130111 |    66248072 |     1110688 |    77302612 |    44404143 |     4720676 |    32391156 |       27478 |    45104767 |      775199 |     2369234 |    56586403
  misprediction rate                 |       8.42% |      14.38% |      14.48% |       1.74% |       5.37% |      18.97% |       0.82% |      20.39% |      37.57% |      12.07% |      18.08% |       0.66% |      14.63% |       2.29% |       7.57% |       6.39%
  mpki                               |       15.49 |       13.51 |        9.69 |        0.40 |        2.51 |       30.09 |        0.38 |       39.18 |       36.58 |       18.88 |       33.31 |        0.06 |       11.42 |        1.26 |        6.49 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    38566768 |   509365422 |   242802971 |    80102900 |   308918245 |   308738673 |   222200571 |   256670254 |   144863966 |    43801034 |   135412361 |    40266600 |   479007428 |    61776850 |    30878986 |   737006409
    num misses                       |          42 |          65 |          56 |           4 |           8 |         194 |          43 |          19 |          10 |          84 |         243 |           3 |          18 |          47 |          42 |          39
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   115751224 |  1667108052 |  1012463198 |   351806402 |   986045358 |   861383603 |  1671379846 |   664110682 |   558176741 |   116504258 |   378079342 |   123752269 |  1664399968 |   215255699 |   100580009 |  1464790776
