                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   783449297 |   249999981 |   401627869 |  2672894800 |  1791528383 |  1120672192 |  4541962653 |  4235581217
  Cycles                             |  2954583103 |  2954581136 |  2954583191 |  2954582855 |  2954582850 |  2954583341 |  2954583187 |  2954582850
  IPC                                |        0.27 |        0.08 |        0.14 |        0.90 |        0.61 |        0.38 |        1.54 |        1.43
  Time (ns)                          |   984861034 |   984860379 |   984861064 |   984860952 |   984860950 |   984861114 |   984861062 |   984860950
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |     7112570 |    58565837 |    66329967 |   408768415 |     2330003 |    69062031 |   209160166 |   340565813
  num incorrect                      |       47644 |     6500447 |     4170252 |   104703348 |       39486 |     2381750 |     1740369 |    57214669
  misprediction rate                 |       0.67% |       9.99% |       5.92% |      20.39% |       1.67% |       3.33% |       0.83% |      14.38%
  mpki                               |        0.06 |       26.00 |       10.38 |       39.17 |        0.02 |        2.13 |        0.38 |       13.51
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    69242382 |    21135842 |    67149340 |   347755694 |   205223506 |   106590254 |   347481632 |   620438397
    num misses                       |           3 |       17441 |           4 |          19 |           6 |          22 |          43 |          65
    miss rate                        |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   213401944 |    86633855 |   122995251 |   899652989 |  1340113214 |   371868176 |  2613585821 |  2030709296
    num misses                       |      381471 |     1331680 |      146060 |     3977462 |    48295387 |     3038719 |      352364 |    11324440
    miss rate                        |       0.18% |       1.54% |       0.12% |       0.44% |       3.60% |       0.82% |       0.01% |       0.56%
    mpki                             |        0.49 |        5.33 |        0.36 |        1.49 |       26.96 |        2.71 |        0.08 |        2.67
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      381474 |     1349121 |      146064 |     3977481 |    48295393 |     3038741 |      352407 |    11324505
    num misses                       |      381187 |     1140464 |      146064 |      833266 |    34470706 |      285500 |      101274 |       72202
    miss rate                        |      99.92% |      84.53% |     100.00% |      20.95% |      71.37% |       9.40% |      28.74% |       0.64%
    mpki                             |        0.49 |        4.56 |        0.36 |        0.31 |       19.24 |        0.25 |        0.02 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    69242382 |    21135842 |    67149340 |   347755694 |   205223506 |   106590254 |   347481632 |   620438397
    num cache misses                 |      538087 |      404770 |       11243 |     1762974 |      953566 |      698286 |      313591 |    20471259
    miss rate                        |       0.78% |       1.92% |       0.02% |       0.51% |       0.46% |       0.66% |       0.09% |       3.30%
    mpki                             |        0.69 |        1.62 |        0.03 |        0.66 |        0.53 |        0.62 |        0.07 |        4.83
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   213401944 |    86633855 |   122995251 |   899652989 |  1340113214 |   371868176 |  2613585821 |  2030709296
    num cache misses                 |    40298151 |     7454709 |     9350389 |     3671669 |    14980733 |    21582147 |    24564539 |    68245758
    miss rate                        |      18.88% |       8.60% |       7.60% |       0.41% |       1.12% |       5.80% |       0.94% |       3.36%
    mpki                             |       51.44 |       29.82 |       23.28 |        1.37 |        8.36 |       19.26 |        5.41 |       16.11
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    40836249 |     7880306 |    12595814 |     6146943 |    15944023 |    23851362 |    24889494 |    88724571
    num cache misses                 |    26538676 |     7535466 |     9361632 |     2410384 |    11257493 |    10408434 |    17190059 |    13415389
    miss rate                        |      64.99% |      95.62% |      74.32% |      39.21% |      70.61% |      43.64% |      69.07% |      15.12%
    mpki                             |       33.87 |       30.14 |       23.31 |        0.90 |        6.28 |        9.29 |        3.78 |        3.17
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    26538687 |     7556876 |    12595814 |     3134646 |    11267487 |    11986918 |    17201865 |    13424815
    num cache misses                 |    24387916 |     7223605 |     9344618 |      965588 |    10018144 |     5495254 |     3675863 |      219041
    miss rate                        |      91.90% |      95.59% |      74.19% |      30.80% |      88.91% |      45.84% |      21.37% |       1.63%
    mpki                             |       31.13 |       28.89 |       23.27 |        0.36 |        5.59 |        4.90 |        0.81 |        0.05
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    92579330 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      238.45 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      128.44 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
