                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    mpki                             |       41.04 |       16.19 |        2.90 |       10.23 |        8.20 |        4.82 |        5.41 |        1.47 |        7.24 |       26.78 |        8.46 |       51.48 |        2.09 |       12.41 |       14.85 |        0.03
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    17172471 |    61092647 |     6180692 |    10368273 |    23793899 |    15668605 |    25053849 |     4998506 |     4656382 |     9204078 |    16767061 |    26054010 |    11621398 |     9581821 |     6038468 |     7338686
    num cache misses                 |    14298244 |    10063984 |     4432752 |     7212804 |     1361547 |     6945750 |    17311087 |     2205760 |     3682478 |     6618813 |     8190215 |    16940151 |     1878227 |     6848162 |     5547733 |      480254
    miss rate                        |      83.26% |      16.47% |      71.72% |      69.57% |       5.72% |      44.33% |      69.10% |      44.13% |      79.08% |      71.91% |      48.85% |      65.02% |      16.16% |      71.47% |      91.87% |       6.54%
    mpki                             |       36.41 |        3.48 |        2.34 |        7.22 |        0.47 |        4.21 |        3.79 |        1.12 |        6.85 |       26.48 |        8.36 |       33.93 |        0.53 |       10.20 |       13.94 |        0.11
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    15303846 |    10111631 |     4459796 |     7238199 |     1539040 |     7462856 |    17315754 |     2801448 |     4459736 |     8136129 |     8657285 |    16940874 |     1988599 |     8065633 |     5612217 |      503907
    num cache misses                 |     6175976 |      878999 |     3256471 |     6922879 |     1154801 |     1850550 |     1563589 |     1223293 |     3096361 |     5050422 |     2622208 |    15555933 |      937165 |     6090719 |     4954722 |      472396
    miss rate                        |      40.36% |       8.69% |      73.02% |      95.64% |      75.03% |      24.80% |       9.03% |      43.67% |      69.43% |      62.07% |      30.29% |      91.82% |      47.13% |      75.51% |      88.28% |      93.75%
    mpki                             |       15.73 |        0.30 |        1.72 |        6.93 |        0.40 |        1.12 |        0.34 |        0.62 |        5.76 |       20.20 |        2.68 |       31.16 |        0.26 |        9.08 |       12.45 |        0.11
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |    89390455 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      367.89 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      257.88 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      95.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
