                                     | Core 0      | Core 1     | Core 2     | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1194128288 |  560837681 |  965971271 |  1234305799 |  400212453 |  249999888 |  630408349 |  746200711
  Cycles                             |   731255785 |  731255799 |  731255986 |   731255822 |  731255992 |  731252729 |  731255970 |  731255806
  IPC                                |        1.63 |       0.77 |       1.32 |        1.69 |       0.55 |       0.34 |       0.86 |       1.02
  Time (ns)                          |   243751929 |  243751933 |  243751996 |   243751941 |  243751998 |  243750910 |  243751990 |  243751936
Branch predictor stats               |             |            |            |             |            |            |            |           
  num correct                        |   156021413 |   12732747 |   77656244 |    82206701 |   21669556 |   19818647 |     815356 |  112521543
  num incorrect                      |    16278979 |     225756 |   13036872 |    14092320 |     506779 |    1620730 |      13818 |   12639531
  misprediction rate                 |       9.45% |      1.74% |     14.37% |      14.63% |      2.29% |      7.56% |      1.67% |     10.10%
  mpki                               |       13.63 |       0.40 |      13.50 |       11.42 |       1.27 |       6.48 |       0.02 |      16.94
TLB Summary                          |             |            |            |             |            |            |            |           
  I-TLB                              |             |            |            |             |            |            |            |           
    num accesses                     |   180882706 |   50421150 |  141515195 |   149742962 |   40378264 |   20925725 |   72227763 |  119471071
    num misses                       |         835 |          4 |         65 |          18 |         47 |         42 |          6 |       4450
    miss rate                        |       0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |            |             |            |            |            |           
    num accesses                     |   471842649 |  218938897 |  463021579 |   520267485 |  141536675 |   68803935 |  471517959 |  300549728
    num misses                       |      144690 |     110607 |    2589415 |     3665157 |     210830 |     336475 |   17003607 |    1677089
    miss rate                        |       0.03% |      0.05% |      0.56% |       0.70% |      0.15% |      0.49% |      3.61% |      0.56%
    mpki                             |        0.12 |       0.20 |       2.68 |        2.97 |       0.53 |       1.35 |      26.97 |       2.25
  L2 TLB                             |             |            |            |             |            |            |            |           
    num accesses                     |      145525 |     110611 |    2589480 |     3665175 |     210877 |     336517 |   17003613 |    1681539
    num misses                       |        4427 |      60119 |      16381 |       28149 |      68015 |     104712 |   12209938 |     239251
    miss rate                        |       3.04% |     54.35% |      0.63% |       0.77% |     32.25% |     31.12% |     71.81% |     14.23%
    mpki                             |        0.00 |       0.11 |       0.02 |        0.02 |       0.17 |       0.42 |      19.37 |       0.32
Cache Summary                        |             |            |            |             |            |            |            |           
  Cache L1-I                         |             |            |            |             |            |            |            |           
    num cache accesses               |   180882706 |   50421150 |  141515195 |   149742962 |   40378264 |   20925725 |   72227763 |  119471071
    num cache misses                 |     3748253 |      14926 |    4214735 |     1241519 |      13367 |      20759 |      64322 |    2039163
    miss rate                        |       2.07% |      0.03% |      2.98% |       0.83% |      0.03% |      0.10% |      0.09% |      1.71%
    mpki                             |        3.14 |       0.03 |       4.36 |        1.01 |       0.03 |       0.08 |       0.10 |       2.73
  Cache L1-D                         |             |            |            |             |            |            |            |           
    num cache accesses               |   471842649 |  218938897 |  463021579 |   520267485 |  141536675 |   68803935 |  471517959 |  300549728
    num cache misses                 |     5507122 |    5428243 |   15248352 |     2421988 |    5012339 |    3668927 |    5135192 |    2682532
    miss rate                        |       1.17% |      2.48% |      3.29% |       0.47% |      3.54% |      5.33% |      1.09% |      0.89%
    mpki                             |        4.61 |       9.68 |      15.79 |        1.96 |      12.52 |      14.68 |       8.15 |       3.59
  Cache L2                           |             |            |            |             |            |            |            |           
    num cache accesses               |     9300039 |    5447416 |   19474033 |     3687874 |    5691412 |    3719727 |    5200468 |    4827699
    num cache misses                 |      386339 |    3802881 |     255377 |      173990 |    3691436 |    3116620 |    3453910 |    1075535
    miss rate                        |       4.15% |     69.81% |      1.31% |       4.72% |     64.86% |     83.79% |     66.42% |     22.28%
    mpki                             |        0.32 |       6.78 |       0.26 |        0.14 |       9.22 |      12.47 |       5.48 |       1.44
  Cache L3                           |             |            |            |             |            |            |            |           
    num cache accesses               |      433164 |    3808693 |     268388 |      198901 |    4382394 |    3150016 |    3454944 |    1183109
    num cache misses                 |      358607 |    3784950 |     252884 |      173818 |    3582450 |    2901654 |    3259813 |     948726
    miss rate                        |      82.79% |     99.38% |     94.22% |      87.39% |     81.75% |     92.12% |     94.35% |     80.19%
    mpki                             |        0.30 |       6.75 |       0.26 |        0.14 |       8.95 |      11.61 |       5.17 |       1.27
DRAM summary                         |             |            |            |             |            |            |            |           
  num dram accesses                  |    19343872 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      151.50 |        inf |        inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       41.49 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      79.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |             |            |            |            |           
  num loads from dram                |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
