                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1699671955 |  2106689445 |  4825261112 |  1638370607 |   511101151 |   675056469 |  1014723960 |   266546283 |  1122254923 |   654822221 |  1750687552 |  1012869267 |   861406095 |  1920802277 |  1627350982
  Cycles                             |  2381553009 |  2381557613 |  2381557645 |  2381557234 |  2381558098 |  2381558539 |  2381558054 |  2381557352 |  2381559712 |  2381558902 |  2381558096 |  2381557350 |  2381557997 |  2381557350 |  2381557245 |  2381557243
  IPC                                |        0.10 |        0.71 |        0.88 |        2.03 |        0.69 |        0.21 |        0.28 |        0.43 |        0.11 |        0.47 |        0.27 |        0.74 |        0.43 |        0.36 |        0.81 |        0.68
  Time (ns)                          |   793851003 |   793852538 |   793852548 |   793852411 |   793852699 |   793852846 |   793852685 |   793852451 |   793853237 |   793852967 |   793852699 |   793852450 |   793852666 |   793852450 |   793852415 |   793852414
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    88646553 |   187193320 |   222200758 |    94127770 |    31065570 |    36024123 |   154987254 |    45447125 |    48605454 |    40066605 |   140772004 |    23306491 |    17352219 |   128260849 |   245527464
  num incorrect                      |     4720676 |    65893749 |    31354946 |     1847946 |    15926983 |    18694014 |      842880 |    39818427 |     4078342 |     2768555 |     1512815 |    23651155 |      415519 |     2563109 |    21896406 |    27545257
  misprediction rate                 |      12.07% |      42.64% |      14.35% |       0.82% |      14.47% |      37.57% |       2.29% |      20.44% |       8.23% |       5.39% |       3.64% |      14.38% |       1.75% |      12.87% |      14.58% |      10.09%
  mpki                               |       18.88 |       38.77 |       14.88 |        0.38 |        9.72 |       36.58 |        1.25 |       39.24 |       15.30 |        2.47 |        2.31 |       13.51 |        0.41 |        2.98 |       11.40 |       16.93
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
