                                   | Core 0    
  Instructions                     |  249999941
  Cycles                           |  219930997
  IPC                              |       1.14
  Time (ns)                        |   73310332
Branch predictor stats             |           
  num correct                      |   37707678
  num incorrect                    |    4237467
  misprediction rate               |     10.10%
  mpki                             |      16.95
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   40025757
    num misses                     |       1554
    miss rate                      |      0.00%
    mpki                           |       0.01
  D-TLB                            |           
    num accesses                   |  100673480
    num misses                     |     560757
    miss rate                      |      0.56%
    mpki                           |       2.24
  L2 TLB                           |           
    num accesses                   |     562311
    num misses                     |      79988
    miss rate                      |     14.22%
    mpki                           |       0.32
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   40025757
    num cache misses               |     768864
    miss rate                      |      1.92%
    mpki                           |       3.08
  Cache L1-D                       |           
    num cache accesses             |  100673480
    num cache misses               |     945193
    miss rate                      |      0.94%
    mpki                           |       3.78
  Cache L2                         |           
    num cache accesses             |    1797757
    num cache misses               |     991310
    miss rate                      |     55.14%
    mpki                           |       3.97
  Cache L3                         |           
    num cache accesses             |    1075429
    num cache misses               |     695410
    miss rate                      |     64.66%
    mpki                           |       2.78
DRAM summary                       |           
  num dram accesses                |     825044
  average dram access latency (ns) |      50.60
  average dram queueing delay      |       0.60
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
