                                     | Core 0      | Core 1     | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1243993641 |  571202950 |  1031919321 |  1283716400 |  413788261 |  249999888 |  646018311 |  784145215
  Cycles                             |   745147809 |  745147896 |   745147808 |   745147820 |  745148057 |  745145056 |  745147814 |  745148231
  IPC                                |        1.67 |       0.77 |        1.38 |        1.72 |       0.56 |       0.34 |       0.87 |       1.05
  Time (ns)                          |   248382603 |  248382632 |   248382603 |   248382607 |  248382686 |  248381686 |  248382605 |  248382744
Branch predictor stats               |             |            |             |             |            |            |            |           
  num correct                        |   165408413 |   13029210 |    82983237 |    85205496 |   22204203 |   19818647 |     839443 |  118022930
  num incorrect                      |    16797208 |     230699 |    13946662 |    14675612 |     519387 |    1620730 |      14226 |   13363926
  misprediction rate                 |       9.22% |      1.74% |      14.39% |      14.69% |      2.29% |      7.56% |      1.67% |     10.17%
  mpki                               |       13.50 |       0.40 |       13.52 |       11.43 |       1.26 |       6.48 |       0.02 |      17.04
TLB Summary                          |             |            |             |             |            |            |            |           
  I-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   186572163 |   51607016 |   151176319 |   155661607 |   41538549 |   20925725 |   74004979 |  125694548
    num misses                       |         848 |          4 |          65 |          18 |         47 |         42 |          6 |       4965
    miss rate                        |       0.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |             |             |            |            |            |           
    num accesses                     |   485884566 |  223089446 |   494725588 |   540961214 |  146850052 |   68803936 |  483232299 |  316777520
    num misses                       |      149217 |     112472 |     2763129 |     3823135 |     213179 |     336439 |   17479212 |    1829355
    miss rate                        |       0.03% |      0.05% |       0.56% |       0.71% |      0.15% |      0.49% |      3.62% |      0.58%
    mpki                             |        0.12 |       0.20 |        2.68 |        2.98 |       0.52 |       1.35 |      27.06 |       2.33
  L2 TLB                             |             |            |             |             |            |            |            |           
    num accesses                     |      150065 |     112476 |     2763194 |     3823153 |     213226 |     336481 |   17479218 |    1834320
    num misses                       |        4523 |      61988 |       17679 |       29453 |      69376 |     104713 |   12553897 |     263456
    miss rate                        |       3.01% |     55.11% |       0.64% |       0.77% |     32.54% |     31.12% |     71.82% |     14.36%
    mpki                             |        0.00 |       0.11 |        0.02 |        0.02 |       0.17 |       0.42 |      19.43 |       0.34
Cache Summary                        |             |            |             |             |            |            |            |           
  Cache L1-I                         |             |            |             |             |            |            |            |           
    num cache accesses               |   186572163 |   51607016 |   151176319 |   155661607 |   41538549 |   20925725 |   74004979 |  125694548
    num cache misses                 |     3859344 |      65711 |     5024372 |     1353207 |      42664 |      39875 |     313283 |    2479308
    miss rate                        |       2.07% |      0.13% |       3.32% |       0.87% |      0.10% |      0.19% |      0.42% |      1.97%
    mpki                             |        3.10 |       0.12 |        4.87 |        1.05 |       0.10 |       0.16 |       0.48 |       3.16
  Cache L1-D                         |             |            |             |             |            |            |            |           
    num cache accesses               |   485884566 |  223089446 |   494725588 |   540961214 |  146850052 |   68803936 |  483232299 |  316777520
    num cache misses                 |     6470100 |    5558892 |    16723350 |     2558519 |    5158572 |    3684829 |    5312149 |    3063646
    miss rate                        |       1.33% |      2.49% |       3.38% |       0.47% |      3.51% |      5.36% |      1.10% |      0.97%
    mpki                             |        5.20 |       9.73 |       16.21 |        1.99 |      12.47 |      14.74 |       8.22 |       3.91
  Cache L2                           |             |            |             |             |            |            |            |           
    num cache accesses               |    10377198 |    5624983 |    21754963 |     3932127 |    5873799 |    3755047 |    5625680 |    5647419
    num cache misses                 |      618616 |    4036322 |     3432075 |      436711 |    4212490 |    3453249 |    3945800 |    2991461
    miss rate                        |       5.96% |     71.76% |      15.78% |      11.11% |     71.72% |     91.96% |     70.14% |     52.97%
    mpki                             |        0.50 |       7.07 |        3.33 |        0.34 |      10.18 |      13.81 |       6.11 |       3.81
  Cache L3                           |             |            |             |             |            |            |            |           
    num cache accesses               |      666520 |    4037305 |     3440910 |      457590 |    4896268 |    3483670 |    3946124 |    3096327
    num cache misses                 |      332875 |    3889018 |      159024 |      138448 |    3655938 |    2988201 |    3349656 |     935641
    miss rate                        |      49.94% |     96.33% |       4.62% |      30.26% |     74.67% |     85.78% |     84.88% |     30.22%
    mpki                             |        0.27 |       6.81 |        0.15 |        0.11 |       8.84 |      11.95 |       5.19 |       1.19
DRAM summary                         |             |            |             |             |            |            |            |           
  num dram accesses                  |    19565884 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      149.91 |        inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       39.90 |       0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      78.00% |      0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |             |             |            |            |            |           
  num loads from dram                |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |           0 |           0 |          0 |          0 |          0 |          0
