                                   | Core 0    
  Instructions                     |   99999982
  Cycles                           |  277895105
  IPC                              |       0.36
  Time (ns)                        |   92631702
Branch predictor stats             |           
  num correct                      |   10548855
  num incorrect                    |    2724377
  misprediction rate               |     20.53%
  mpki                             |      27.24
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   12176733
    num misses                     |         18
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   45335675
    num misses                     |     534889
    miss rate                      |      1.18%
    mpki                           |       5.35
  L2 TLB                           |           
    num accesses                   |     534907
    num misses                     |     292166
    miss rate                      |     54.62%
    mpki                           |       2.92
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   12176733
    num cache misses               |      10282
    miss rate                      |      0.08%
    mpki                           |       0.10
  Cache L1-D                       |           
    num cache accesses             |   45335675
    num cache misses               |    1587803
    miss rate                      |      3.50%
    mpki                           |      15.88
  Cache L2                         |           
    num cache accesses             |    2123239
    num cache misses               |    1415975
    miss rate                      |     66.69%
    mpki                           |      14.16
  Cache L3                         |           
    num cache accesses             |    1941504
    num cache misses               |    1268603
    miss rate                      |     65.34%
    mpki                           |      12.69
DRAM summary                       |           
  num dram accesses                |    2190713
  average dram access latency (ns) |     128.15
  average dram queueing delay      |      43.11
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
