                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      
  Instructions                       |  6041609452 |  1766929283 |   249999989 |  2185768035 |   851654093 |  5781539724 |  5160335449 |  10321333131
  Cycles                             |  6918129300 |  6918129966 |  6918125494 |  6918129565 |  6918129595 |  6918130022 |  6918129305 |   6918129306
  IPC                                |        0.87 |        0.26 |        0.04 |        0.32 |        0.12 |        0.84 |        0.75 |         1.49
  Time (ns)                          |  2306043100 |  2306043322 |  2306041832 |  2306043189 |  2306043199 |  2306043341 |  2306043102 |   2306043102
Branch predictor stats               |             |             |             |             |             |             |             |             
  num correct                        |   343804453 |    16048879 |    43244780 |   116550565 |   117129347 |   266242442 |   778353788 |    687529956
  num incorrect                      |    58162306 |      107522 |    11689069 |     2726748 |    16085775 |     2215215 |    87410600 |    118055964
  misprediction rate                 |      14.47% |       0.67% |      21.28% |       2.29% |      12.08% |       0.83% |      10.10% |       14.65%
  mpki                               |        9.63 |        0.06 |       46.76 |        1.25 |       18.89 |        0.38 |       16.94 |        11.44
TLB Summary                          |             |             |             |             |             |             |             |             
  I-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |   677953386 |   156163995 |    23761816 |   218075244 |   149247977 |   442312486 |   826089289 |   1252382850
    num misses                       |          56 |           3 |           3 |          47 |         101 |          43 |       30018 |           18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |         0.00
  D-TLB                              |             |             |             |             |             |             |             |             
    num accesses                     |  2840422344 |   481395527 |    88558906 |   761350528 |   396875702 |  3326892010 |  2077224570 |   4352232933
    num misses                       |     1834320 |      860957 |    21159638 |     1162892 |    15464589 |      447898 |    11495427 |     30946028
    miss rate                        |       0.06% |       0.18% |      23.89% |       0.15% |       3.90% |       0.01% |       0.55% |        0.71%
    mpki                             |        0.30 |        0.49 |       84.64 |        0.53 |       18.16 |        0.08 |        2.23 |         3.00
  L2 TLB                             |             |             |             |             |             |             |             |             
    num accesses                     |     1834376 |      860960 |    21159641 |     1162939 |    15464690 |      447941 |    11525445 |     30946046
    num misses                       |      289227 |      860311 |    10898700 |      360330 |     4638386 |      128823 |     1641328 |       236529
    miss rate                        |      15.77% |      99.92% |      51.51% |      30.98% |      29.99% |      28.76% |      14.24% |        0.76%
    mpki                             |        0.05 |        0.49 |       43.59 |        0.16 |        5.45 |        0.02 |        0.32 |         0.02
Cache Summary                        |             |             |             |             |             |             |             |             
  Cache L1-I                         |             |             |             |             |             |             |             |             
    num cache accesses               |   677953386 |   156163995 |    23761816 |   218075244 |   149247977 |   442312486 |   826089289 |   1252382850
    num cache misses                 |     2022708 |     1213640 |      191437 |      219657 |     3299724 |      403779 |    15728821 |     11413088
    miss rate                        |       0.30% |       0.78% |       0.81% |       0.10% |       2.21% |       0.09% |       1.90% |        0.91%
    mpki                             |        0.33 |        0.69 |        0.77 |        0.10 |        3.87 |        0.07 |        3.05 |         1.11
  Cache L1-D                         |             |             |             |             |             |             |             |             
    num cache accesses               |  2840422344 |   481395527 |    88558906 |   761350528 |   396875702 |  3326892010 |  2077224570 |   4352232933
    num cache misses                 |    17511482 |    90952855 |    28777906 |    26835512 |    22733281 |    31375708 |    19385833 |     21284153
    miss rate                        |       0.62% |      18.89% |      32.50% |       3.52% |       5.73% |       0.94% |       0.93% |        0.49%
    mpki                             |        2.90 |       51.48 |      115.11 |       12.28 |       26.69 |        5.43 |        3.76 |         2.06
  Cache L2                           |             |             |             |             |             |             |             |             
    num cache accesses               |    19573561 |    92166514 |    32750026 |    31087586 |    31020188 |    31866192 |    35936966 |     32975352
    num cache misses                 |    13873955 |    59895330 |    24373954 |    21975847 |    22362561 |    22099169 |    19063645 |      4720839
    miss rate                        |      70.88% |      64.99% |      74.42% |      70.69% |      72.09% |      69.35% |      53.05% |       14.32%
    mpki                             |        2.30 |       33.90 |       97.50 |       10.05 |       26.26 |        3.82 |        3.69 |         0.46
  Cache L3                           |             |             |             |             |             |             |             |             
    num cache accesses               |    13917706 |    59895349 |    28180167 |    26100794 |    27358564 |    22190878 |    19889929 |      5007253
    num cache misses                 |     9363672 |    50923225 |    18770375 |    19481970 |    16638100 |    15836022 |     7081793 |      2152271
    miss rate                        |      67.28% |      85.02% |      66.61% |      74.64% |      60.81% |      71.36% |      35.60% |       42.98%
    mpki                             |        1.55 |       28.82 |       75.08 |        8.91 |       19.54 |        2.74 |        1.37 |         0.21
DRAM summary                         |             |             |             |             |             |             |             |             
  num dram accesses                  |   217616531 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  average dram access latency (ns)   |      268.86 |         inf |         inf |         inf |         inf |         inf |         inf |          inf
  average dram queueing delay        |      158.85 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |         0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |        0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |            0
