                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   667866244 |  1217238360 |   650615128 |   995200592 |  1787747973 |  4654622982 |   401254775 |  1251677309 |  2003161507 |  2568078846 |   634962001 |  2694666709 |   249999886 |  1933326126 |  1156943126 |  2197987767
  Cycles                             |  3003395592 |  3003395537 |  3003395733 |  3003395425 |  3003395199 |  3003395238 |  3003395594 |  3003395206 |  3003395412 |  3003395400 |  3003395808 |  3003395426 |  3003391676 |  3003395730 |  3003395400 |  3003395413
  IPC                                |        0.22 |        0.41 |        0.22 |        0.33 |        0.60 |        1.55 |        0.13 |        0.42 |        0.67 |        0.86 |        0.21 |        0.90 |        0.08 |        0.64 |        0.39 |        0.73
  Time (ns)                          |  1001131864 |  1001131846 |  1001131911 |  1001131809 |  1001131733 |  1001131746 |  1001131865 |  1001131736 |  1001131804 |  1001131800 |  1001131936 |  1001131809 |  1001130559 |  1001131910 |  1001131800 |  1001131805
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    35660991 |   156461642 |    39813695 |    22937396 |   269354094 |   214336069 |     7406235 |     1638283 |   109504873 |   228020358 |    19155235 |   216700400 |    34399075 |   110369277 |    22061529 |   240374571
  num incorrect                      |      834243 |    36652043 |     1506993 |      409119 |    30375105 |     1781480 |    10355391 |       27764 |    75469693 |    38109389 |     9225044 |    36390429 |     4720676 |    18713949 |     3274279 |    36596493
  misprediction rate                 |       2.29% |      18.98% |       3.65% |       1.75% |      10.13% |       0.82% |      58.30% |       1.67% |      40.80% |      14.32% |      32.51% |      14.38% |      12.07% |      14.50% |      12.92% |      13.21%
  mpki                               |        1.25 |       30.11 |        2.32 |        0.41 |       16.99 |        0.38 |       25.81 |        0.02 |       37.68 |       14.84 |       14.53 |       13.50 |       18.88 |        9.68 |        2.83 |       16.65
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
