                                   | Core 0    
  Instructions                     |   99999895
  Cycles                           |   99906235
  IPC                              |       1.00
  Time (ns)                        |   33302078
Branch predictor stats             |           
  num correct                      |    2593457
  num incorrect                    |    1312530
  misprediction rate               |     33.60%
  mpki                             |      13.13
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    6812739
    num misses                     |          3
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   48870157
    num misses                     |      30272
    miss rate                      |      0.06%
    mpki                           |       0.30
  L2 TLB                           |           
    num accesses                   |      30275
    num misses                     |      30191
    miss rate                      |     99.72%
    mpki                           |       0.30
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    6812739
    num cache misses               |      12212
    miss rate                      |      0.18%
    mpki                           |       0.12
  Cache L1-D                       |           
    num cache accesses             |   48870157
    num cache misses               |    2249337
    miss rate                      |      4.60%
    mpki                           |      22.49
  Cache L2                         |           
    num cache accesses             |    2420096
    num cache misses               |    1957054
    miss rate                      |     80.87%
    mpki                           |      19.57
  Cache L3                         |           
    num cache accesses             |    2115601
    num cache misses               |    1932959
    miss rate                      |     91.37%
    mpki                           |      19.33
DRAM summary                       |           
  num dram accesses                |    2132829
  average dram access latency (ns) |      54.13
  average dram queueing delay      |       4.12
Coherency Traffic                  |           
  num loads from dram              |    1893183
  num loads from dram cache        |          0
  num loads from remote cache      |          0
