                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1326438799 |  2263286923 |  1863697836 |  1656812073 |   929199224 |   559703860 |  1442172453 |   277399731 |  2345229935 |   558167203 |  2216310908 |   807813351 |  1407295184 |  2762815584 |  1393128869
  Cycles                             |  1631469150 |  1631473807 |  1631473800 |  1631474414 |  1631474098 |  1631474106 |  1631474438 |  1631474136 |  1631474395 |  1631473800 |  1631474100 |  1631473800 |  1631473835 |  1631473803 |  1631473800 |  1631473816
  IPC                                |        0.15 |        0.81 |        1.39 |        1.14 |        1.02 |        0.57 |        0.34 |        0.88 |        0.17 |        1.44 |        0.34 |        1.36 |        0.50 |        0.86 |        1.69 |        0.85
  Time (ns)                          |   543823050 |   543824603 |   543824600 |   543824805 |   543824700 |   543824702 |   543824813 |   543824712 |   543824799 |   543824600 |   543824700 |   543824600 |   543824612 |   543824601 |   543824600 |   543824606
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    70314824 |   200809977 |    85814170 |    94981386 |    56462981 |    30337205 |   220667851 |    47097162 |   102759106 |    34422423 |   178195713 |    18412175 |    26673349 |   183940912 |   210161051
  num incorrect                      |     4720676 |    50804574 |    33509939 |      711927 |    16078913 |    33976526 |      709604 |    56454213 |     4276019 |     5844318 |     1116858 |    29928491 |      327184 |     3978474 |    31590256 |    23569154
  misprediction rate                 |      12.07% |      41.95% |      14.30% |       0.82% |      14.48% |      37.57% |       2.29% |      20.37% |       8.32% |       5.38% |       3.14% |      14.38% |       1.75% |      12.98% |      14.66% |      10.08%
  mpki                               |       18.88 |       38.30 |       14.81 |        0.38 |        9.70 |       36.57 |        1.27 |       39.15 |       15.41 |        2.49 |        2.00 |       13.50 |        0.41 |        2.83 |       11.43 |       16.92
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   107297706 |   256992456 |   142572381 |   186527549 |   110840816 |    56546907 |   187618831 |    32206373 |   223997411 |    53074129 |   324666350 |    72405892 |   134169795 |   335213404 |   222965935
    num misses                       |          84 |          52 |         839 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          78 |          18 |        8298
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   389959036 |   946292055 |  1072441847 |   777152126 |   427314544 |   194030990 |   485343826 |    96209304 |   716078968 |   184282418 |  1062501442 |   315903468 |   714643649 |  1164868826 |   560411551
    num misses                       |     4544047 |       22685 |      496497 |      143927 |      500604 |     2925070 |      295299 |     2144507 |     1618366 |      221560 |     1570778 |     5931607 |      162639 |     1638769 |     8271922 |     3087695
    miss rate                        |       3.90% |       0.01% |       0.05% |       0.01% |       0.06% |       0.68% |       0.15% |       0.44% |       1.68% |       0.03% |       0.85% |       0.56% |       0.05% |       0.23% |       0.71% |       0.55%
    mpki                             |       18.18 |        0.02 |        0.22 |        0.08 |        0.30 |        3.15 |        0.53 |        1.49 |        5.83 |        0.09 |        2.81 |        2.68 |        0.20 |        1.16 |        2.99 |        2.22
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     4544131 |       22737 |      497336 |      143970 |      500660 |     2925080 |      295346 |     2144526 |     1618408 |      221568 |     1570800 |     5931672 |      162643 |     1638847 |     8271940 |     3095993
    num misses                       |     1361718 |       20341 |       15896 |       42572 |       78949 |     2323111 |       95449 |      449016 |      458922 |        5725 |      143951 |       37683 |       86843 |       21888 |       63404 |      444403
    miss rate                        |      29.97% |      89.46% |       3.20% |      29.57% |      15.77% |      79.42% |      32.32% |      20.94% |      28.36% |       2.58% |       9.16% |       0.64% |      53.39% |       1.34% |       0.77% |      14.35%
    mpki                             |        5.45 |        0.02 |        0.01 |        0.02 |        0.05 |        2.50 |        0.17 |        0.31 |        1.65 |        0.00 |        0.26 |        0.02 |        0.11 |        0.02 |        0.02 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    43801034 |   107297706 |   256992456 |   142572381 |   186527549 |   110840816 |    56546907 |   187618831 |    32206373 |   223997411 |    53074129 |   324666350 |    72405892 |   134169795 |   335213404 |   222965935
    num cache misses                 |      942451 |       27013 |     3509984 |      127267 |      538798 |       61395 |       53781 |      958023 |       35859 |       36886 |      352593 |    10765470 |       97662 |      245892 |     2890176 |     4170254
    miss rate                        |       2.15% |       0.03% |       1.37% |       0.09% |       0.29% |       0.06% |       0.10% |       0.51% |       0.11% |       0.02% |       0.66% |       3.32% |       0.13% |       0.18% |       0.86% |       1.87%
    mpki                             |        3.77 |        0.02 |        1.55 |        0.07 |        0.33 |        0.07 |        0.10 |        0.66 |        0.13 |        0.02 |        0.63 |        4.86 |        0.12 |        0.17 |        1.05 |        2.99
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   116504258 |   389959036 |   946292055 |  1072441847 |   777152126 |   427314544 |   194030990 |   485343826 |    96209304 |   716078968 |   184282418 |  1062501442 |   315903468 |   714643649 |  1164868826 |   560411551
    num cache misses                 |     6642954 |     1396235 |     8759540 |    10078697 |     4764823 |     6603180 |     6952021 |     1989929 |    11417966 |    19051325 |    11058780 |    35734744 |     7957165 |    11089278 |     5484682 |     5168160
    miss rate                        |       5.70% |       0.36% |       0.93% |       0.94% |       0.61% |       1.55% |       3.58% |       0.41% |      11.87% |       2.66% |       6.00% |       3.36% |       2.52% |       1.55% |       0.47% |       0.92%
    mpki                             |       26.57 |        1.05 |        3.87 |        5.41 |        2.88 |        7.11 |       12.42 |        1.38 |       41.16 |        8.12 |       19.81 |       16.12 |        9.85 |        7.88 |        1.99 |        3.71
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
