                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1450649236 |  2528817959 |  2603046674 |  1869871537 |   998308854 |   621627528 |  1519707494 |   316228840 |  2428723076 |   638880065 |  2455105087 |   903062455 |  1536020873 |  2838324732 |  1519405930
  Cycles                             |  1756269916 |  1756271215 |  1756271164 |  1756271855 |  1756271484 |  1756271249 |  1756271276 |  1756271172 |  1756271183 |  1756271164 |  1756271490 |  1756271173 |  1756271184 |  1756271163 |  1756271163 |  1756271471
  IPC                                |        0.14 |        0.83 |        1.44 |        1.48 |        1.06 |        0.57 |        0.35 |        0.87 |        0.18 |        1.38 |        0.36 |        1.40 |        0.51 |        0.87 |        1.62 |        0.87
  Time (ns)                          |   585423306 |   585423739 |   585423722 |   585423952 |   585423828 |   585423750 |   585423759 |   585423724 |   585423728 |   585423722 |   585423830 |   585423725 |   585423728 |   585423721 |   585423721 |   585423824
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    75212618 |   224609364 |   119860242 |   106984675 |    60693393 |    33650401 |   232149294 |    53307697 |   106598208 |    39179621 |   197413349 |    20339548 |    30079908 |   189051147 |   229066489
  num incorrect                      |     4720676 |    56479423 |    37486311 |      995605 |    18162511 |    36521882 |      787036 |    59622832 |     4857271 |     6072079 |     1411102 |    33153103 |      361139 |     4556464 |    32468394 |    25791929
  misprediction rate                 |      12.07% |      42.89% |      14.30% |       0.82% |      14.51% |      37.57% |       2.29% |      20.43% |       8.35% |       5.39% |       3.48% |      14.38% |       1.74% |      13.16% |      14.66% |      10.12%
  mpki                               |       18.88 |       38.93 |       14.82 |        0.38 |        9.71 |       36.58 |        1.27 |       39.23 |       15.36 |        2.50 |        2.21 |       13.50 |        0.40 |        2.97 |       11.44 |       16.98
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   114593912 |   287137340 |   199136196 |   210615743 |   119173606 |    62417433 |   197739975 |    36991467 |   231751936 |    60850974 |   359655929 |    81209889 |   146820670 |   344323425 |   243319445
    num misses                       |          84 |          52 |         921 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          82 |          18 |        8899
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   422906171 |  1057188838 |  1497883545 |   877608802 |   458932465 |   217217894 |   511482021 |   111443575 |   740850752 |   213357849 |  1176980583 |   356712606 |   780078168 |  1196645237 |   612290577
