                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   1959383671 |   6881049432 |   7931488227 |   3216602213 |   4134650161 |    249999989 |  19155359094 |   6372063751 |    829323999 |   1256104060 |   4908362709 |    864198571 |   3473203745 |   1239464101 |   4226406618 |   2134473766
  Cycles                             |  10621121101 |  10621122048 |  10621121123 |  10621121978 |  10621121874 |  10621106661 |  10621121100 |  10621121103 |  10621121305 |  10621122201 |  10621121123 |  10621121753 |  10621122087 |  10621121821 |  10621121999 |  10621121533
  IPC                                |         0.18 |         0.65 |         0.75 |         0.30 |         0.39 |         0.02 |         1.80 |         0.60 |         0.08 |         0.12 |         0.46 |         0.08 |         0.33 |         0.12 |         0.40 |         0.20
  Time (ns)                          |   3540373701 |   3540374016 |   3540373708 |   3540373993 |   3540373958 |   3540368887 |   3540373700 |   3540373701 |   3540373769 |   3540374067 |   3540373708 |   3540373918 |   3540374029 |   3540373941 |   3540374000 |   3540373845
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     64650519 |    316873247 |   1212757520 |     74045348 |    251338062 |     43244780 |   3535130331 |    118818627 |    135006709 |     99585070 |    532448392 |    118824585 |    528578636 |     23950356 |      5507960 |    131921648
  num incorrect                      |     30377666 |      2635873 |    310680314 |      1320391 |    151242786 |     11689069 |    241161754 |     18055555 |      8687763 |      8141619 |     81286160 |     16325600 |    113645234 |     32927531 |        93342 |      4570827
  misprediction rate                 |       31.97% |        0.82% |       20.39% |        1.75% |       37.57% |       21.28% |        6.39% |       13.19% |        6.05% |        7.56% |       13.24% |       12.08% |       17.70% |       57.89% |        1.67% |        3.35%
  mpki                               |        15.50 |         0.38 |        39.17 |         0.41 |        36.58 |        46.76 |        12.59 |         2.83 |        10.48 |         6.48 |        16.56 |        18.89 |        32.72 |        26.57 |         0.02 |         2.14
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    154629173 |    526429950 |   1031850586 |    287609999 |    493501749 |     23761816 |   3140997065 |    606652402 |    137836036 |    105146134 |    578114176 |    151431933 |    479691700 |    136153239 |    484111667 |    202825541
    num misses                       |            3 |           43 |           19 |            4 |           10 |            3 |           39 |          158 |            4 |           42 |           10 |          105 |          623 |           14 |            6 |           22
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    853927749 |   3959580979 |   2669893982 |   1264253251 |   1901009768 |     88558906 |   6242695342 |   3235603055 |    254429366 |    345837209 |   2204708468 |    402694786 |   1347793257 |    463517464 |   3161581849 |    708573030
    num misses                       |       881948 |       533538 |     11814731 |       673519 |     13066382 |     21159616 |           23 |      7225744 |       297500 |      1689066 |     22234129 |     15677315 |      7161544 |      3288424 |    113991609 |      5682059
    miss rate                        |        0.10% |        0.01% |        0.44% |        0.05% |        0.69% |       23.89% |        0.00% |        0.22% |        0.12% |        0.49% |        1.01% |        3.89% |        0.53% |        0.71% |        3.61% |        0.80%
    mpki                             |         0.45 |         0.08 |         1.49 |         0.21 |         3.16 |        84.64 |         0.00 |         1.13 |         0.36 |         1.34 |         4.53 |        18.14 |         2.06 |         2.65 |        26.97 |         2.66
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       881951 |       533581 |     11814750 |       673523 |     13066392 |     21159619 |           62 |      7225902 |       297504 |      1689108 |     22234139 |     15677420 |      7162167 |      3288438 |    113991615 |      5682081
    num misses                       |       600456 |       153464 |      2474282 |       351616 |     10387614 |     10898451 |           62 |        98971 |       297504 |       524841 |      1971665 |      4702361 |       700439 |      3288400 |     81295111 |       549234
    miss rate                        |       68.08% |       28.76% |       20.94% |       52.21% |       79.50% |       51.51% |      100.00% |        1.37% |      100.00% |       31.07% |        8.87% |       29.99% |        9.78% |      100.00% |       71.32% |        9.67%
    mpki                             |         0.31 |         0.02 |         0.31 |         0.11 |         2.51 |        43.59 |         0.00 |         0.02 |         0.36 |         0.42 |         0.40 |         5.44 |         0.20 |         2.65 |        19.24 |         0.26
Cache Summary                        |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    154629173 |    526429950 |   1031850586 |    287609999 |    493501749 |     23761816 |   3140997065 |    606652402 |    137836036 |    105146134 |    578114176 |    151431933 |    479691700 |    136153239 |    484111667 |    202825541
    num cache misses                 |       106721 |       357606 |      3996616 |       185451 |       177469 |       106198 |     29630147 |       300007 |        11991 |       140888 |       213113 |      2292292 |     27399395 |        48896 |       902873 |       585514
    miss rate                        |        0.07% |        0.07% |        0.39% |        0.06% |        0.04% |        0.45% |        0.94% |        0.05% |        0.01% |        0.13% |        0.04% |        1.51% |        5.71% |        0.04% |        0.19% |        0.29%
    mpki                             |         0.05 |         0.05 |         0.50 |         0.06 |         0.04 |         0.42 |         1.55 |         0.05 |         0.01 |         0.11 |         0.04 |         2.65 |         7.89 |         0.04 |         0.21 |         0.27
  Cache L1-D                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    853927749 |   3959580979 |   2669893982 |   1264253251 |   1901009768 |     88558906 |   6242695342 |   3235603055 |    254429366 |    345837209 |   2204708468 |    402694786 |   1347793257 |    463517464 |   3161581849 |    708573030
    num cache misses                 |     43351057 |     36131263 |     10249446 |     32689939 |     29299032 |     28763758 |       229884 |     49676931 |     19039197 |     18447824 |     70752516 |     22542018 |     30416744 |     36199902 |     34621064 |     40415706
    miss rate                        |        5.08% |        0.91% |        0.38% |        2.59% |        1.54% |       32.48% |        0.00% |        1.54% |        7.48% |        5.33% |        3.21% |        5.60% |        2.26% |        7.81% |        1.10% |        5.70%
    mpki                             |        22.12 |         5.25 |         1.29 |        10.16 |         7.09 |       115.06 |         0.01 |         7.80 |        22.96 |        14.69 |        14.41 |        26.08 |         8.76 |        29.21 |         8.19 |        18.93
  Cache L2                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     46505401 |     36567384 |     16460304 |     32915116 |     31869649 |     32606179 |     29891957 |     51165951 |     26090988 |     18751615 |     71735013 |     29469199 |     59261348 |     40847718 |     35530518 |     43949533
    num cache misses                 |     38571987 |     22420876 |      4541969 |     22444090 |     24692111 |     22352801 |       668360 |     12326185 |     19051188 |     16071642 |     38567906 |     20075570 |     27925194 |     36248548 |     23971261 |     12646976
    miss rate                        |       82.94% |       61.31% |       27.59% |       68.19% |       77.48% |       68.55% |        2.24% |       24.09% |       73.02% |       85.71% |       53.76% |       68.12% |       47.12% |       88.74% |       67.47% |       28.78%
    mpki                             |        19.69 |         3.26 |         0.57 |         6.98 |         5.97 |        89.41 |         0.03 |         1.93 |        22.97 |        12.79 |         7.86 |        23.23 |         8.04 |        29.25 |         5.67 |         5.93
  Cache L3                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     41619610 |     22506885 |      6802214 |     22498168 |     27693286 |     26135180 |       700286 |     13519133 |     26090988 |     16234965 |     39425647 |     24723129 |     29374727 |     40847468 |     23978475 |     15624784
    num cache misses                 |     38424140 |     15469827 |      3649428 |     22218320 |      7959552 |     17675368 |       667323 |      6025079 |     19033485 |     15264974 |     12057266 |     15556750 |      8402373 |     36198411 |     22217219 |     11523394
    miss rate                        |       92.32% |       68.73% |       53.65% |       98.76% |       28.74% |       67.63% |       95.29% |       44.57% |       72.95% |       94.03% |       30.58% |       62.92% |       28.60% |       88.62% |       92.65% |       73.75%
    mpki                             |        19.61 |         2.25 |         0.46 |         6.91 |         1.93 |        70.70 |         0.03 |         0.95 |        22.95 |        12.15 |         2.46 |        18.00 |         2.42 |        29.20 |         5.26 |         5.40
DRAM summary                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num dram accesses                  |    342017589 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns)   |       442.45 |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay        |       332.45 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |       96.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num loads from dram                |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
