                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   856504013 |  1389932154 |  1695465556 |   966762459 |   754140676 |  1206867459 |  1874713176
  Cycles                             |  1126077817 |  1126081118 |  1126080850 |  1126080889 |  1126080779 |  1126081143 |  1126080844 |  1126080818
  IPC                                |        0.22 |        0.76 |        1.23 |        1.51 |        0.86 |        0.67 |        1.07 |        1.66
  Time (ns)                          |   375359273 |   375360373 |   375360284 |   375360297 |   375360260 |   375360381 |   375360282 |   375360273
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19247758 |    79924621 |    74402848 |     1253390 |    45846700 |   182046766 |   248810932
  num incorrect                      |     2521753 |      341112 |    13525164 |     4236247 |       21242 |    27588298 |    20433650 |    25227886
  misprediction rate                 |       5.85% |       1.74% |      14.47% |       5.39% |       1.67% |      37.57% |      10.09% |       9.21%
  mpki                               |       10.09 |        0.40 |        9.73 |        2.50 |        0.02 |       36.58 |       16.93 |       13.46
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    77271870 |   156720470 |   161809578 |   110756176 |    90022048 |   193185065 |   282177097
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        7273 |        1293
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   338064453 |   651509779 |   517235311 |   723126044 |   346701040 |   485886901 |   734102615
    num misses                       |       88470 |      170663 |      419443 |      164468 |    25997286 |     2386688 |     2713261 |      234298
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.60% |       0.69% |       0.56% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       26.89 |        3.16 |        2.25 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      170667 |      419499 |      164476 |    25997292 |     2386698 |     2720534 |      235591
    num misses                       |       88474 |       94910 |       66083 |        4204 |    18606445 |     1897788 |      389615 |        6940
    miss rate                        |     100.00% |      55.61% |      15.75% |       2.56% |      71.57% |      79.52% |      14.32% |       2.95%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.25 |        2.52 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    77271870 |   156720470 |   161809578 |   110756176 |    90022048 |   193185065 |   282177097
    num cache misses                 |        7090 |       99858 |      453772 |       31480 |      467504 |       49225 |     3693357 |     5840640
    miss rate                        |       0.02% |       0.13% |       0.29% |       0.02% |       0.42% |       0.05% |       1.91% |       2.07%
    mpki                             |        0.03 |        0.12 |        0.33 |        0.02 |        0.48 |        0.07 |        3.06 |        3.12
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   338064453 |   651509779 |   517235311 |   723126044 |   346701040 |   485886901 |   734102615
    num cache misses                 |     5663695 |     8459907 |     3990496 |    13781781 |     7944882 |     5352744 |     4557318 |     9558546
    miss rate                        |       7.49% |       2.50% |       0.61% |       2.66% |       1.10% |       1.54% |       0.94% |       1.30%
    mpki                             |       22.65 |        9.88 |        2.87 |        8.13 |        8.22 |        7.10 |        3.78 |        5.10
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690468 |     8560337 |     4449469 |    13873421 |     8412760 |     5845839 |     8404798 |    15469974
    num cache misses                 |     5670785 |     6178882 |     3133336 |      508796 |     5881417 |     5029006 |     4423990 |      936681
    miss rate                        |      73.74% |      72.18% |      70.42% |       3.67% |      69.91% |      86.03% |      52.64% |       6.05%
    mpki                             |       22.68 |        7.21 |        2.25 |        0.30 |        6.08 |        6.67 |        3.67 |        0.50
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690468 |     6180351 |     3139018 |      571128 |     5881905 |     5537851 |     4578752 |     1007677
    num cache misses                 |     5660128 |     5954015 |     1827256 |      356024 |     5014257 |     1454695 |     1369494 |      504634
    miss rate                        |      73.60% |      96.34% |      58.21% |      62.34% |      85.25% |      26.27% |      29.91% |      50.08%
    mpki                             |       22.64 |        6.95 |        1.31 |        0.21 |        5.19 |        1.93 |        1.13 |        0.27
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29630669 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      152.85 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       42.84 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      79.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
