                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   2061605802 |   7558797205 |   1598370004 |  10149001760 |   1296333242 |    249999989 |   2202067851 |    852604072 |   4131585677 |   3316894901 |   3489816612 |   5690797387 |  15735821326 |   7146431935 |  12555394274 |    475944934
  Cycles                             |  11034139642 |  11034139055 |  11034138900 |  11034139574 |  11034139148 |  11034126860 |  11034139417 |  11034139406 |  11034139229 |  11034139111 |  11034138709 |  11034139059 |  11034138672 |  11034138733 |  11034138708 |  11034140147
  IPC                                |         0.19 |         0.69 |         0.14 |         0.92 |         0.12 |         0.02 |         0.20 |         0.08 |         0.37 |         0.30 |         0.32 |         0.52 |         1.43 |         0.65 |         1.14 |         0.04
  Time (ns)                          |   3678046548 |   3678046352 |   3678046300 |   3678046525 |   3678046383 |   3678042287 |   3678046473 |   3678046469 |   3678046410 |   3678046371 |   3678046237 |   3678046353 |   3678046224 |   3678046245 |   3678046236 |   3678046716
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     18719417 |   1155490012 |    126683517 |    899404996 |     25507124 |     43244780 |    117397817 |    117260325 |    447988462 |     76356458 |    532102359 |    858471327 |   1048411229 |    386677826 |    554067924 |    111484482
  num incorrect                      |       125402 |    296207895 |     10362955 |    150102417 |     35184295 |     11689069 |      2746355 |     16100405 |     68283628 |      1360616 |    113711670 |     96418217 |    179961347 |    270750509 |     31459204 |     12380859
  misprediction rate                 |        0.67% |       20.40% |        7.56% |       14.30% |       57.97% |       21.28% |        2.29% |       12.07% |       13.23% |        1.75% |       17.61% |       10.10% |       14.65% |       41.18% |        5.37% |       10.00%
  mpki                               |         0.06 |        39.19 |         6.48 |        14.79 |        27.14 |        46.76 |         1.25 |        18.88 |        16.53 |         0.41 |        32.58 |        16.94 |        11.44 |        37.89 |         2.51 |        26.01
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    182207464 |    983389385 |    134194825 |   1152463807 |    144356681 |     23761816 |    219383397 |    149414261 |    486388100 |    296853399 |    481048269 |    910960352 |   1909505067 |    583206515 |   1195925145 |     40254111
    num misses                       |            3 |           19 |           42 |         3424 |           14 |            3 |           47 |          101 |           10 |            4 |          627 |        32998 |           18 |           52 |            8 |        33149
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.08%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.01 |         0.00 |         0.00 |         0.00 |         0.07
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
