                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4238745057 |   909475792 |  4407232810 |   249999989 |  4504862355 |  3126181380 |   533118402 |  1167579294
  Cycles                             |  4588980507 |  4588980126 |  4588980077 |  4588978416 |  4588980093 |  4588980448 |  4588981119 |  4588980718
  IPC                                |        0.92 |        0.20 |        0.96 |        0.05 |        0.98 |        0.68 |        0.12 |        0.25
  Time (ns)                          |  1529660169 |  1529660042 |  1529660026 |  1529659472 |  1529660031 |  1529660149 |  1529660373 |  1529660239
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   230979674 |   125048409 |    82005984 |    43244780 |   580562135 |    71495539 |   124937483 |   196977652
  num incorrect                      |   160042102 |    17187767 |    12428023 |    11689069 |   135295286 |     1273297 |    13872583 |    18216088
  misprediction rate                 |      40.93% |      12.08% |      13.16% |      21.28% |      18.90% |       1.75% |       9.99% |       8.46%
  mpki                               |       37.76 |       18.90 |        2.82 |       46.76 |       30.03 |        0.41 |       26.02 |       15.60
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   346575481 |   159310302 |   419584880 |    23761816 |   631727865 |   280008885 |    45040174 |   135382194
    num misses                       |          52 |         107 |         126 |           3 |         293 |           4 |       36683 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1251934683 |   423837248 |  2239133084 |    88558906 |  1758845830 |  1230564813 |   184689331 |   406729049
    num misses                       |       76213 |    16508241 |     5011667 |    21160178 |     3172384 |      647645 |     2825457 |     7003421
    miss rate                        |       0.01% |       3.89% |       0.22% |      23.89% |       0.18% |       0.05% |       1.53% |       1.72%
    mpki                             |        0.02 |       18.15 |        1.14 |       84.64 |        0.70 |        0.21 |        5.30 |        6.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       76265 |    16508348 |     5011793 |    21160181 |     3172677 |      647649 |     2862140 |     7003463
    num misses                       |       68102 |     4934130 |       68215 |    10898386 |      503736 |      343006 |     2420579 |     1892695
    miss rate                        |      89.30% |      29.89% |       1.36% |      51.50% |      15.88% |      52.96% |      84.57% |      27.03%
    mpki                             |        0.02 |        5.43 |        0.02 |       43.59 |        0.11 |        0.11 |        4.54 |        1.62
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   346575481 |   159310302 |   419584880 |    23761816 |   631727865 |   280008885 |    45040174 |   135382194
    num cache misses                 |       85542 |     3470745 |      759199 |      192261 |    19628316 |      401989 |      864241 |      153923
    miss rate                        |       0.02% |       2.18% |       0.18% |       0.81% |       3.11% |       0.14% |       1.92% |       0.11%
    mpki                             |        0.02 |        3.82 |        0.17 |        0.77 |        4.36 |        0.13 |        1.62 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1251934683 |   423837248 |  2239133084 |    88558906 |  1758845830 |  1230564813 |   184689331 |   406729049
    num cache misses                 |     4672253 |    24175530 |    34443958 |    28773643 |    22056050 |    31696900 |    15909191 |    47524305
    miss rate                        |       0.37% |       5.70% |       1.54% |      32.49% |       1.25% |       2.58% |       8.61% |      11.68%
    mpki                             |        1.10 |       26.58 |        7.82 |      115.09 |        4.90 |       10.14 |       29.84 |       40.70
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4875024 |    32436498 |    35610667 |    32737403 |    42626115 |    32190449 |    16821926 |    51276156
    num cache misses                 |     4564257 |    23757465 |    18373044 |    24384901 |    19035966 |    22884019 |    16104506 |    42080728
    miss rate                        |      93.63% |      73.24% |      51.59% |      74.49% |      44.66% |      71.09% |      95.74% |      82.07%
    mpki                             |        1.08 |       26.12 |        4.17 |       97.54 |        4.23 |        7.32 |       30.21 |       36.04
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4683733 |    28555004 |    18780961 |    28182463 |    19981225 |    23014735 |    16154287 |    45680372
    num cache misses                 |     4531616 |    16243037 |     3047034 |    18685568 |     2360324 |    22011271 |    15319080 |    21845567
    miss rate                        |      96.75% |      56.88% |      16.22% |      66.30% |      11.81% |      95.64% |      94.83% |      47.82%
    mpki                             |        1.07 |       17.86 |        0.69 |       74.74 |        0.52 |        7.04 |       28.73 |       18.71
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   135437257 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      172.73 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       62.72 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
