                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2121531464 |  1071200204 |  2179250069 |  1142297994 |  3674228752 |   490445958 |  5856638475 |  2693269541 |  8274710192 |   455370961 |   690396019 |  3717647946 |   249999981 |  1718455714 |  1768690658 |  7074165667
  Cycles                             |  4519247414 |  4519247406 |  4519247330 |  4519247349 |  4519247403 |  4519247707 |  4519247400 |  4519248252 |  4519247402 |  4519248189 |  4519248042 |  4519248248 |  4519243088 |  4519247874 |  4519248169 |  4519247412
  IPC                                |        0.47 |        0.24 |        0.48 |        0.25 |        0.81 |        0.11 |        1.30 |        0.60 |        1.83 |        0.10 |        0.15 |        0.82 |        0.06 |        0.38 |        0.39 |        1.57
  Time (ns)                          |  1506415805 |  1506415802 |  1506415777 |  1506415783 |  1506415801 |  1506415903 |  1506415800 |  1506416084 |  1506415801 |  1506416063 |  1506416014 |  1506416083 |  1506414363 |  1506415958 |  1506416057 |  1506415804
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   128947355 |    35182645 |     2843327 |    70359723 |   209774954 |    67480968 |   257751047 |    49806149 |  1527102504 |    75591532 |    54796306 |   171200154 |    58565837 |    39488257 |   269817719 |   471177778
  num incorrect                      |    77594059 |    16568523 |       48186 |     2502006 |    35530843 |     9259403 |    14643545 |     7505677 |   104177493 |     4601690 |     4501699 |     1424546 |     6500447 |      703916 |    57553210 |    80915095
  misprediction rate                 |      37.57% |      32.02% |       1.67% |       3.43% |      14.48% |      12.07% |       5.38% |      13.10% |       6.39% |       5.74% |       7.59% |       0.83% |       9.99% |       1.75% |      17.58% |      14.66%
  mpki                               |       36.57 |       15.47 |        0.02 |        2.19 |        9.67 |       18.88 |        2.50 |        2.79 |       12.59 |       10.11 |        6.52 |        0.38 |       26.00 |        0.41 |       32.54 |       11.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   253188985 |    83655153 |   249611665 |   108643762 |   412888487 |    85912426 |   558435812 |   256380844 |  1356845385 |    76842357 |    57572222 |   284417939 |    21135842 |   153726842 |   243666322 |   858333832
    num misses                       |          10 |           3 |           6 |          22 |          56 |          92 |           8 |          98 |          39 |           4 |          42 |          43 |       17441 |           4 |         368 |          18
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   975609404 |   469343398 |  1630230053 |   380199147 |  1725567932 |   228576527 |  1783843672 |  1370203124 |  2696717700 |   137750544 |   190213617 |  2139254003 |    86633855 |   675699330 |   686010112 |  2982879635
    num misses                       |     6694228 |      483730 |    58893900 |     3046246 |     1111916 |     8911537 |      564000 |     3063624 |          23 |      164998 |      942339 |      288602 |     1331682 |      358818 |     3647502 |    21205254
    miss rate                        |       0.69% |       0.10% |       3.61% |       0.80% |       0.06% |       3.90% |       0.03% |       0.22% |       0.00% |       0.12% |       0.50% |       0.01% |       1.54% |       0.05% |       0.53% |       0.71%
    mpki                             |        3.16 |        0.45 |       27.02 |        2.67 |        0.30 |       18.17 |        0.10 |        1.14 |        0.00 |        0.36 |        1.36 |        0.08 |        5.33 |        0.21 |        2.06 |        3.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     6694238 |      483733 |    58893906 |     3046268 |     1111972 |     8911629 |      564008 |     3063722 |          62 |      165002 |      942381 |      288645 |     1349123 |      358822 |     3647870 |    21205272
    num misses                       |     5320947 |      328090 |    42078391 |      288440 |      175323 |     2668948 |       14113 |       41266 |          62 |      165002 |      294674 |       82952 |     1140470 |      188046 |      356527 |      162057
    miss rate                        |      79.49% |      67.82% |      71.45% |       9.47% |      15.77% |      29.95% |       2.50% |       1.35% |     100.00% |     100.00% |      31.27% |      28.74% |      84.53% |      52.41% |       9.77% |       0.76%
    mpki                             |        2.51 |        0.31 |       19.31 |        0.25 |        0.05 |        5.44 |        0.00 |        0.02 |        0.00 |        0.36 |        0.43 |        0.02 |        4.56 |        0.11 |        0.20 |        0.02
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   253188985 |    83655153 |   249611665 |   108643762 |   412888487 |    85912426 |   558435812 |   256380844 |  1356845385 |    76842357 |    57572222 |   284417939 |    21135842 |   153726842 |   243666322 |   858333832
    num cache misses                 |       57515 |       32672 |      222896 |      140859 |      667926 |     1019948 |       36059 |       54187 |    12805889 |        3274 |       57427 |      137857 |      345292 |       50263 |    13830535 |     7125366
    miss rate                        |       0.02% |       0.04% |       0.09% |       0.13% |       0.16% |       1.19% |       0.01% |       0.02% |       0.94% |       0.00% |       0.10% |       0.05% |       1.63% |       0.03% |       5.68% |       0.83%
    mpki                             |        0.03 |        0.03 |        0.10 |        0.12 |        0.18 |        2.08 |        0.01 |        0.02 |        1.55 |        0.01 |        0.08 |        0.04 |        1.38 |        0.03 |        7.82 |        1.01
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   975609404 |   469343398 |  1630230053 |   380199147 |  1725567932 |   228576527 |  1783843672 |  1370203124 |  2696717700 |   137750544 |   190213617 |  2139254003 |    86633855 |   675699330 |   686010112 |  2982879635
    num cache misses                 |    15038771 |    23714421 |    17824251 |    21591016 |    10335190 |    12701276 |    47359340 |    21028649 |      105024 |    10557685 |    10188343 |    19325885 |     7409608 |    17419272 |    15989150 |    13734872
    miss rate                        |       1.54% |       5.05% |       1.09% |       5.68% |       0.60% |       5.56% |       2.65% |       1.53% |       0.00% |       7.66% |       5.36% |       0.90% |       8.55% |       2.58% |       2.33% |       0.46%
    mpki                             |        7.09 |       22.14 |        8.18 |       18.90 |        2.81 |       25.90 |        8.09 |        7.81 |        0.01 |       23.18 |       14.76 |        5.20 |       29.64 |       10.14 |        9.04 |        1.94
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    16286544 |    25338005 |    18049355 |    23299568 |    11024472 |    16214713 |    47587943 |    21882650 |    12925137 |    13981446 |    10333861 |    19502711 |     7774461 |    17488194 |    30528438 |    20973982
    num cache misses                 |     9901381 |    21037435 |    12008874 |     6370829 |     5724705 |    10440903 |     1176292 |     4002497 |      300378 |    10560959 |     8639295 |    10658426 |     7334443 |    11928731 |    11611458 |      755341
    miss rate                        |      60.79% |      83.03% |      66.53% |      27.34% |      51.93% |      64.39% |       2.47% |      18.29% |       2.32% |      75.54% |      83.60% |      54.65% |      94.34% |      68.21% |      38.03% |       3.60%
    mpki                             |        4.67 |       19.64 |        5.51 |        5.58 |        1.56 |       21.29 |        0.20 |        1.49 |        0.04 |       23.19 |       12.51 |        2.87 |       29.34 |        6.94 |        6.57 |        0.11
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    11526057 |    22628347 |    12011390 |     7950839 |     5799876 |    12944427 |     1375016 |     4813454 |      314602 |    13981446 |     8737086 |    10702979 |     7354956 |    11953800 |    12324446 |      871271
    num cache misses                 |     3876348 |    20980975 |    11383021 |     6094950 |     5062364 |     8435844 |     1173432 |     3037116 |      300338 |    10556276 |     8367961 |     7274265 |     7245022 |    11869879 |     4167083 |      753818
    miss rate                        |      33.63% |      92.72% |      94.77% |      76.66% |      87.28% |      65.17% |      85.34% |      63.10% |      95.47% |      75.50% |      95.78% |      67.96% |      98.51% |      99.30% |      33.81% |      86.52%
    mpki                             |        1.83 |       19.59 |        5.22 |        5.34 |        1.38 |       17.20 |        0.20 |        1.13 |        0.04 |       23.18 |       12.12 |        1.96 |       28.98 |        6.91 |        2.36 |        0.11
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   144076800 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      349.14 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      239.13 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      95.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
