                                   | Core 0     
  Instructions                     |   499999985
  Cycles                           |  3087480023
  IPC                              |        0.16
  Time (ns)                        |  1029160008
Branch predictor stats             |            
  num correct                      |    85483294
  num incorrect                    |    23905408
  misprediction rate               |      21.85%
  mpki                             |       47.81
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    49168056
    num misses                     |           3
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   179145716
    num misses                     |    42007096
    miss rate                      |      23.45%
    mpki                           |       84.01
  L2 TLB                           |            
    num accesses                   |    42007099
    num misses                     |    21919481
    miss rate                      |      52.18%
    mpki                           |       43.84
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    49168056
    num cache misses               |      383477
    miss rate                      |       0.78%
    mpki                           |        0.77
  Cache L1-D                       |            
    num cache accesses             |   179145716
    num cache misses               |    57249877
    miss rate                      |      31.96%
    mpki                           |      114.50
  Cache L2                         |            
    num cache accesses             |    64552576
    num cache misses               |    48087478
    miss rate                      |      74.49%
    mpki                           |       96.17
  Cache L3                         |            
    num cache accesses             |    55066184
    num cache misses               |    32033820
    miss rate                      |      58.17%
    mpki                           |       64.07
DRAM summary                       |            
  num dram accesses                |    39680530
  average dram access latency (ns) |       50.60
  average dram queueing delay      |        0.59
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
