                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   511238855 |  6778019534 |   284427321 |   407239362 |   274410503 |   808658542 |   659632330 |   249999886 |  4287704174 |   653204988 |  1350960718 |   647138318 |  4197552077 |  1319490377 |  2435682007 |  4503612525
  Cycles                             |  3772682760 |  3772682234 |  3772683168 |  3772682676 |  3772683821 |  3772682413 |  3772682274 |  3772678518 |  3772682333 |  3772682221 |  3772682380 |  3772682443 |  3772682292 |  3772682887 |  3772682680 |  3772683201
  IPC                                |        0.14 |        1.80 |        0.08 |        0.11 |        0.07 |        0.21 |        0.17 |        0.07 |        1.14 |        0.17 |        0.36 |        0.17 |        1.11 |        0.35 |        0.65 |        1.19
  Time (ns)                          |  1257560920 |  1257560745 |  1257561056 |  1257560892 |  1257561274 |  1257560804 |  1257560758 |  1257559506 |  1257560778 |  1257560740 |  1257560793 |  1257560814 |  1257560764 |  1257560962 |  1257560893 |  1257561067
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    40552777 |  1250887835 |    47717697 |     7473178 |    44798214 |    49144122 |    40359946 |    34399075 |   189051546 |    19442369 |   146079044 |     5858473 |   337537985 |     1724547 |   139077837 |   601304781
  num incorrect                      |     3311152 |    85334588 |     4395594 |    10462498 |     2719368 |    29573571 |     1514944 |     4720676 |    10737500 |     9397774 |    22234519 |       39206 |    56693400 |       29226 |    23566411 |    60533671
  misprediction rate                 |       7.55% |       6.39% |       8.43% |      58.33% |       5.72% |      37.57% |       3.62% |      12.07% |       5.37% |      32.59% |      13.21% |       0.66% |      14.38% |       1.67% |      14.49% |       9.15%
  mpki                               |        6.48 |       12.59 |       15.45 |       25.69 |        9.91 |       36.57 |        2.30 |       18.88 |        2.50 |       14.39 |       16.46 |        0.06 |       13.51 |        0.02 |        9.68 |       13.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    42875088 |  1111426113 |    33003853 |    44116941 |    46263820 |    96500751 |    62827655 |    43801034 |   408546678 |    50625833 |   158742339 |    57193955 |   614898771 |   151126061 |   273710128 |   674212144
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        2948
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   140815065 |  2208949993 |    99823345 |   147521521 |    82347685 |   371998098 |   221205661 |   116504258 |  1304613316 |   297565197 |   606763980 |   176044309 |  2012399525 |   987099804 |  1143747195 |  1753985092
    num misses                       |      686499 |          23 |     1765675 |     1028967 |       97058 |     2549955 |     1768891 |     4540205 |      415391 |      301581 |     6300574 |      313701 |    11233152 |    35751674 |      736181 |      541114
    miss rate                        |       0.49% |       0.00% |       1.77% |       0.70% |       0.12% |       0.69% |       0.80% |       3.90% |       0.03% |       0.10% |       1.04% |       0.18% |       0.56% |       3.62% |       0.06% |       0.03%
    mpki                             |        1.34 |        0.00 |        6.21 |        2.53 |        0.35 |        3.15 |        2.68 |       18.16 |        0.10 |        0.46 |        4.66 |        0.48 |        2.68 |       27.10 |        0.30 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      686541 |          62 |     1765717 |     1028981 |       97062 |     2549965 |     1768913 |     4540289 |      415399 |      301584 |     6300584 |      313704 |    11233217 |    35751680 |      736237 |      544062
    num misses                       |      213443 |          62 |      489259 |     1028970 |       97062 |     2027209 |      161740 |     1361659 |       10450 |      199301 |      566979 |      313467 |       71118 |    25496367 |      116093 |       16040
    miss rate                        |      31.09% |     100.00% |      27.71% |     100.00% |     100.00% |      79.50% |       9.14% |      29.99% |       2.52% |      66.08% |       9.00% |      99.92% |       0.63% |      71.32% |      15.77% |       2.95%
    mpki                             |        0.42 |        0.00 |        1.72 |        2.53 |        0.35 |        2.51 |        0.25 |        5.45 |        0.00 |        0.31 |        0.42 |        0.48 |        0.02 |       19.32 |        0.05 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    42875088 |  1111426113 |    33003853 |    44116941 |    46263820 |    96500751 |    62827655 |    43801034 |   408546678 |    50625833 |   158742339 |    57193955 |   614898771 |   151126061 |   273710128 |   674212144
    num cache misses                 |       82529 |    10489864 |       39318 |       41220 |        8614 |       58362 |      439676 |      997832 |       83899 |       79702 |      119895 |      444447 |    20502719 |      714741 |      809213 |    13898411
    miss rate                        |       0.19% |       0.94% |       0.12% |       0.09% |       0.02% |       0.06% |       0.70% |       2.28% |       0.02% |       0.16% |       0.08% |       0.78% |       3.33% |       0.47% |       0.30% |       2.06%
    mpki                             |        0.16 |        1.55 |        0.14 |        0.10 |        0.03 |        0.07 |        0.67 |        3.99 |        0.02 |        0.12 |        0.09 |        0.69 |        4.88 |        0.54 |        0.33 |        3.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   140815065 |  2208949993 |    99823345 |   147521521 |    82347685 |   371998098 |   221205661 |   116504258 |  1304613316 |   297565197 |   606763980 |   176044309 |  2012399525 |   987099804 |  1143747195 |  1753985092
