                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   856858834 |  1391579328 |  1704101750 |   968246923 |   758139327 |  1207966504 |  1879033293
  Cycles                             |  1126710274 |  1126713002 |  1126713284 |  1126713280 |  1126713000 |  1126713013 |  1126712948 |  1126713000
  IPC                                |        0.22 |        0.76 |        1.24 |        1.51 |        0.86 |        0.67 |        1.07 |        1.67
  Time (ns)                          |   375570091 |   375571001 |   375571095 |   375571093 |   375571000 |   375571004 |   375570983 |   375571000
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19250310 |    79952337 |    74980494 |     1254381 |    46086103 |   182197562 |   248906390
  num incorrect                      |     2521753 |      341156 |    13534348 |     4255784 |       21258 |    27732439 |    20455321 |    25272393
  misprediction rate                 |       5.85% |       1.74% |      14.48% |       5.37% |       1.67% |      37.57% |      10.09% |       9.22%
  mpki                               |       10.09 |        0.40 |        9.73 |        2.50 |        0.02 |       36.58 |       16.93 |       13.45
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    77302526 |   156855801 |   162545170 |   110928946 |    90488810 |   193369531 |   282853404
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        7273 |        1293
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   338240611 |   652473758 |   519117545 |   724227104 |   348554020 |   486415403 |   736421306
    num misses                       |       88470 |      170732 |      419467 |      165157 |    26020238 |     2398549 |     2724826 |      234331
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.59% |       0.69% |       0.56% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       26.87 |        3.16 |        2.26 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      170736 |      419523 |      165165 |    26020244 |     2398559 |     2732099 |      235624
    num misses                       |       88474 |       94975 |       66097 |        4258 |    18620389 |     1906802 |      391815 |        6969
    miss rate                        |     100.00% |      55.63% |      15.76% |       2.58% |      71.56% |      79.50% |      14.34% |       2.96%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.23 |        2.52 |        0.32 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    77302526 |   156855801 |   162545170 |   110928946 |    90488810 |   193369531 |   282853404
    num cache misses                 |        7090 |       99886 |      452747 |       30712 |      466938 |       49639 |     3705953 |     5836087
    miss rate                        |       0.02% |       0.13% |       0.29% |       0.02% |       0.42% |       0.05% |       1.92% |       2.06%
    mpki                             |        0.03 |        0.12 |        0.33 |        0.02 |        0.48 |        0.07 |        3.07 |        3.11
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   338240611 |   652473758 |   519117545 |   724227104 |   348554020 |   486415403 |   736421306
    num cache misses                 |     5663673 |     8463227 |     3992308 |    13801970 |     7950201 |     5382612 |     4575485 |     9557747
    miss rate                        |       7.49% |       2.50% |       0.61% |       2.66% |       1.10% |       1.54% |       0.94% |       1.30%
    mpki                             |       22.65 |        9.88 |        2.87 |        8.10 |        8.21 |        7.10 |        3.79 |        5.09
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690457 |     8563720 |     4450276 |    13891843 |     8417517 |     5875375 |     8435352 |    15464317
    num cache misses                 |     5670763 |     6180510 |     3130352 |      500963 |     5877247 |     5056699 |     4439461 |      929443
    miss rate                        |      73.74% |      72.17% |      70.34% |       3.61% |      69.82% |      86.07% |      52.63% |       6.01%
    mpki                             |       22.68 |        7.21 |        2.25 |        0.29 |        6.07 |        6.67 |        3.68 |        0.49
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7690457 |     6182006 |     3136040 |      562273 |     5877739 |     5564879 |     4593978 |     1000141
    num cache misses                 |     5660106 |     5956783 |     1825690 |      349195 |     5010693 |     1445826 |     1367728 |      497678
    miss rate                        |      73.60% |      96.36% |      58.22% |      62.10% |      85.25% |      25.98% |      29.77% |      49.76%
    mpki                             |       22.64 |        6.95 |        1.31 |        0.20 |        5.18 |        1.91 |        1.13 |        0.26
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29601783 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      153.10 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       43.09 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      78.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
