                                   | Core 0    
  Instructions                     |  499999987
  Cycles                           |  817712639
  IPC                              |       0.61
  Time (ns)                        |  272570880
Branch predictor stats             |           
  num correct                      |   31054328
  num incorrect                    |   18596704
  misprediction rate               |     37.45%
  mpki                             |      37.19
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   60169693
    num misses                     |         10
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  228459203
    num misses                     |    1651693
    miss rate                      |      0.72%
    mpki                           |       3.30
  L2 TLB                           |           
    num accesses                   |    1651703
    num misses                     |    1295108
    miss rate                      |     78.41%
    mpki                           |       2.59
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   60169693
    num cache misses               |      27633
    miss rate                      |      0.05%
    mpki                           |       0.06
  Cache L1-D                       |           
    num cache accesses             |  228459203
    num cache misses               |    3384289
    miss rate                      |      1.48%
    mpki                           |       6.77
  Cache L2                         |           
    num cache accesses             |    4027007
    num cache misses               |    3209062
    miss rate                      |     79.69%
    mpki                           |       6.42
  Cache L3                         |           
    num cache accesses             |    3869842
    num cache misses               |    2877509
    miss rate                      |     74.36%
    mpki                           |       5.76
DRAM summary                       |           
  num dram accesses                |    3864883
  average dram access latency (ns) |      55.57
  average dram queueing delay      |       0.56
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
