                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1498350386 |  1067669379 |  1137263834 |   375016026 |  1642589200 |   249999973 |  1578420234 |   746774355
  Cycles                             |  1129479530 |  1129479613 |  1129479600 |  1129479804 |  1129479574 |  1129476552 |  1129479600 |  1129479600
  IPC                                |        1.33 |        0.95 |        1.01 |        0.33 |        1.45 |        0.22 |        1.40 |        0.66
  Time (ns)                          |   376493177 |   376493205 |   376493200 |   376493268 |   376493192 |   376492184 |   376493200 |   376493200
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    85345361 |   163074968 |    22019083 |     7112737 |   145920307 |    40600608 |   127006099 |    45398989
  num incorrect                      |    14447166 |    41932286 |     3271175 |     9885794 |    24448252 |     2521753 |    21342835 |    27319444
  misprediction rate                 |      14.48% |      20.45% |      12.93% |      58.16% |      14.35% |       5.85% |      14.39% |      37.57%
  mpki                               |        9.64 |       39.27 |        2.88 |       26.36 |       14.88 |       10.09 |       13.52 |       36.58
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   168207106 |   138949741 |   108554716 |    41305507 |   186539117 |    41868591 |   231296453 |    89139219
    num misses                       |          56 |          19 |          74 |          14 |         636 |           4 |          65 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   704183020 |   359241358 |   576276781 |   138222168 |   687139532 |    75636447 |   757000303 |   343300213
    num misses                       |      454223 |     1591684 |     1339245 |      990389 |      365774 |       88470 |     4225459 |     2362153
    miss rate                        |       0.06% |       0.44% |       0.23% |       0.72% |       0.05% |       0.12% |       0.56% |       0.69%
    mpki                             |        0.30 |        1.49 |        1.18 |        2.64 |        0.22 |        0.35 |        2.68 |        3.16
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      454279 |     1591703 |     1339319 |      990403 |      366410 |       88474 |     4225524 |     2362163
    num misses                       |       71776 |      332885 |       17974 |      990392 |       11551 |       88474 |       27132 |     1878567
    miss rate                        |      15.80% |      20.91% |       1.34% |     100.00% |       3.15% |     100.00% |       0.64% |      79.53%
    mpki                             |        0.05 |        0.31 |        0.02 |        2.64 |        0.01 |        0.35 |        0.02 |        2.52
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   168207106 |   138949741 |   108554716 |    41305507 |   186539117 |    41868591 |   231296453 |    89139219
    num cache misses                 |      491390 |      712475 |      200577 |       32786 |     2578856 |        7090 |     7654096 |       48611
    miss rate                        |       0.29% |       0.51% |       0.18% |       0.08% |       1.38% |       0.02% |       3.31% |       0.05%
    mpki                             |        0.33 |        0.67 |        0.18 |        0.09 |        1.57 |        0.03 |        4.85 |        0.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   704183020 |   359241358 |   576276781 |   138222168 |   687139532 |    75636447 |   757000303 |   343300213
    num cache misses                 |     4321427 |     1475717 |     9024922 |    10628649 |     6146106 |     5663673 |    25593518 |     5295574
    miss rate                        |       0.61% |       0.41% |       1.57% |       7.69% |       0.89% |       7.49% |       3.38% |       1.54%
    mpki                             |        2.88 |        1.38 |        7.94 |       28.34 |        3.74 |       22.65 |       16.21 |        7.09
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4817539 |     2477466 |     9330016 |    12071072 |     8733338 |     7690457 |    33258088 |     5762584
    num cache misses                 |     3392696 |      994070 |     4738797 |    10661435 |     3439097 |     5670763 |     5218002 |     4973556
    miss rate                        |      70.42% |      40.12% |      50.79% |      88.32% |      39.38% |      73.74% |      15.69% |      86.31%
    mpki                             |        2.26 |        0.93 |        4.17 |       28.43 |        2.09 |       22.68 |        3.31 |        6.66
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3397888 |     1288305 |     4843427 |    12071072 |     3447578 |     7690457 |     5230357 |     5458356
    num cache misses                 |     1515573 |      433543 |      711128 |    10625297 |      212432 |     5660106 |      212439 |     1470628
    miss rate                        |      44.60% |      33.65% |      14.68% |      88.02% |       6.16% |      73.60% |       4.06% |      26.94%
    mpki                             |        1.01 |        0.41 |        0.63 |       28.33 |        0.13 |       22.64 |        0.13 |        1.97
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    29782880 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      150.66 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       40.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      79.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
