                                     | Core 0      | Core 1     | Core 2     | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1210977312 |  566321825 |  979245530 |  1249760009 |  407655027 |  249999888 |  640691504 |  758299005
  Cycles                             |   741281595 |  741281680 |  741281866 |   741281513 |  741281745 |  741279037 |  741281837 |  741281567
  IPC                                |        1.63 |       0.76 |       1.32 |        1.69 |       0.55 |       0.34 |       0.86 |       1.02
  Time (ns)                          |   247093865 |  247093894 |  247093956 |   247093838 |  247093915 |  247093013 |  247093946 |  247093856
Branch predictor stats               |             |            |            |             |            |            |            |           
  num correct                        |   158042934 |   12889860 |   78719020 |    83266948 |   21964745 |   19818647 |     835888 |  114293258
  num incorrect                      |    16585388 |     228376 |   13220461 |    14294626 |     513739 |    1620730 |      14166 |   12879996
  misprediction rate                 |       9.50% |      1.74% |     14.38% |      14.65% |      2.29% |      7.56% |      1.67% |     10.13%
  mpki                               |       13.70 |       0.40 |      13.50 |       11.44 |       1.26 |       6.48 |       0.02 |      16.99
TLB Summary                          |             |            |            |             |            |            |            |           
  I-TLB                              |             |            |            |             |            |            |            |           
    num accesses                     |   183578699 |   51049611 |  143448319 |   151657201 |   41016762 |   20925725 |   73385034 |  121451733
    num misses                       |         835 |          4 |         65 |          18 |         47 |         42 |          6 |       4551
    miss rate                        |       0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |            |             |            |            |            |           
    num accesses                     |   478767937 |  221138513 |  469422641 |   527026127 |  144441208 |   68803935 |  479281262 |  305822625
    num misses                       |      144726 |     111595 |    2620858 |     3748958 |     212089 |     336491 |   17393930 |    1743936
    miss rate                        |       0.03% |      0.05% |      0.56% |       0.71% |      0.15% |      0.49% |      3.63% |      0.57%
    mpki                             |        0.12 |       0.20 |       2.68 |        3.00 |       0.52 |       1.35 |      27.15 |       2.30
  L2 TLB                             |             |            |            |             |            |            |            |           
    num accesses                     |      145561 |     111599 |    2620923 |     3748976 |     212136 |     336533 |   17393936 |    1748487
    num misses                       |        4427 |      61107 |      16685 |       28772 |      68760 |     104714 |   12493702 |     250791
    miss rate                        |       3.04% |     54.76% |      0.64% |       0.77% |     32.41% |     31.12% |     71.83% |     14.34%
    mpki                             |        0.00 |       0.11 |       0.02 |        0.02 |       0.17 |       0.42 |      19.50 |       0.33
Cache Summary                        |             |            |            |             |            |            |            |           
  Cache L1-I                         |             |            |            |             |            |            |            |           
    num cache accesses               |   183578699 |   51049611 |  143448319 |   151657201 |   41016762 |   20925725 |   73385034 |  121451733
    num cache misses                 |     3822051 |      14922 |    4262365 |     1274790 |      13777 |      20722 |      65597 |    2105857
    miss rate                        |       2.08% |      0.03% |      2.97% |       0.84% |      0.03% |      0.10% |      0.09% |      1.73%
    mpki                             |        3.16 |       0.03 |       4.35 |        1.02 |       0.03 |       0.08 |       0.10 |       2.78
  Cache L1-D                         |             |            |            |             |            |            |            |           
    num cache accesses               |   478767937 |  221138513 |  469422641 |   527026127 |  144441208 |   68803935 |  479281262 |  305822625
    num cache misses                 |     5509133 |    5489542 |   15457490 |     2451547 |    5085817 |    3668622 |    5240215 |    2788305
    miss rate                        |       1.15% |      2.48% |      3.29% |       0.47% |      3.52% |      5.33% |      1.09% |      0.91%
    mpki                             |        4.55 |       9.69 |      15.79 |        1.96 |      12.48 |      14.67 |       8.18 |       3.68
  Cache L2                           |             |            |            |             |            |            |            |           
    num cache accesses               |     9375511 |    5508633 |   19731036 |     3751242 |    5769010 |    3716797 |    5306258 |    5000995
    num cache misses                 |      385509 |    3864051 |     259960 |      177105 |    3736664 |    3114922 |    3533146 |    1108263
    miss rate                        |       4.11% |     70.15% |      1.32% |       4.72% |     64.77% |     83.81% |     66.58% |     22.16%
    mpki                             |        0.32 |       6.82 |       0.27 |        0.14 |       9.17 |      12.46 |       5.51 |       1.46
  Cache L3                           |             |            |            |             |            |            |            |           
    num cache accesses               |      431773 |    3869885 |     273306 |      202597 |    4433987 |    3145459 |    3533668 |    1216650
    num cache misses                 |      356824 |    3833763 |     256852 |      176887 |    3618699 |    2941999 |    3327127 |     963427
    miss rate                        |      82.64% |     99.07% |     93.98% |      87.31% |     81.61% |     93.53% |     94.16% |     79.19%
    mpki                             |        0.29 |       6.77 |       0.26 |        0.14 |       8.88 |      11.77 |       5.19 |       1.27
DRAM summary                         |             |            |            |             |            |            |            |           
  num dram accesses                  |    19586515 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      151.12 |        inf |        inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       41.11 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      79.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |             |            |            |            |           
  num loads from dram                |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
