***** PinPoints: START  ***** Tue 10 Feb 14:40:42 CET 2015
PROGRAM.INPUT namd.
SLICE_SIZE=250000000
CUTOFF=.99
Running /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000/namd_base.gcc44-64bit --input /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000/namd.input --iterations 38 --output namd.out in /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000
PIN_PREFIX=
*** TEST RUN - 38 ITERATIONS ***
writing to output file namd.out
iteration 26: 0 0 0
iteration 26: 0 1 0
iteration 26: 0 1 1
iteration 27: 1 0 0
iteration 27: 1 1 0
iteration 27: 1 1 1
iteration 27: 0 0 0
iteration 27: 0 1 0
iteration 27: 0 1 1
iteration 28: 1 0 0
iteration 28: 1 1 0
iteration 28: 1 1 1
iteration 28: 0 0 0
iteration 28: 0 1 0
iteration 28: 0 1 1
iteration 29: 1 0 0
iteration 29: 1 1 0
iteration 29: 1 1 1
iteration 29: 0 0 0
iteration 29: 0 1 0
iteration 29: 0 1 1
iteration 30: 1 0 0
iteration 30: 1 1 0
iteration 30: 1 1 1
iteration 30: 0 0 0
iteration 30: 0 1 0
iteration 30: 0 1 1
iteration 31: 1 0 0
iteration 31: 1 1 0
iteration 31: 1 1 1
iteration 31: 0 0 0
iteration 31: 0 1 0
iteration 31: 0 1 1
iteration 32: 1 0 0
iteration 32: 1 1 0
iteration 32: 1 1 1
iteration 32: 0 0 0
iteration 32: 0 1 0
iteration 32: 0 1 1
iteration 33: 1 0 0
iteration 33: 1 1 0
iteration 33: 1 1 1
iteration 33: 0 0 0
iteration 33: 0 1 0
iteration 33: 0 1 1
iteration 34: 1 0 0
iteration 34: 1 1 0
iteration 34: 1 1 1
iteration 34: 0 0 0
iteration 34: 0 1 0
iteration 34: 0 1 1
iteration 35: 1 0 0
iteration 35: 1 1 0
iteration 35: 1 1 1
iteration 35: 0 0 0
iteration 35: 0 1 0
iteration 35: 0 1 1
iteration 36: 1 0 0
iteration 36: 1 1 0
iteration 36: 1 1 1
iteration 36: 0 0 0
iteration 36: 0 1 0
iteration 36: 0 1 1
iteration 37: 1 0 0
iteration 37: 1 1 0
iteration 37: 1 1 1
iteration 37: 0 0 0
iteration 37: 0 1 0
iteration 37: 0 1 1
*** TEST RUN - 38 ITERATIONS ***
SUCCESSFUL COMPLETION

real	5m13.145s
user	5m13.530s
sys	0m0.013s
*** Running isimpoint *** Tue 10 Feb 14:45:55 CET 2015
PIN_PREFIX= pin  -t /home/runar/workspace/master/tools/simpoint/pintools/source/tools/PinPoints/bin-ia32e/isimpoint.so  -slice_size 250000000 -o namd. -- 
*** TEST RUN - 38 ITERATIONS ***
writing to output file namd.out
iteration 0: 1 0 0
iteration 0: 1 1 0
iteration 0: 1 1 1
iteration 0: 0 0 0
iteration 0: 0 1 0
iteration 0: 0 1 1
iteration 1: 1 0 0
iteration 1: 1 1 0
iteration 1: 1 1 1
iteration 1: 0 0 0
iteration 1: 0 1 0
iteration 1: 0 1 1
iteration 2: 1 0 0
iteration 2: 1 1 0
iteration 2: 1 1 1
iteration 2: 0 0 0
iteration 2: 0 1 0
iteration 2: 0 1 1
iteration 3: 1 0 0
iteration 3: 1 1 0
iteration 3: 1 1 1
iteration 3: 0 0 0
iteration 3: 0 1 0
iteration 3: 0 1 1
iteration 4: 1 0 0
iteration 4: 1 1 0
iteration 4: 1 1 1
iteration 4: 0 0 0
iteration 4: 0 1 0
iteration 4: 0 1 1
iteration 5: 1 0 0
iteration 5: 1 1 0
iteration 5: 1 1 1
iteration 5: 0 0 0
iteration 5: 0 1 0
iteration 5: 0 1 1
iteration 6: 1 0 0
iteration 6: 1 1 0
iteration 6: 1 1 1
iteration 6: 0 0 0
iteration 6: 0 1 0
iteration 6: 0 1 1
iteration 7: 1 0 0
iteration 7: 1 1 0
iteration 7: 1 1 1
iteration 7: 0 0 0
iteration 7: 0 1 0
iteration 7: 0 1 1
iteration 8: 1 0 0
iteration 8: 1 1 0
iteration 8: 1 1 1
iteration 8: 0 0 0
iteration 8: 0 1 0
iteration 8: 0 1 1
iteration 9: 1 0 0
iteration 9: 1 1 0
iteration 9: 1 1 1
iteration 9: 0 0 0
iteration 9: 0 1 0
iteration 9: 0 1 1
iteration 10: 1 0 0
iteration 10: 1 1 0
iteration 10: 1 1 1
iteration 10: 0 0 0
iteration 10: 0 1 0
iteration 10: 0 1 1
iteration 11: 1 0 0
iteration 11: 1 1 0
iteration 11: 1 1 1
iteration 11: 0 0 0
iteration 11: 0 1 0
iteration 11: 0 1 1
iteration 12: 1 0 0
iteration 12: 1 1 0
iteration 12: 1 1 1
iteration 12: 0 0 0
iteration 12: 0 1 0
iteration 12: 0 1 1
iteration 13: 1 0 0
iteration 13: 1 1 0
iteration 13: 1 1 1
iteration 13: 0 0 0
iteration 13: 0 1 0
iteration 13: 0 1 1
iteration 14: 1 0 0
iteration 14: 1 1 0
iteration 14: 1 1 1
iteration 14: 0 0 0
iteration 14: 0 1 0
iteration 14: 0 1 1
iteration 15: 1 0 0
iteration 15: 1 1 0
iteration 15: 1 1 1
iteration 15: 0 0 0
iteration 15: 0 1 0
iteration 15: 0 1 1
iteration 16: 1 0 0
iteration 16: 1 1 0
iteration 16: 1 1 1
iteration 16: 0 0 0
iteration 16: 0 1 0
iteration 16: 0 1 1
iteration 17: 1 0 0
iteration 17: 1 1 0
iteration 17: 1 1 1
iteration 17: 0 0 0
iteration 17: 0 1 0
iteration 17: 0 1 1
iteration 18: 1 0 0
iteration 18: 1 1 0
iteration 18: 1 1 1
iteration 18: 0 0 0
iteration 18: 0 1 0
iteration 18: 0 1 1
iteration 19: 1 0 0
iteration 19: 1 1 0
iteration 19: 1 1 1
iteration 19: 0 0 0
iteration 19: 0 1 0
iteration 19: 0 1 1
iteration 20: 1 0 0
iteration 20: 1 1 0
iteration 20: 1 1 1
iteration 20: 0 0 0
iteration 20: 0 1 0
iteration 20: 0 1 1
iteration 21: 1 0 0
iteration 21: 1 1 0
iteration 21: 1 1 1
iteration 21: 0 0 0
iteration 21: 0 1 0
iteration 21: 0 1 1
iteration 22: 1 0 0
iteration 22: 1 1 0
iteration 22: 1 1 1
iteration 22: 0 0 0
iteration 22: 0 1 0
iteration 22: 0 1 1
iteration 23: 1 0 0
iteration 23: 1 1 0
iteration 23: 1 1 1
iteration 23: 0 0 0
iteration 23: 0 1 0
iteration 23: 0 1 1
iteration 24: 1 0 0
iteration 24: 1 1 0
iteration 24: 1 1 1
iteration 24: 0 0 0
iteration 24: 0 1 0
iteration 24: 0 1 1
iteration 25: 1 0 0
iteration 25: 1 1 0
iteration 25: 1 1 1
iteration 25: 0 0 0
iteration 25: 0 1 0
iteration 25: 0 1 1
iteration 26: 1 0 0
iteration 26: 1 1 0
iteration 26: 1 1 1
iteration 26: 0 0 0
iteration 26: 0 1 0
iteration 26: 0 1 1
iteration 27: 1 0 0
iteration 27: 1 1 0
iteration 27: 1 1 1
iteration 27: 0 0 0
iteration 27: 0 1 0
iteration 27: 0 1 1
iteration 28: 1 0 0
iteration 28: 1 1 0
iteration 28: 1 1 1
iteration 28: 0 0 0
iteration 28: 0 1 0
iteration 28: 0 1 1
iteration 29: 1 0 0
iteration 29: 1 1 0
iteration 29: 1 1 1
iteration 29: 0 0 0
iteration 29: 0 1 0
iteration 29: 0 1 1
iteration 30: 1 0 0
iteration 30: 1 1 0
iteration 30: 1 1 1
iteration 30: 0 0 0
iteration 30: 0 1 0
iteration 30: 0 1 1
iteration 31: 1 0 0
iteration 31: 1 1 0
iteration 31: 1 1 1
iteration 31: 0 0 0
iteration 31: 0 1 0
iteration 31: 0 1 1
iteration 32: 1 0 0
iteration 32: 1 1 0
iteration 32: 1 1 1
iteration 32: 0 0 0
iteration 32: 0 1 0
iteration 32: 0 1 1
iteration 33: 1 0 0
iteration 33: 1 1 0
iteration 33: 1 1 1
iteration 33: 0 0 0
iteration 33: 0 1 0
iteration 33: 0 1 1
iteration 34: 1 0 0
iteration 34: 1 1 0
iteration 34: 1 1 1
iteration 34: 0 0 0
iteration 34: 0 1 0
iteration 34: 0 1 1
iteration 35: 1 0 0
iteration 35: 1 1 0
iteration 35: 1 1 1
iteration 35: 0 0 0
iteration 35: 0 1 0
iteration 35: 0 1 1
iteration 36: 1 0 0
iteration 36: 1 1 0
iteration 36: 1 1 1
iteration 36: 0 0 0
iteration 36: 0 1 0
iteration 36: 0 1 1
iteration 37: 1 0 0
iteration 37: 1 1 0
iteration 37: 1 1 1
iteration 37: 0 0 0
iteration 37: 0 1 0
iteration 37: 0 1 1
*** TEST RUN - 38 ITERATIONS ***
SUCCESSFUL COMPLETION
*** Running Step2.sh *** Tue 10 Feb 15:01:05 CET 2015
WARMUP FACTOR = 0
CUTOFF = .99
Filtered CUTOFF = 0.99
CUTOFF_SUFFIX = .lpt0.99
Welcome to Step 2 : Generating pinpoints file
This step is almost completely automated.
/home/runar/workspace/master/tools/simpoint/pintools/source/tools/PinPoints/bin/simpoint
PATH set correctly.
 Name the profile file generated in Step1:
Concatenated namd..T.0.bb
slicesize=250000000
inscount=2288212138120
Ran UCSD Cluster Analysis Successfully

Creating pinpoints file : version1:
      What is the prefix for the file (short name of your program)?
Creating pinpoints file for PIN tools:
ppgen.3 namd..pintool t.bb t.simpoints.lpt0.99 t.weights.lpt0.99 t.labels 0 >& ppgen.out

Generated pinpoints file /home/runar/workspace/master/benchmark/spec2006/benchspec/CPU2006/444.namd/run/run_base_ref_gcc44-64bit.0000/namd..Data/namd..pintool.1.pp.
Creating pinpoints file #2 for PIN tools:
pick_alternate_simpoints.sh 2 t.simpoints.lpt0.99 t.labels > t.2.simpoints.lpt0.99
ppgen.3 namd..ALT2.pintool t.bb t.2.simpoints.lpt0.99 t.weights.lpt0.99 t.labels 0 >& ppgen.out

Generated alternate pinpoints file /home/runar/workspace/master/benchmark/spec2006/benchspec/CPU2006/444.namd/run/run_base_ref_gcc44-64bit.0000/namd..Data/namd..ALT2.pintool.1.pp.
Creating pinpoints file #3 for PIN tools:
pick_alternate_simpoints.sh 3 t.simpoints.lpt0.99 t.labels > t.3.simpoints.lpt0.99
ppgen.3 namd..ALT3.pintool t.bb t.3.simpoints.lpt0.99 t.weights.lpt0.99 t.labels 0 >& ppgen.out

Generated alternate pinpoints file /home/runar/workspace/master/benchmark/spec2006/benchspec/CPU2006/444.namd/run/run_base_ref_gcc44-64bit.0000/namd..Data/namd..ALT3.pintool.1.pp.
Creating pinpoints file #4 for PIN tools:
pick_alternate_simpoints.sh 4 t.simpoints.lpt0.99 t.labels > t.4.simpoints.lpt0.99
ppgen.3 namd..ALT4.pintool t.bb t.4.simpoints.lpt0.99 t.weights.lpt0.99 t.labels 0 >& ppgen.out

Generated alternate pinpoints file /home/runar/workspace/master/benchmark/spec2006/benchspec/CPU2006/444.namd/run/run_base_ref_gcc44-64bit.0000/namd..Data/namd..ALT4.pintool.1.pp.
Step2:  Done 
*** Changing dir to /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000 ***
*** Running controller *** Tue 10 Feb 15:01:07 CET 2015
PIN_PREFIX= pin -t /home/runar/workspace/master/tools/simpoint/pintools/source/tools/PinPoints/bin-ia32e/controller.so -ppfile namd..pintool.1.pp -control_log namd..control.log --
*** TEST RUN - 38 ITERATIONS ***
writing to output file namd.out
iteration 0: 1 0 0
iteration 0: 1 1 0
iteration 0: 1 1 1
iteration 0: 0 0 0
iteration 0: 0 1 0
iteration 0: 0 1 1
iteration 1: 1 0 0
iteration 1: 1 1 0
iteration 1: 1 1 1
iteration 1: 0 0 0
iteration 1: 0 1 0
iteration 1: 0 1 1
iteration 2: 1 0 0
iteration 2: 1 1 0
iteration 2: 1 1 1
iteration 2: 0 0 0
iteration 2: 0 1 0
iteration 2: 0 1 1
iteration 3: 1 0 0
iteration 3: 1 1 0
iteration 3: 1 1 1
iteration 3: 0 0 0
iteration 3: 0 1 0
iteration 3: 0 1 1
iteration 4: 1 0 0
iteration 4: 1 1 0
iteration 4: 1 1 1
iteration 4: 0 0 0
iteration 4: 0 1 0
iteration 4: 0 1 1
iteration 5: 1 0 0
iteration 5: 1 1 0
iteration 5: 1 1 1
iteration 5: 0 0 0
iteration 5: 0 1 0
iteration 5: 0 1 1
iteration 6: 1 0 0
iteration 6: 1 1 0
iteration 6: 1 1 1
iteration 6: 0 0 0
iteration 6: 0 1 0
iteration 6: 0 1 1
