                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |   249999973 |   837519834 |  1882573798 |  1690298154 |   930533025 |   664038233 |  1188846424 |  1892416277
  Cycles                             |  1076423567 |  1076426196 |  1076425856 |  1076425861 |  1076425971 |  1076425894 |  1076426044 |  1076425866
  IPC                                |        0.23 |        0.78 |        1.75 |        1.57 |        0.86 |        0.62 |        1.10 |        1.76
  Time (ns)                          |   358807856 |   358808732 |   358808619 |   358808621 |   358808657 |   358808632 |   358808682 |   358808622
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    40600608 |    19111263 |   108241441 |    74149151 |     1215543 |    40338743 |   179468706 |   249939029
  num incorrect                      |     2521753 |      338838 |    18301876 |     4223120 |       20600 |    24275701 |    20113948 |    25439321
  misprediction rate                 |       5.85% |       1.74% |      14.46% |       5.39% |       1.67% |      37.57% |      10.08% |       9.24%
  mpki                               |       10.09 |        0.40 |        9.72 |        2.50 |        0.02 |       36.56 |       16.92 |       13.44
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    41868591 |    75631671 |   212241611 |   161345998 |   106579215 |    79178531 |   190167729 |   284882104
    num misses                       |           4 |           4 |          56 |           8 |           6 |          10 |        6915 |        1312
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |    75636447 |   328639503 |   882309562 |   515759055 |   696117604 |   305454760 |   477537548 |   742683630
    num misses                       |       88470 |      167835 |      570480 |      164213 |    25211820 |     2084545 |     2581153 |      234809
    miss rate                        |       0.12% |       0.05% |       0.06% |       0.03% |       3.62% |       0.68% |       0.54% |       0.03%
    mpki                             |        0.35 |        0.20 |        0.30 |        0.10 |       27.09 |        3.14 |        2.17 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |       88474 |      167839 |      570536 |      164221 |    25211826 |     2084555 |     2588068 |      236121
    num misses                       |       88474 |       92045 |       89780 |        4193 |    18054762 |     1654863 |      371791 |        7055
    miss rate                        |     100.00% |      54.84% |      15.74% |       2.55% |      71.61% |      79.39% |      14.37% |       2.99%
    mpki                             |        0.35 |        0.11 |        0.05 |        0.00 |       19.40 |        2.49 |        0.31 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |    41868591 |    75631671 |   212241611 |   161345998 |   106579215 |    79178531 |   190167729 |   284882104
    num cache misses                 |        1000 |       10802 |      289878 |        4777 |       64656 |       10363 |     3078544 |     5801504
    miss rate                        |       0.00% |       0.01% |       0.14% |       0.00% |       0.06% |       0.01% |       1.62% |       2.04%
    mpki                             |        0.00 |        0.01 |        0.15 |        0.00 |        0.07 |        0.02 |        2.59 |        3.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |    75636447 |   328639503 |   882309562 |   515759055 |   696117604 |   305454760 |   477537548 |   742683630
    num cache misses                 |     5660463 |     8258246 |     5261904 |    13702823 |     7612326 |     4736058 |     4090234 |     9539003
    miss rate                        |       7.48% |       2.51% |       0.60% |       2.66% |       1.09% |       1.55% |       0.86% |       1.28%
    mpki                             |       22.64 |        9.86 |        2.80 |        8.11 |        8.18 |        7.13 |        3.44 |        5.04
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7681157 |     8282181 |     5553332 |    13754608 |     7681742 |     5265565 |     7311765 |    15386116
    num cache misses                 |     5661463 |     5829475 |     2065463 |      246565 |     5099312 |     2161925 |     1412475 |      331294
    miss rate                        |      73.71% |      70.39% |      37.19% |       1.79% |      66.38% |      41.06% |      19.32% |       2.15%
    mpki                             |       22.65 |        6.96 |        1.10 |        0.15 |        5.48 |        3.26 |        1.19 |        0.18
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7681157 |     5847456 |     2090984 |      293994 |     5109238 |     2841455 |     1558937 |      381871
    num cache misses                 |     5660531 |     5825414 |      238879 |      244611 |     5019984 |     1600607 |     1313185 |      323286
    miss rate                        |      73.69% |      99.62% |      11.42% |      83.20% |      98.25% |      56.33% |      84.24% |      84.66%
    mpki                             |       22.64 |        6.96 |        0.13 |        0.14 |        5.39 |        2.41 |        1.10 |        0.17
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    26762801 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      144.04 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       34.03 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      74.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
