                                     | Core 0    
  Instructions                       |  249999969
  Cycles                             |  220823359
  IPC                                |       1.13
  Time (ns)                          |   73607786
Branch predictor stats               |           
  num correct                        |   32217105
  num incorrect                      |    7507996
  misprediction rate                 |     18.90%
  mpki                               |      30.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   35058549
    num misses                       |        106
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   97606891
    num misses                       |     176162
    miss rate                        |      0.18%
    mpki                             |       0.70
  L2 TLB                             |           
    num accesses                     |     176268
    num misses                       |      28108
    miss rate                        |     15.95%
    mpki                             |       0.11
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   35058549
    num cache misses                 |    1086389
    miss rate                        |      3.10%
    mpki                             |       4.35
  Cache L1-D                         |           
    num cache accesses               |   97606891
    num cache misses                 |    1222387
    miss rate                        |      1.25%
    mpki                             |       4.89
  Cache L2                           |           
    num cache accesses               |    2341564
    num cache misses                 |    1043484
    miss rate                        |     44.56%
    mpki                             |       4.17
  Cache L3                           |           
    num cache accesses               |    1076348
    num cache misses                 |      58019
    miss rate                        |      5.39%
    mpki                             |       0.23
DRAM summary                         |           
  num dram accesses                  |      58466
  average dram access latency (ns)   |     110.33
  average dram queueing delay        |       0.32
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
