                                     | Core 0      | Core 1     | Core 2     | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1231427762 |  570780555 |  990873101 |  1261681906 |  413560331 |  249999888 |  646942950 |  776678071
  Cycles                             |   750179835 |  750180133 |  750179771 |   750179744 |  750179780 |  750176986 |  750179812 |  750180571
  IPC                                |        1.64 |       0.76 |       1.32 |        1.68 |       0.55 |       0.33 |       0.86 |       1.04
  Time (ns)                          |   250059945 |  250060045 |  250059924 |   250059915 |  250059927 |  250058996 |  250059938 |  250060191
Branch predictor stats               |             |            |            |             |            |            |            |           
  num correct                        |   162289748 |   13017011 |   79663984 |    83941355 |   22199966 |   19818647 |     840059 |  117005406
  num incorrect                      |    16759788 |     230496 |   13382959 |    14419038 |     519288 |    1620730 |      14238 |   13212399
  misprediction rate                 |       9.36% |      1.74% |     14.38% |      14.66% |      2.29% |      7.56% |      1.67% |     10.15%
  mpki                               |       13.61 |       0.40 |      13.51 |       11.43 |       1.26 |       6.48 |       0.02 |      17.01
TLB Summary                          |             |            |            |             |            |            |            |           
  I-TLB                              |             |            |            |             |            |            |            |           
    num accesses                     |   185578114 |   51558215 |  145147209 |   153050825 |   41521444 |   20925725 |   74112590 |  124449901
    num misses                       |         848 |          4 |         65 |          18 |         47 |         42 |          6 |       4696
    miss rate                        |       0.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |             |            |            |             |            |            |            |           
    num accesses                     |   483887508 |  222918639 |  475042936 |   531831412 |  146747154 |   68803935 |  483918166 |  313304853
    num misses                       |      146807 |     112399 |    2649771 |     3768363 |     213081 |     336465 |   17494404 |    1777027
    miss rate                        |       0.03% |      0.05% |      0.56% |       0.71% |      0.15% |      0.49% |      3.62% |      0.57%
    mpki                             |        0.12 |       0.20 |       2.67 |        2.99 |       0.52 |       1.35 |      27.04 |       2.29
  L2 TLB                             |             |            |            |             |            |            |            |           
    num accesses                     |      147655 |     112403 |    2649836 |     3768381 |     213128 |     336507 |   17494410 |    1781723
    num misses                       |        4503 |      61909 |      16987 |       28996 |      69356 |     104712 |   12565583 |     254883
    miss rate                        |       3.05% |     55.08% |      0.64% |       0.77% |     32.54% |     31.12% |     71.83% |     14.31%
    mpki                             |        0.00 |       0.11 |       0.02 |        0.02 |       0.17 |       0.42 |      19.42 |       0.33
Cache Summary                        |             |            |            |             |            |            |            |           
  Cache L1-I                         |             |            |            |             |            |            |            |           
    num cache accesses               |   185578114 |   51558215 |  145147209 |   153050825 |   41521444 |   20925725 |   74112590 |  124449901
    num cache misses                 |     3846457 |      29435 |    4315432 |     1288592 |      26133 |      28084 |     138599 |    2179122
    miss rate                        |       2.07% |      0.06% |      2.97% |       0.84% |      0.06% |      0.13% |      0.19% |      1.75%
    mpki                             |        3.12 |       0.05 |       4.36 |        1.02 |       0.06 |       0.11 |       0.21 |       2.81
  Cache L1-D                         |             |            |            |             |            |            |            |           
    num cache accesses               |   483887508 |  222918639 |  475042936 |   531831412 |  146747154 |   68803935 |  483918166 |  313304853
    num cache misses                 |     5848407 |    5542730 |   15650136 |     2479174 |    5148022 |    3674821 |    5293657 |    2852264
    miss rate                        |       1.21% |      2.49% |      3.29% |       0.47% |      3.51% |      5.34% |      1.09% |      0.91%
    mpki                             |        4.75 |       9.71 |      15.79 |        1.96 |      12.45 |      14.70 |       8.18 |       3.67
  Cache L2                           |             |            |            |             |            |            |            |           
    num cache accesses               |     9744358 |    5576277 |   19976452 |     3793212 |    5848961 |    3733365 |    5432848 |    5137278
    num cache misses                 |      522958 |    3933499 |     313933 |      195831 |    3865209 |    3199900 |    3672872 |    1595413
    miss rate                        |       5.37% |     70.54% |      1.57% |       5.16% |     66.08% |     85.71% |     67.60% |     31.06%
    mpki                             |        0.42 |       6.89 |       0.32 |        0.16 |       9.35 |      12.80 |       5.68 |       2.05
  Cache L3                           |             |            |            |             |            |            |            |           
    num cache accesses               |      572739 |    3939132 |     327137 |      221880 |    4569847 |    3230442 |    3673543 |    1702145
    num cache misses                 |      357238 |    3896245 |     259001 |      185267 |    3665204 |    2993735 |    3358274 |     961898
    miss rate                        |      62.37% |     98.91% |     79.17% |      83.50% |     80.20% |     92.67% |     91.42% |     56.51%
    mpki                             |        0.29 |       6.83 |       0.26 |        0.15 |       8.86 |      11.97 |       5.19 |       1.24
DRAM summary                         |             |            |            |             |            |            |            |           
  num dram accesses                  |    19849730 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      150.94 |        inf |        inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       40.93 |       0.00 |       0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      79.00% |      0.00% |      0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |             |            |            |            |           
  num loads from dram                |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |           0 |          0 |          0 |          0 |          0
